,all,relation,no-cat,square,food,object,plant,communication,measure,mean,median
fireplace,0.02411311660500173,0.0,0.0,0.0,0.0,0.025631939779419854,0.0,0.0,0.0,0.005527228487157954,0.0
lounge,0.016755546129246485,0.0,0.0,0.0,0.0,0.017896337139528217,0.0,0.0,0.0,0.0038502092520860784,0.0
cube,0.002255019658442564,0.0,0.0,0.0,0.0,0.002283272917863372,0.003046113371868241,0.0,0.0027277240215391927,0.001145792218857041,0.0005728961094285205
newspaper,0.0015395219935480837,0.0019687408059301174,0.0,0.0,0.0,0.0016327696410898846,0.0,0.0,0.0,0.0005712258267297874,0.0
floppy,0.0005445357169033835,0.0,0.0,0.0,0.0,0.0005304031773540874,0.0,0.0,0.0,0.00011943765491749677,0.0
keypad,0.004657452606631551,0.0,0.0,0.0,0.0,0.004983007745233163,0.0,0.0,0.0,0.0010711622613183017,0.0
sharpener,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balcony,0.008323819081167042,0.0,0.0,0.0,0.0,0.008961034065297326,0.0,0.0,0.0,0.0019205392384960408,0.0
basement,0.013207765780713901,0.0,0.0,0.0,0.0,0.014067568862215059,0.0,0.0,0.0,0.003030592738103218,0.0
recliner,0.008318637942985629,0.0,0.0,0.0,0.0,0.00882531286250699,0.0,0.0,0.0,0.0019048834228325132,0.0
card,0.0066855453692162975,0.00814494057826915,0.0,0.0,0.0,0.006911788002550665,0.0,0.008329234624473368,0.0,0.0033412787305010534,0.0016706393652505267
playroom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pantry,0.010604228849427008,0.0,0.0,0.0,0.0,0.011074294113592998,0.0,0.0,0.0,0.0024087247736688895,0.0
sunroom,0.02477429774829898,0.0,0.0,0.0,0.0,0.025839892930939204,0.0,0.0,0.0,0.005623798964359798,0.0
apartment,0.005589005665119026,0.0,0.0,0.0,0.0,0.00598330689390444,0.0,0.0,0.0,0.001285812506558163,0.0
