,all,relation,bird,mammal,no-cat,animal,food,plant,object,fruit,communication,vegetable,measure,tool,mean,median
mangosteen,0.03167546243634812,0.0,0.0,0.0,0.0,0.0,0.032429082141144275,0.016188919539790268,0.03111450292427386,0.018696625542513,0.0,0.0,0.0,0.0,0.009293185184576395,0.0
chilli,0.024491756322793906,0.0,0.0,0.0,0.0,0.0,0.020832902470383597,0.0,0.0,0.0,0.0,0.02116730296611218,0.0,0.0,0.004749425839949263,0.0
walnut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
melon,0.027597597161736553,0.0,0.0,0.0,0.0,0.0,0.026685285379635167,0.026225260591078874,0.02744693403454635,0.030726344029629895,0.0,0.0,0.0,0.0,0.00990581579975906,0.0
plantain,0.084970934821499,0.0,0.0,0.0,0.0,0.0,0.08574564302936877,0.09019435519881695,0.0856463517241229,0.0,0.0,0.07966788683852813,0.0,0.0,0.03044465511516684,0.0
pear,0.014297684519218033,0.0,0.0,0.0,0.0,0.0,0.014150832908935642,0.014021270184438245,0.013709593601076061,0.013626897364516137,0.0,0.0,0.0,0.0,0.004986162755584579,0.0
doughnut,0.006294475552905901,0.0,0.0,0.0,0.0,0.0,0.006198162716877057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008923313049844969,0.0
nectarine,0.009167659426949899,0.0,0.0,0.0,0.0,0.0,0.009040047574221301,0.009049205597131642,0.009034900593408344,0.009955689470081271,0.0,0.0,0.0,0.0,0.0033033930472708894,0.0
mango,0.03338691876079334,0.0,0.0,0.0,0.0,0.0,0.03402222390887173,0.03422281099582175,0.03313060758425175,0.03338487465973633,0.0,0.0,0.0,0.0,0.012010531136391065,0.0
huckleberry,0.0011858385436193416,0.0,0.0,0.0,0.0,0.0,0.0011326707200363638,0.0010294683908660155,0.001246194919240002,0.001665428040509093,0.0,0.0,0.0,0.0,0.0004471143295907725,0.0
cookie,0.004297279172365907,0.0,0.0,0.0,0.0,0.0,0.004253591498111635,0.0,0.004364244906496416,0.0,0.007621516450860777,0.0,0.0,0.0,0.0014669022877024812,0.0
blueberry,0.015100006304555649,0.0,0.0,0.0,0.0,0.0,0.015457140426127315,0.015670649676071846,0.014953095812050357,0.015845041578321555,0.0,0.0,0.0,0.0,0.00550185241408048,0.0
pineapple,0.027357147119166814,0.0,0.0,0.0,0.0,0.0,0.02799302250593832,0.02759005540973658,0.02682280728623307,0.02676158594957139,0.0,0.0,0.0,0.0,0.009751758447903299,0.0
honey,0.09974048686016489,0.0,0.0,0.0,0.0,0.0,0.1007317380645994,0.0,0.0991982741541649,0.0,0.0,0.0,0.0,0.0,0.02140503564849494,0.0
beet,0.008642415762785625,0.0,0.0,0.0,0.0,0.0,0.008608363995579106,0.008845100914453913,0.008626013263663386,0.0,0.0,0.00820614246921383,0.0,0.0,0.003066288314692562,0.0
coconut,0.01468500593965141,0.0,0.0,0.0,0.0,0.0,0.014687434863859141,0.01506507367334596,0.014513664619813285,0.015668559547450875,0.0,0.0,0.0,0.0,0.0053299813317229045,0.0
yogurt,0.011816780637262778,0.0,0.0,0.0,0.0,0.0,0.012031268736639754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001703432098135895,0.0
carrot,0.018098234876677506,0.0,0.0,0.0,0.0,0.0,0.017992122355578444,0.017546600571165315,0.017954330569823023,0.0,0.0,0.016085061358892552,0.0,0.0,0.0062625964094383466,0.0
dessert,0.11736174686161656,0.0,0.0,0.0,0.0,0.0,0.1190822800357155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01688885906409515,0.0
saskatoon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cob,0.0209123023452447,0.0,0.024122224873375172,0.022901819164468425,0.0,0.0202251594746704,0.0,0.0,0.020527994189994233,0.021884571078566156,0.0,0.0,0.0,0.0,0.009326719366165649,0.0
wine,0.028506612572328293,0.03477278581584644,0.0,0.0,0.0,0.0,0.028730805904249167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00657215744945885,0.0
cider,0.025771625111049766,0.029668974581388827,0.0,0.0,0.0,0.0,0.026392951255694515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005845253639152365,0.0
taro,0.0005200597460707252,0.0,0.0,0.0,0.0,0.0,0.0005285025567510007,0.0005413502008473409,0.0005383879294526103,0.0,0.0,0.0005446619209986111,0.0,0.0,0.00019092588243716345,0.0
grape,0.014384290771307639,0.0,0.0,0.0,0.01946176401114367,0.0,0.014444734087988851,0.014489211349627606,0.014320861455910777,0.015165189193980511,0.0,0.0,0.0,0.0,0.006590432204997075,0.0
tomato,0.01585518372004917,0.0,0.0,0.0,0.0,0.0,0.01628941029099137,0.01674830124000903,0.015580932887608423,0.0,0.0,0.01632364380962233,0.0,0.0,0.005771247996305738,0.0
vegetable,0.008425637702722972,0.0,0.0,0.0,0.0,0.0,0.008404901082235537,0.008501074723129413,0.008397888852277676,0.0,0.0,0.00784331075650252,0.0,0.0,0.0029694866512048656,0.0
condiment,0.0359804257720864,0.0,0.0,0.0,0.0,0.0,0.03673829282620566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00519419418559229,0.0
tangerine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onion,0.048869536394911935,0.0,0.0,0.0,0.0,0.0,0.05030000045133911,0.05096416867300951,0.047647953750035596,0.0,0.0,0.04979410033952786,0.0,0.0,0.017683982829201715,0.0
puree,0.015605021464315718,0.0,0.0,0.0,0.0,0.0,0.016353279964109305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022827358163160735,0.0
raspberry,0.020469807443676644,0.0,0.0,0.0,0.0,0.0,0.020811040520535836,0.02090253281908695,0.019943919929892882,0.020683243033750316,0.026973370671384906,0.0,0.0,0.0,0.00927027960130911,0.0
cake,0.013161474385456779,0.0,0.0,0.0,0.0,0.0,0.013261259298791295,0.0,0.01320009768309222,0.0,0.0,0.0,0.0,0.0,0.0028302022405243066,0.0
peach,0.03211612878098692,0.0,0.0,0.0,0.04345238825281204,0.0,0.03222773462753167,0.031573798148473116,0.03170366807555045,0.0348027757147228,0.0,0.0,0.0,0.0,0.014705463828576928,0.0
grapefruit,0.01091452465919473,0.0,0.0,0.0,0.0,0.0,0.011246921997746389,0.011233239640510812,0.010657112753728505,0.010596362210774927,0.0,0.0,0.0,0.0,0.0039034400901396685,0.0
nut,0.012209585331476957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012535836474108235,0.013856247805278579,0.0,0.0,0.012389830094963092,0.0,0.003642249978987633,0.0
desert,0.0011555429304501007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011733214297637209,0.0,0.0,0.0,0.0,0.0,0.00016634745430098725,0.0
hazelnut,0.011533520936311423,0.0,0.0,0.0,0.0,0.0,0.0,0.0119407545257914,0.011322930939324866,0.01197028109102444,0.0,0.0,0.0,0.0,0.003340534820889438,0.0
sugar,0.014054294157622844,0.016440943816993746,0.0,0.0,0.0,0.0,0.014070751488158128,0.0,0.0,0.0,0.0,0.0,0.014796380205838656,0.0,0.004240169262043813,0.0
corn,0.04203627278611024,0.04882534155391991,0.0,0.0,0.0,0.0,0.04196197874887829,0.043440425080346186,0.042456338006566306,0.04777335053108402,0.0,0.0,0.0,0.0,0.019035264764778927,0.0
apricot,0.021765606637420623,0.0,0.0,0.0,0.0,0.0,0.02189875247593733,0.02206903252437882,0.021396427487711863,0.023060078371740046,0.0,0.0,0.0,0.0,0.007870706964084906,0.0
biscuit,0.018541073042434898,0.0,0.0,0.0,0.0,0.0,0.018534722132135344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026482710838978745,0.0
hackberry,0.023278226778163637,0.0,0.0,0.0,0.0,0.0,0.02277349590721711,0.011737979481918785,0.023600620304935184,0.014401762976029015,0.0,0.0,0.0,0.0,0.006842291817733124,0.0
squash,0.03657418103338821,0.0,0.0,0.0,0.0,0.0,0.037144083544051305,0.03705266211327681,0.036235358025013785,0.0,0.0,0.036608786728953444,0.0,0.0,0.013115362246048827,0.0
candy,0.027809086854383807,0.0,0.0,0.0,0.0,0.0,0.027449132929727647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003947015698865104,0.0
sultana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
muscat,0.004606259400434521,0.006943634096364183,0.0,0.0,0.0,0.0,0.004676094684775982,0.004858325390240166,0.004770547898947272,0.005869220192472702,0.0,0.0,0.0,0.0,0.002266005833088202,0.0
tabasco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acorn,0.008802912853083524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008842749495302686,0.00870853348646027,0.0,0.0,0.0,0.0,0.0018824425596318914,0.0
veg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mussel,0.01048413811747651,0.0,0.0,0.0,0.0,0.014575363320203516,0.010265958617283296,0.0,0.010119854708925175,0.0,0.0,0.0,0.0,0.0,0.003246093911706321,0.0
spinach,0.011765691593556444,0.0,0.0,0.0,0.0,0.0,0.01149548380033052,0.01174336198811582,0.011742622522249535,0.0,0.0,0.012972180790340062,0.0,0.0,0.004265667192470885,0.0
scallop,0.011379659948520799,0.0,0.0,0.0,0.0,0.012824964290466097,0.01090950813449818,0.0,0.011307721669876182,0.0,0.0,0.0,0.014094945819340572,0.0,0.004322628561621559,0.0
cabbage,0.013838895505758836,0.0,0.0,0.0,0.0,0.0,0.013533703217867272,0.01409302409942876,0.014086681007472467,0.0,0.0,0.015590636511468532,0.017457128805159188,0.0,0.006328576367653932,0.0
cucumber,0.013045645692342659,0.0,0.0,0.0,0.0,0.0,0.012839609348121884,0.013336746629408511,0.013098712270243618,0.0,0.0,0.014282106458450468,0.0,0.0,0.004757344314183366,0.0
lemon,0.006458093141711061,0.0,0.0,0.0,0.0,0.0,0.006406188594162865,0.006527385773109801,0.006436461545454753,0.006671354748502955,0.0,0.0,0.0,0.0,0.002321391700210102,0.0
pork,0.008681567376104305,0.0,0.0,0.0,0.0,0.0,0.00836895964810787,0.0,0.0,0.0,0.0,0.0,0.01160517178369434,0.0,0.0020468356291361797,0.0
bacon,0.005077893097484569,0.0,0.0,0.0,0.0,0.0,0.0049433507770554365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007158031338957147,0.0
soybean,0.00020605196325493427,0.0,0.0,0.0,0.0,0.0,0.00019697372121219654,0.00020029187373344124,0.0002067984383341452,0.0002179223083466097,0.0,0.00022510689913239894,0.0,0.0,8.951037171526613e-05,0.0
edda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soup,0.00962592392036902,0.012289501021065557,0.0,0.0,0.0,0.0,0.009333780850519518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002232086127996721,0.0
broccoli,0.010262607559855561,0.0,0.0,0.0,0.0,0.0,0.00981451124616478,0.010952305377375633,0.01046518441428066,0.0,0.0,0.013167403555790626,0.0,0.0,0.003904429439533376,0.0
vinaigrette,0.015845012597551816,0.0,0.0,0.0,0.0,0.0,0.015596106507182282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022457942217667215,0.0
chipotle,0.008136681180230976,0.0,0.0,0.0,0.0,0.0,0.008120966138925611,0.0,0.0,0.0,0.0,0.009854772779489884,0.0,0.0,0.0018651728641890335,0.0
sardine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
radish,0.019313685810581675,0.0,0.0,0.0,0.0,0.0,0.01907875696664947,0.021135238700731696,0.019854814061164,0.0,0.0,0.0249885492850748,0.0,0.0,0.007455074630300117,0.0
pip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emperor,0.00015684185332238114,0.0,0.0,0.0,0.0,0.0003745745964761534,0.00015830079462247698,0.0,0.00016836573576327717,0.00015583868027655088,0.0,0.0,0.0,0.0,7.242297574720282e-05,0.0
sorrel,0.021272563562011473,0.0,0.0,0.02125573136183261,0.0,0.02125573136183261,0.020872627129090226,0.02135408472989055,0.021479788617405963,0.0,0.0,0.021621845620950507,0.0,0.0,0.010650883741643854,0.010650883741643854
cheese,0.006758306717665421,0.0,0.0,0.0,0.0,0.0,0.006611355428486076,0.006749412987594651,0.006678933008220798,0.0,0.0,0.0,0.0,0.0,0.0019141434387119247,0.0
wintergreen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
olive,0.004066122181768065,0.0051414805314277875,0.0,0.0,0.0,0.0,0.003921513779715281,0.00415405277805865,0.004132599212827664,0.004189802866064577,0.0,0.0,0.0,0.0,0.0018289693821330018,0.0
pulse,0.0006919535956544505,0.0009789644291383207,0.0,0.0,0.0,0.0,0.0006332012801982435,0.0,0.0,0.0,0.0,0.0008071683786385549,0.0,0.0,0.00022223483454496926,0.0
jack,0.0005777363165014496,0.0008378998499331547,0.0,0.0009414200099638093,0.0008524162526895523,0.0009414200099638093,0.0005614419209445758,0.0,0.0005831686201832896,0.0006104286796693758,0.0,0.0,0.000979836038256592,0.0009413220587767499,0.0005590778397773114,0.0005831686201832896
chickpea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
salad,0.012552158288401644,0.0,0.0,0.0,0.0,0.0,0.012267499112607076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001772832671500623,0.0
crab,0.010475938418575444,0.0,0.0,0.0,0.0,0.014378213770771654,0.010170407659027492,0.0,0.010533355615681632,0.0,0.0,0.0,0.0,0.0,0.0032541368188611585,0.0
grain,0.0012136698803862586,0.001564109070857806,0.0,0.0,0.0,0.0,0.0011691334373923402,0.001206152962032738,0.0012379117842337582,0.0012591486686333877,0.0,0.0,0.0017680706975416942,0.0,0.0006727283215055703,0.0006727283215055703
lentil,0.01112501500354885,0.0,0.0,0.0,0.0,0.0,0.010810757337176296,0.010946763285874477,0.01098224921831318,0.010714740064815414,0.0,0.01269459027000516,0.0,0.0,0.004805293941409527,0.0
hip,0.0001887180495345024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017897629019708993,0.00018748475109887146,0.0,0.0,0.0,0.0,3.965564934503313e-05,0.0
iceberg,0.00028235999498221477,0.0,0.0,0.0,0.0,0.0,0.00027716525393415545,0.0,0.00028510081991091216,0.0,0.0,0.00028478603316484986,0.0,0.0,8.067229299943803e-05,0.0
rice,0.001900551320705671,0.0,0.0,0.0,0.0,0.0,0.001799019412290258,0.0019313303743078956,0.0020906819839885227,0.0,0.0,0.0,0.0,0.0,0.0005515416493780248,0.0
pistachio,0.002336811613863636,0.0,0.0,0.0,0.0,0.0,0.0,0.002354001947279641,0.002425763022198551,0.0025259331325220924,0.0,0.0,0.0,0.0,0.0006887506939902801,0.0
pod,0.006532587607412081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006567435474203936,0.006580112019742614,0.0,0.0,0.0,0.0,0.0014057239358113308,0.0
avocado,0.016775967718155798,0.0,0.0,0.0,0.0,0.0,0.015837253335168645,0.016534645901312935,0.016291161905328495,0.016487582124952722,0.0,0.0,0.0,0.0,0.005851900784637043,0.0
lobster,0.02103034935494232,0.0,0.0,0.0,0.0,0.026356420516772398,0.020413179879557437,0.0,0.020658169743023844,0.0,0.0,0.0,0.0,0.0,0.006318437106735428,0.0
artichoke,0.0026935668534906906,0.0,0.0,0.0,0.0,0.0,0.0025872054515200613,0.002643691014946584,0.0026691449877803597,0.0,0.0,0.0026217363866797945,0.0,0.0,0.0009439531924583921,0.0
ginger,0.01565533587652395,0.0,0.0,0.0,0.0,0.0,0.01552641221015936,0.015787458036554108,0.015481614183115342,0.0,0.0,0.0,0.0,0.0,0.004460772879025197,0.0
fry,0.004560555768192482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004503559539682128,0.0,0.0,0.0,0.0,0.0,0.0006474368077053292,0.0
chicken,0.006295692156753659,0.0,0.00759547182503579,0.0,0.0,0.00759547182503579,0.006213375278702497,0.0,0.006242571911042471,0.0,0.0,0.0,0.0,0.0,0.002424470214040729,0.0
freestone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rye,0.0010476441095497555,0.001334458707358281,0.0,0.0,0.0,0.0,0.000990279183895214,0.0009846230354847503,0.001025639734975996,0.0010580685249953565,0.0,0.0,0.0,0.0,0.000460050949732811,0.0
legume,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asparagus,0.011283707689447852,0.0,0.0,0.0,0.0,0.0,0.011068352388810739,0.011362411303725103,0.01134725477788132,0.0,0.0,0.012393718282954535,0.0,0.0,0.004103960317344253,0.0
cottonseed,0.009729156637202658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009671190490414771,0.009558808458952062,0.0,0.0,0.0,0.0,0.0020685111133263924,0.0
peeler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spike,0.0016622346292530996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016789143198417012,0.001744785079884235,0.0,0.0,0.0,0.0,0.0003632810020699311,0.0
butter,0.008951631436116481,0.0,0.0,0.0,0.0,0.0,0.008664244030137856,0.0,0.008833345312728941,0.0,0.0,0.0,0.0,0.0,0.0018892300556416625,0.0
cauliflower,0.014272393418331508,0.0,0.0,0.0,0.0,0.0,0.014060895983350703,0.015032379661280649,0.014632176786394864,0.0,0.0,0.0179058449970007,0.0,0.0,0.005421692203311316,0.0
coffee,0.007599784312278694,0.010438396729050031,0.0,0.0,0.0,0.0,0.007375418609999806,0.007155980599980725,0.007346839943924358,0.007502508926416877,0.0,0.0,0.0,0.0,0.003387066365832178,0.0
zucchini,0.028348037704455233,0.0,0.0,0.0,0.0,0.0,0.028224893672176305,0.029573308698665028,0.02859828648765338,0.0,0.0,0.03192905959515382,0.0,0.0,0.010476684725578838,0.0
kale,0.00234149466925264,0.0,0.0,0.0,0.0,0.0,0.0023407318289597827,0.002544817978925967,0.002467418586118205,0.0,0.0,0.00329037532243625,0.004626629161822221,0.0,0.0012579619676796477,0.0
linseed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bulgur,0.005068742157806522,0.0,0.0,0.0,0.0,0.0,0.004882247876734535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007107850024672184,0.0
pepperoni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soy,0.008816916664517074,0.0,0.0,0.0,0.0,0.0,0.008710535376175459,0.008984541539504272,0.008742191761249277,0.00887814854693714,0.0,0.009186693624446516,0.0,0.0,0.0038085019652021245,0.0
oyster,0.004525968827496008,0.0,0.0,0.0,0.0,0.005195881509243998,0.004407795573964611,0.0,0.004539876333507512,0.0,0.0,0.0,0.006063551200565874,0.0,0.0017666481031984288,0.0
lime,0.005069498239340243,0.005668741784282719,0.0,0.0,0.0,0.0,0.005023806692677131,0.005124129035093959,0.005067064690518264,0.005269803550326749,0.0,0.0,0.0,0.0,0.002230217428017076,0.0
