,all,relation,bird,mammal,no-cat,animal,food,plant,object,fruit,communication,vegetable,measure,tool,mean,median
flavoring,0.016151699180694104,0.0,0.0,0.0,0.0,0.0,0.01639524706343207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023247818745804408,0.0
lemonade,0.017838721005977786,0.017950544802740137,0.0,0.0,0.0,0.0,0.018173761894842877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038545019788257715,0.0
almond,0.02551876502307394,0.0,0.0,0.0,0.0,0.0,0.0,0.026207282455385988,0.025773323504457442,0.02775440961496549,0.0,0.0,0.0,0.0,0.007518127185563062,0.0
pea,0.21485411286699824,0.0,0.0,0.0,0.0,0.0,0.21698776682513726,0.2161846161274535,0.21442954770269185,0.22510347498735536,0.0,0.2056204204329318,0.0,0.0,0.09236999563875484,0.0
ketchup,0.010479981128808581,0.0,0.0,0.0,0.0,0.0,0.010283552897745032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014831095733252582,0.0
strawberry,0.0029570949177870273,0.0,0.0,0.0,0.0,0.0,0.0026377743580536994,0.002546276955726392,0.0030891139093977135,0.004018489602136511,0.0,0.0,0.0,0.0,0.0010891964102215245,0.0
beetroot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spud,0.0031952141731109657,0.0,0.0,0.0,0.0,0.0,0.0030943156951968973,0.0,0.003260462185183313,0.0,0.0,0.002654018131529197,0.0,0.006635342820374623,0.0013456680718139282,0.0
breadfruit,0.03393076281083149,0.0,0.0,0.0,0.0,0.0,0.034036406797457744,0.03431421536261285,0.0341620376813493,0.036853721311102615,0.0,0.0,0.0,0.0,0.012378367425953858,0.0
plum,0.011868036576048374,0.0,0.0,0.0,0.0,0.0,0.01195678196116809,0.011716139062326556,0.011713602222890852,0.012136611684480462,0.0,0.0,0.0,0.0,0.004242226536208167,0.0
banana,0.009345208169737744,0.0,0.0,0.0,0.0,0.0,0.009317759814360381,0.009411828656774233,0.009509321639584244,0.01071215315590128,0.0,0.0,0.0,0.0,0.003449733674025563,0.0
fruit,0.02868771101580188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028376724474438397,0.029677483279969826,0.0,0.0,0.0,0.0,0.006195851340729293,0.0
tamarind,0.045753385702863976,0.0,0.0,0.0,0.0,0.0,0.04651619142714312,0.04628421475987787,0.04518522911798706,0.047864817707747295,0.0,0.0,0.0,0.0,0.016543131336829952,0.0
pie,0.03187452500714654,0.0,0.0,0.0,0.0,0.0,0.032075423712424306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004567853479969347,0.0
berry,0.0037996537471938216,0.0,0.0,0.0,0.0,0.0,0.00359717815280696,0.0,0.0038092470738638725,0.004852633070602167,0.0,0.0,0.0,0.0,0.0011470508603190588,0.0
tater,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
currant,0.012001524542761115,0.0,0.0,0.0,0.0,0.0,0.012358633613702194,0.012613844425984781,0.011894831116912448,0.01191958298190473,0.0,0.0,0.0,0.0,0.004342029762947519,0.0
juice,0.006754525868281036,0.007146436298162063,0.0,0.0,0.0,0.0,0.0068302354966855395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001480799833080617,0.0
raisin,0.01118336158257012,0.0,0.0,0.0,0.0,0.0,0.011349803419363359,0.0,0.011166052645412825,0.013155254032106194,0.0,0.0,0.0,0.0,0.00334674797710375,0.0
pumpkin,0.020796676487085143,0.0,0.0,0.0,0.0,0.0,0.020840955969296356,0.020738412468681158,0.02055619275318286,0.0,0.0,0.018142555914439425,0.0,0.0,0.007219628113763211,0.0
donut,0.0053315050697872604,0.0,0.0,0.0,0.0,0.0,0.005295015454683676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007590371803193526,0.0
jam,0.0023247438369262716,0.0,0.0,0.0,0.0,0.0,0.0022648865082760764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032783073894302486,0.0
tea,0.052653993604970355,0.06520548725067535,0.0,0.0,0.0,0.0,0.05220495440246045,0.05102105402668751,0.05253246206161271,0.0,0.0,0.0,0.0,0.0,0.01954413938188617,0.0
dewberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chocolate,0.023103576507369595,0.027243940280140096,0.0,0.0,0.0,0.0,0.0232320996899547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005255686891247456,0.0
fennel,0.01899404913576614,0.0,0.0,0.0,0.0,0.0,0.01907799336202711,0.02005459877353484,0.019148297916351316,0.0,0.0,0.01977572374866854,0.0,0.0,0.00693219020973914,0.0
rhubarb,0.021266622929499317,0.0,0.0,0.0,0.0,0.0,0.02171735812499757,0.022718683289937883,0.02111814740346535,0.0,0.0,0.020377865946662164,0.0,0.0,0.007657048406754448,0.0
date,0.0019273077907877043,0.0,0.0,0.0,0.0,0.0,0.001886329660716237,0.0,0.0019214137522703704,0.002229523039892889,0.0,0.0,0.00208230387370023,0.0,0.0007176341512405307,0.0
lychee,0.058820041315991355,0.0,0.0,0.0,0.0,0.0,0.058783230437381366,0.0,0.05849087455277412,0.0628632882648996,0.0,0.0,0.0,0.0,0.017068388183646175,0.0
peanut,0.003529697942210743,0.0,0.0,0.0,0.0,0.0,0.0,0.0036932524890462594,0.0034560255964220066,0.0034749558601395013,0.0,0.0,0.0,0.0,0.0010109951348441794,0.0
groundnut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomegranate,0.016231021137247018,0.0,0.0,0.0,0.0,0.0,0.01644838427720741,0.01683353659140738,0.0158138080110136,0.01655789448323797,0.0,0.0,0.0,0.0,0.005848903178579527,0.0
flavor,0.11626410140908343,0.0,0.0,0.0,0.1477551985745118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01885852142739966,0.0
litchi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allspice,0.004077138828408861,0.0,0.0,0.0,0.0,0.0,0.004104738002891655,0.004173538711128549,0.003940236652664289,0.0,0.0,0.0,0.0,0.0,0.0011639751567923823,0.0
apple,0.008095366654063239,0.0,0.0,0.0,0.0,0.0,0.007803485483796463,0.007306646223502112,0.008027841597773899,0.00957354283380165,0.0,0.0,0.0,0.0,0.0029147773423526687,0.0
pepper,0.010362621247454067,0.0,0.0,0.0,0.0,0.0,0.010571707591965436,0.010461544788904735,0.010134718642019832,0.0,0.0,0.009889818838405751,0.0,0.0,0.0036728865077678445,0.0
watermelon,0.039289580413574846,0.0,0.0,0.0,0.0,0.0,0.04014232267730168,0.04106187724390386,0.03889356986206497,0.039748187032816656,0.0,0.0,0.0,0.0,0.014223966944975857,0.0
cherry,0.03374493920884891,0.039341543469908986,0.0,0.0,0.0,0.0,0.03393968488395504,0.03417481159528665,0.03375771702721182,0.035037067293992426,0.0,0.0,0.0,0.0,0.014999697391371703,0.0
parsnip,0.06833777886731414,0.0,0.0,0.0,0.0,0.0,0.07026652632422496,0.07236819071484163,0.06773515765542423,0.0,0.0,0.06993004416674192,0.0,0.0,0.024902692694896204,0.0
orange,0.008857828763930183,0.010611418578333514,0.0,0.0,0.0,0.0,0.008931890088145522,0.008786205630814456,0.00878867838209539,0.009496537661599849,0.0,0.0,0.0,0.0,0.003962325650351351,0.0
yoghurt,0.02080568987434854,0.0,0.0,0.0,0.0,0.0,0.0206102094881396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00295827852589201,0.0
gift,0.0034205854640142496,0.004361125967699995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005558365308367318,0.0
