,context,n_concepts,mean_tfidf,mean_diff,evidence
0,rooms,30,0.02,0.01,i
1,built,29,0.02,0.01,u
2,sitting,29,0.03,0.03,u
3,desk,27,0.03,0.03,i
4,old,27,0.01,0.01,u
5,photograph,27,0.01,0,i
6,sheets,27,0.01,0.01,i
7,note,27,0.01,0,i
8,table,27,0.02,0.02,i
9,phone,27,0.02,0.02,i
10,installed,26,0.01,0.01,u
11,pack,26,0.01,0,u
12,boxes,26,0.01,0.01,i
13,tiny,26,0.01,0.01,u
14,stacked,26,0.01,0.01,u
15,usually,26,0.01,0,u
16,small,26,0.02,0.01,u
17,can,26,0.02,0.01,u
18,tables,26,0.01,0.01,i
19,room,26,0.08,0.07,i
20,square,18,0.01,0.01,p
