context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
all,16,0.02,0.01,0.01,0.09
connecting,16,0.01,0.01,0.0,0.04
this,16,0.03,0.02,0.01,0.1
many,16,0.01,0.01,0.0,0.02
only,16,0.02,0.01,0.01,0.05
later,16,0.01,0.01,0.01,0.03
if,16,0.02,0.01,0.0,0.05
both,16,0.01,0.01,0.0,0.02
tells,16,0.01,0.01,0.0,0.02
said,16,0.01,0.01,0.0,0.04
did,16,0.01,0.01,0.0,0.03
since,16,0.01,0.0,0.0,0.02
twenty,16,0.01,0.0,0.0,0.02
lost,16,0.01,0.01,0.0,0.04
decides,16,0.01,0.01,0.0,0.04
considered,16,0.01,0.01,0.0,0.03
gain,16,0.0,0.0,0.0,0.02
composed,16,0.01,0.0,0.0,0.02
quiet,16,0.0,0.0,0.0,0.01
stating,16,0.01,0.01,0.0,0.02
stops,16,0.01,0.01,0.0,0.04
rules,16,0.01,0.01,0.0,0.02
equally,16,0.01,0.01,0.0,0.04
amy,16,0.01,0.0,0.0,0.03
just,16,0.01,0.01,0.0,0.04
who,16,0.02,0.01,0.01,0.06
can,16,0.02,0.01,0.01,0.07
actually,16,0.01,0.01,0.0,0.02
looks,16,0.01,0.01,0.0,0.03
force,16,0.01,0.01,0.0,0.04
back,16,0.02,0.01,0.01,0.04
make,15,0.02,0.01,0.01,0.05
lightning,15,0.01,0.01,0.0,0.03
one,15,0.03,0.02,0.02,0.06
accompanying,15,0.0,0.0,0.0,0.02
single,15,0.02,0.01,0.01,0.04
wrote,15,0.01,0.01,0.0,0.02
friends,15,0.01,0.01,0.0,0.02
tracks,15,0.01,0.01,0.0,0.02
brings,15,0.01,0.01,0.0,0.01
raise,15,0.0,0.0,0.0,0.01
country,15,0.01,0.01,0.0,0.02
secret,15,0.01,0.0,0.0,0.01
simply,15,0.01,0.01,0.0,0.11
where,15,0.01,0.01,0.01,0.03
at,15,0.02,0.01,0.01,0.06
they,15,0.02,0.02,0.01,0.07
players,15,0.01,0.01,0.0,0.05
usa,15,0.0,0.0,0.0,0.02
string,15,0.02,0.02,0.0,0.22
saying,15,0.01,0.01,0.0,0.03
appearance,15,0.01,0.01,0.0,0.04
stop,15,0.01,0.01,0.0,0.02
created,15,0.01,0.01,0.0,0.03
order,15,0.02,0.02,0.0,0.15
very,15,0.01,0.01,0.0,0.03
half,15,0.01,0.01,0.01,0.05
weekly,15,0.0,0.0,0.0,0.01
bull,15,0.0,0.0,0.0,0.01
write,15,0.01,0.01,0.0,0.03
presumed,15,0.0,0.0,0.0,0.02
collaboration,15,0.0,0.0,0.0,0.01
stronger,15,0.01,0.01,0.0,0.04
spike,15,0.01,0.01,0.0,0.06
kiss,15,0.01,0.0,0.0,0.03
january,15,0.0,0.0,0.0,0.01
truck,15,0.01,0.01,0.0,0.04
meet,15,0.01,0.01,0.0,0.04
van,15,0.0,0.0,0.0,0.01
events,15,0.01,0.01,0.0,0.04
roughly,15,0.0,0.0,0.0,0.01
popularity,15,0.01,0.01,0.0,0.04
creation,15,0.01,0.0,0.0,0.02
tries,15,0.01,0.01,0.0,0.04
indicated,15,0.0,0.0,0.0,0.01
1988,15,0.01,0.0,0.0,0.03
reached,15,0.01,0.0,0.0,0.02
evidence,15,0.01,0.01,0.0,0.03
magazine,15,0.01,0.01,0.0,0.03
role,15,0.01,0.01,0.0,0.02
depending,15,0.01,0.01,0.0,0.04
describes,15,0.01,0.0,0.0,0.03
pin,15,0.01,0.0,0.0,0.03
afterwards,15,0.0,0.0,0.0,0.01
starts,15,0.01,0.0,0.0,0.02
become,15,0.01,0.01,0.0,0.02
stated,15,0.01,0.01,0.0,0.03
sets,15,0.01,0.01,0.0,0.03
notably,15,0.01,0.0,0.0,0.03
wife,15,0.01,0.01,0.0,0.03
run,15,0.01,0.01,0.0,0.03
dance,15,0.02,0.01,0.0,0.04
reason,15,0.01,0.01,0.0,0.03
types,15,0.01,0.01,0.0,0.02
gets,15,0.01,0.01,0.0,0.06
among,15,0.01,0.0,0.0,0.02
turn,15,0.01,0.0,0.0,0.02
hit,15,0.01,0.01,0.0,0.02
looking,15,0.01,0.01,0.0,0.04
went,15,0.01,0.0,0.0,0.02
let,15,0.01,0.01,0.0,0.03
six,15,0.01,0.01,0.0,0.06
real,15,0.01,0.01,0.0,0.03
help,15,0.01,0.01,0.0,0.04
years,15,0.01,0.01,0.0,0.03
way,15,0.01,0.01,0.0,0.03
onto,15,0.01,0.01,0.0,0.03
refers,15,0.01,0.0,0.0,0.01
receive,15,0.01,0.01,0.0,0.04
public,15,0.01,0.01,0.0,0.03
clubs,15,0.01,0.0,0.0,0.03
date,15,0.0,0.0,0.0,0.01
those,15,0.01,0.01,0.0,0.04
present,15,0.01,0.0,0.0,0.02
deliver,15,0.0,0.0,0.0,0.02
letters,15,0.0,0.0,0.0,0.01
preferred,15,0.01,0.01,0.0,0.03
peter,15,0.01,0.01,0.0,0.03
specific,15,0.01,0.01,0.0,0.04
law,15,0.01,0.01,0.0,0.03
confusion,15,0.0,0.0,0.0,0.01
advice,15,0.0,0.0,0.0,0.02
personally,15,0.0,0.0,0.0,0.01
vs,15,0.0,0.0,0.0,0.0
greater,15,0.0,0.0,0.0,0.01
handling,15,0.0,0.0,0.0,0.03
experience,15,0.01,0.01,0.0,0.04
continuous,15,0.0,0.0,0.0,0.01
1986,15,0.0,0.0,0.0,0.01
incident,15,0.0,0.0,0.0,0.02
bears,15,0.01,0.0,0.0,0.03
able,15,0.01,0.01,0.0,0.04
does,15,0.01,0.01,0.0,0.03
the,15,0.09,0.04,0.05,0.23
in,15,0.05,0.03,0.03,0.15
two,15,0.02,0.01,0.01,0.05
station,15,0.01,0.01,0.0,0.08
are,15,0.02,0.01,0.01,0.03
heard,15,0.01,0.01,0.0,0.06
however,15,0.01,0.01,0.01,0.03
been,15,0.01,0.01,0.01,0.03
etc,15,0.01,0.01,0.0,0.05
next,15,0.01,0.0,0.0,0.02
self,15,0.02,0.02,0.01,0.07
act,15,0.01,0.0,0.0,0.01
several,15,0.01,0.01,0.0,0.03
will,15,0.01,0.01,0.0,0.02
earlier,15,0.0,0.0,0.0,0.01
addition,15,0.01,0.0,0.0,0.03
different,15,0.01,0.01,0.0,0.03
someone,15,0.01,0.01,0.0,0.03
1969,15,0.01,0.0,0.0,0.02
asks,15,0.01,0.01,0.0,0.06
fifty,15,0.0,0.0,0.0,0.01
must,15,0.01,0.0,0.0,0.02
dollars,15,0.0,0.0,0.0,0.01
latter,15,0.01,0.01,0.0,0.03
thus,15,0.01,0.01,0.0,0.04
attempt,15,0.01,0.01,0.0,0.03
1991,15,0.01,0.0,0.0,0.02
learns,15,0.01,0.0,0.0,0.02
worlds,15,0.0,0.0,0.0,0.02
1976,15,0.0,0.0,0.0,0.01
counter,15,0.01,0.01,0.0,0.04
1940,15,0.0,0.0,0.0,0.0
anchor,15,0.0,0.0,0.0,0.02
wants,15,0.01,0.01,0.0,0.02
trigger,15,0.01,0.01,0.0,0.03
romantic,15,0.01,0.0,0.0,0.02
emerging,15,0.0,0.0,0.0,0.01
function,15,0.01,0.01,0.0,0.03
hoping,15,0.01,0.01,0.0,0.03
around,15,0.02,0.02,0.01,0.05
avoid,15,0.01,0.01,0.0,0.03
attention,15,0.0,0.0,0.0,0.01
having,15,0.01,0.01,0.0,0.04
heart,15,0.01,0.01,0.0,0.03
challenge,15,0.0,0.0,0.0,0.02
described,15,0.01,0.0,0.0,0.02
caught,15,0.01,0.0,0.0,0.02
beauty,15,0.01,0.0,0.0,0.01
killer,15,0.01,0.01,0.0,0.04
guy,15,0.01,0.01,0.0,0.04
falling,15,0.01,0.01,0.0,0.09
hard,14,0.02,0.02,0.0,0.11
channel,14,0.01,0.0,0.0,0.03
include,14,0.01,0.0,0.0,0.02
ranked,14,0.0,0.0,0.0,0.02
more,14,0.01,0.01,0.01,0.04
various,14,0.01,0.0,0.0,0.02
english,14,0.01,0.0,0.0,0.02
sunny,14,0.0,0.0,0.0,0.01
day,14,0.01,0.01,0.01,0.04
bike,14,0.01,0.0,0.0,0.02
ireland,14,0.01,0.0,0.0,0.03
entitled,14,0.01,0.0,0.0,0.01
scott,14,0.01,0.0,0.0,0.04
23,14,0.0,0.0,0.0,0.01
already,14,0.01,0.0,0.0,0.02
people,14,0.01,0.01,0.0,0.03
featuring,14,0.01,0.01,0.0,0.03
five,14,0.01,0.01,0.0,0.03
we,14,0.02,0.02,0.0,0.09
how,14,0.02,0.02,0.0,0.06
midway,14,0.0,0.0,0.0,0.01
encompasses,14,0.0,0.0,0.0,0.01
conversation,14,0.01,0.01,0.0,0.11
genre,14,0.01,0.01,0.0,0.04
connects,14,0.01,0.01,0.0,0.04
hawaii,14,0.01,0.01,0.0,0.07
monitoring,14,0.01,0.01,0.0,0.04
charts,14,0.01,0.01,0.0,0.02
sally,14,0.0,0.0,0.0,0.01
1946,14,0.0,0.0,0.0,0.03
decide,14,0.0,0.0,0.0,0.01
closure,14,0.0,0.0,0.0,0.01
academy,14,0.0,0.0,0.0,0.01
notice,14,0.0,0.0,0.0,0.01
trio,14,0.01,0.01,0.0,0.04
phone,14,0.01,0.01,0.0,0.06
elephant,14,0.01,0.0,0.0,0.01
hollywood,14,0.0,0.0,0.0,0.01
ghost,14,0.01,0.0,0.0,0.02
farmer,14,0.0,0.0,0.0,0.01
minor,14,0.0,0.0,0.0,0.01
multiple,14,0.01,0.0,0.0,0.02
fails,14,0.0,0.0,0.0,0.01
guitar,14,0.01,0.01,0.0,0.05
miniature,14,0.01,0.01,0.0,0.1
helps,14,0.0,0.0,0.0,0.01
aside,14,0.0,0.0,0.0,0.01
pass,14,0.0,0.0,0.0,0.01
1993,14,0.01,0.0,0.0,0.03
2002,14,0.01,0.0,0.0,0.03
characters,14,0.01,0.01,0.0,0.02
recent,14,0.0,0.0,0.0,0.01
moving,14,0.01,0.0,0.0,0.01
subsequently,14,0.01,0.01,0.0,0.06
compared,14,0.0,0.0,0.0,0.01
stuck,14,0.01,0.01,0.0,0.03
least,14,0.01,0.0,0.0,0.02
despite,14,0.01,0.0,0.0,0.03
performance,14,0.01,0.0,0.0,0.02
play,14,0.01,0.01,0.0,0.04
bring,14,0.01,0.01,0.0,0.03
true,14,0.01,0.0,0.0,0.02
throughout,14,0.01,0.0,0.0,0.02
good,14,0.02,0.02,0.0,0.09
together,14,0.01,0.01,0.0,0.02
love,14,0.02,0.01,0.0,0.06
brother,14,0.01,0.01,0.0,0.05
life,14,0.01,0.01,0.0,0.04
taken,14,0.01,0.01,0.0,0.02
here,14,0.01,0.0,0.0,0.02
longer,14,0.01,0.01,0.0,0.07
got,14,0.01,0.01,0.0,0.05
see,14,0.01,0.01,0.0,0.05
eventually,14,0.01,0.0,0.0,0.02
fact,14,0.01,0.01,0.0,0.03
example,14,0.01,0.01,0.0,0.03
film,14,0.02,0.01,0.0,0.03
popular,14,0.01,0.01,0.0,0.03
king,14,0.03,0.02,0.0,0.15
founding,14,0.0,0.0,0.0,0.02
common,14,0.01,0.01,0.0,0.02
northwestern,14,0.0,0.0,0.0,0.02
queen,14,0.03,0.02,0.0,0.17
shortly,14,0.01,0.01,0.0,0.02
position,14,0.0,0.0,0.0,0.01
victoria,14,0.0,0.0,0.0,0.01
register,14,0.0,0.0,0.0,0.01
these,14,0.01,0.01,0.0,0.04
within,14,0.01,0.01,0.0,0.02
walker,14,0.01,0.01,0.0,0.09
today,14,0.01,0.01,0.0,0.03
july,14,0.0,0.0,0.0,0.01
alongside,14,0.0,0.0,0.0,0.02
mighty,14,0.01,0.01,0.0,0.03
close,14,0.01,0.01,0.0,0.04
flee,14,0.0,0.0,0.0,0.02
anne,14,0.01,0.01,0.0,0.05
acted,14,0.0,0.0,0.0,0.0
1947,14,0.0,0.0,0.0,0.02
sweden,14,0.0,0.0,0.0,0.01
denied,14,0.0,0.0,0.0,0.02
alice,14,0.01,0.0,0.0,0.03
1968,14,0.0,0.0,0.0,0.02
creates,14,0.01,0.01,0.0,0.04
offered,14,0.01,0.0,0.0,0.03
idea,14,0.01,0.01,0.0,0.09
additionally,14,0.0,0.0,0.0,0.01
suggested,14,0.01,0.01,0.0,0.05
major,14,0.01,0.01,0.0,0.03
getting,14,0.01,0.01,0.0,0.02
fisher,14,0.01,0.0,0.0,0.04
dispute,14,0.0,0.0,0.0,0.0
survey,14,0.0,0.0,0.0,0.02
coins,14,0.01,0.01,0.0,0.03
citizens,14,0.0,0.0,0.0,0.01
secure,14,0.01,0.01,0.0,0.04
arrangements,14,0.0,0.0,0.0,0.01
reflecting,14,0.0,0.0,0.0,0.01
map,14,0.01,0.0,0.0,0.02
stable,14,0.0,0.0,0.0,0.01
russell,14,0.0,0.0,0.0,0.02
believes,14,0.01,0.01,0.0,0.01
bond,14,0.0,0.0,0.0,0.01
visit,14,0.01,0.0,0.0,0.02
corresponding,14,0.0,0.0,0.0,0.01
response,14,0.01,0.01,0.0,0.04
1966,14,0.0,0.0,0.0,0.01
thanks,14,0.0,0.0,0.0,0.01
initial,14,0.01,0.01,0.0,0.05
collect,14,0.0,0.0,0.0,0.02
weeks,14,0.0,0.0,0.0,0.03
1984,14,0.0,0.0,0.0,0.02
easier,14,0.0,0.0,0.0,0.01
subsequent,14,0.0,0.0,0.0,0.0
achieved,14,0.01,0.01,0.0,0.04
involving,14,0.01,0.01,0.0,0.04
agent,14,0.01,0.01,0.0,0.04
ring,14,0.01,0.01,0.0,0.03
keep,14,0.02,0.01,0.0,0.06
mobile,14,0.01,0.01,0.0,0.12
fixed,14,0.01,0.01,0.0,0.04
connected,14,0.01,0.01,0.0,0.04
use,14,0.02,0.01,0.01,0.04
rings,14,0.01,0.01,0.0,0.04
pay,14,0.01,0.0,0.0,0.01
between,14,0.01,0.01,0.0,0.04
name,14,0.01,0.01,0.0,0.03
control,14,0.01,0.01,0.0,0.02
three,14,0.02,0.01,0.01,0.03
would,14,0.02,0.01,0.01,0.05
could,14,0.01,0.01,0.0,0.04
voted,14,0.0,0.0,0.0,0.01
pair,14,0.01,0.01,0.0,0.06
another,14,0.01,0.01,0.0,0.03
outside,14,0.01,0.01,0.0,0.04
location,14,0.01,0.0,0.0,0.01
1980s,14,0.01,0.0,0.0,0.02
about,14,0.02,0.01,0.01,0.05
sending,14,0.0,0.0,0.0,0.02
requiring,14,0.0,0.0,0.0,0.01
linking,14,0.0,0.0,0.0,0.01
possible,14,0.01,0.01,0.0,0.02
association,14,0.0,0.0,0.0,0.01
closed,14,0.01,0.0,0.0,0.01
sub,14,0.01,0.01,0.0,0.04
makes,14,0.01,0.0,0.0,0.03
given,14,0.02,0.01,0.0,0.03
helped,14,0.01,0.01,0.0,0.03
attached,14,0.02,0.02,0.0,0.09
belgium,14,0.0,0.0,0.0,0.01
coin,14,0.01,0.01,0.0,0.04
should,14,0.01,0.01,0.0,0.04
15,14,0.01,0.0,0.0,0.02
attempting,14,0.0,0.0,0.0,0.02
chance,14,0.01,0.0,0.0,0.01
1995,14,0.0,0.0,0.0,0.01
related,14,0.01,0.0,0.0,0.01
sam,14,0.0,0.0,0.0,0.01
check,14,0.01,0.01,0.0,0.03
practice,14,0.01,0.01,0.0,0.03
couple,14,0.01,0.01,0.0,0.03
say,14,0.01,0.01,0.0,0.02
maintains,14,0.0,0.0,0.0,0.01
model,14,0.01,0.01,0.0,0.03
romance,14,0.01,0.01,0.0,0.04
fictional,14,0.01,0.01,0.0,0.02
points,14,0.0,0.0,0.0,0.02
keeping,14,0.0,0.0,0.0,0.01
similarly,14,0.01,0.01,0.0,0.04
deals,14,0.01,0.01,0.0,0.04
larger,14,0.01,0.0,0.0,0.02
finally,14,0.01,0.0,0.0,0.01
action,14,0.01,0.01,0.0,0.02
publication,14,0.0,0.0,0.0,0.0
assistant,14,0.0,0.0,0.0,0.0
films,14,0.01,0.01,0.0,0.07
claimed,14,0.01,0.01,0.0,0.03
withdrawn,14,0.0,0.0,0.0,0.01
explaining,14,0.0,0.0,0.0,0.02
concluded,14,0.0,0.0,0.0,0.01
expected,14,0.0,0.0,0.0,0.01
anyone,14,0.01,0.01,0.0,0.03
defined,14,0.01,0.01,0.0,0.04
ruled,14,0.0,0.0,0.0,0.01
motor,14,0.0,0.0,0.0,0.02
follows,14,0.0,0.0,0.0,0.01
briefly,14,0.0,0.0,0.0,0.01
brooks,14,0.0,0.0,0.0,0.01
lovers,14,0.01,0.0,0.0,0.02
enjoyed,14,0.0,0.0,0.0,0.01
