,no-cat,hot,all,communication,relation,object,food,plant,measure,mean
dish,0.005493553226278437,0.0,0.004531744893950022,0.0,0.0,0.004622432220750409,0.004556006029297019,0.0,0.0048452553111486924,0.002672110186824953
coffee,0.0045464437018586405,0.0,0.004176023099744197,0.0,0.004071329663511182,0.004187307866560817,0.0040746243335175285,0.0041047731351295845,0.0,0.0027956113111468834
vegetable,0.0031581474803109343,0.0,0.0026300324634692196,0.0,0.0,0.0024116604320558437,0.0032590221903312957,0.0032297989687110618,0.0,0.0016320735038753728
firewood,0.0,0.0,0.008768537860236559,0.0,0.0,0.0,0.0,0.0,0.0,0.0009742819844707288
flame,0.0,0.04418016514276426,0.03226479929030132,0.0,0.0,0.0,0.0,0.0,0.0,0.008493884937007288
spiciness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
enchiladas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lightning,0.0,0.0,0.0006355922966259113,0.0,0.0,0.0,0.0,0.0,0.0,7.062136629176791e-05
coal,0.0,0.00785392428433974,0.0062938183210999935,0.0,0.0,0.0,0.0,0.0,0.0,0.0015719714006044148
fume,0.0,0.0,0.00498523296352745,0.0,0.0,0.0,0.0,0.0,0.0,0.0005539147737252722
campfire,0.0,0.0,0.02575571643605098,0.0,0.0,0.0,0.0,0.0,0.0,0.0028617462706723314
vinyl,0.0,0.00047895259908016286,0.0004724701497394125,0.0,0.0,0.0,0.0,0.0,0.0,0.00010571363875773058
people,0.0,0.0003391594270946476,0.00032351920846497746,0.0,0.0,0.0,0.0,0.0,0.0,7.3630959506625e-05
anger,0.0,0.0028260017543323274,0.0024966447221717535,0.0,0.0,0.0,0.0,0.0,0.0,0.000591405164056009
icicle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
happiness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
river,0.0,0.00017592696301503314,0.00015174110103959335,0.0,0.0,0.0,0.0,0.0,0.0,3.640756267273628e-05
glass,0.0,0.0,0.009350270333237855,0.0,0.0,0.01077781110711905,0.0,0.0,0.009790044379029526,0.003324236202154048
atole,0.0,0.0,0.02768229565976827,0.0,0.0,0.0,0.01632848578006588,0.0,0.0,0.0048900868266482395
charcoal,0.0,0.0,0.037700398950868734,0.0,0.03244444282006948,0.037930084484215795,0.0,0.0,0.0,0.012008325139461557
sandwich,0.0,0.0,0.0017433980393758838,0.0,0.0,0.0,0.0016485392353093136,0.0,0.0,0.0003768819194094664
grill,0.0,0.0,0.008726530209152034,0.0,0.0,0.008830692817060198,0.0,0.0,0.0,0.0019508025584680257
kitchen,0.0,0.0,0.006980461527242349,0.0,0.0,0.007381884924856235,0.0,0.0,0.0,0.0015958162724553982
pizza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
igniter,0.0,0.0,0.024617462057286627,0.0,0.0,0.018952227850281392,0.0,0.0,0.0,0.0048410766563964465
pastry,0.0,0.0,0.0021289875818463577,0.0,0.0,0.0,0.0020832642740709452,0.0,0.0,0.0004680279839908114
syrup,0.0,0.0,0.010149061524486256,0.0,0.0,0.0,0.011264812576072638,0.0,0.0,0.002379319344506544
pie,0.0,0.0,0.000685650389841024,0.0,0.0,0.0,0.0006547881896755613,0.0,0.0,0.00014893761994628726
casserole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
toast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tray,0.0,0.0,0.02088660637470919,0.0,0.0,0.021254282771346965,0.0,0.0,0.0,0.004682321016228462
cookware,0.0,0.0,0.018192127285638106,0.0,0.0,0.016057735049482953,0.0,0.0,0.0,0.0038055402594578958
cupcake,0.0,0.0,0.015874362077998562,0.0,0.0,0.0,0.01152398259727806,0.0,0.0,0.0030442605194751803
pasta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oven,0.0,0.0,0.08636268046748392,0.0,0.0,0.0903229565086583,0.0,0.0,0.0,0.01963173744179358
tea,0.0,0.0,0.0019358470383878743,0.0,0.0017758450800971447,0.0019374668564474738,0.001807507804416301,0.0018618564454881065,0.0,0.0010353914694263221
chocolate,0.0,0.0,0.0021029602197679517,0.0,0.0020223010806877106,0.0,0.0021490620938384654,0.0,0.0,0.0006971470438104586
vapor,0.0,0.0,0.03325160581979127,0.0,0.031063439519774326,0.0,0.0,0.0,0.0,0.007146116148840622
pancake,0.0,0.0,0.003398265379776314,0.0,0.0,0.0,0.003356538355320789,0.0,0.0,0.0007505337483441226
