,no-cat,hot,all,communication,relation,object,food,plant,measure,mean
dish,0.001648065967883531,0.0,0.0014603309665444746,0.0,0.0,0.0013867296662251228,0.0017519197130325369,0.0,0.0014535765933446076,0.0008556247674478081
coffee,0.00037887030848822006,0.0,0.0003738059690443691,0.0,0.0,0.0003489423222134015,0.0004352261514915352,0.0003420644279274654,0.0,0.00020876768657388791
vegetable,0.0025265179842487474,0.0,0.002349710078898122,0.0,0.0,0.0020597883676242413,0.0030545870907697035,0.0025838391749688494,0.0,0.0013971602996121848
firewood,0.0,0.04792684633163608,0.05023315955735963,0.0,0.0,0.0,0.0,0.0,0.0,0.010906667320999522
flame,0.0,0.09409180662062715,0.0838480801609392,0.0,0.0,0.0,0.0,0.0,0.0,0.019771098531285152
spiciness,0.0,0.043462769101354444,0.035267443840018474,0.0,0.0,0.0,0.0,0.0,0.0,0.008747801437930323
enchiladas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lightning,0.0,0.003921049962120383,0.0040963255195546125,0.0,0.0,0.0,0.0,0.0,0.0,0.0008908194979638884
coal,0.0,0.05063281148150502,0.049510717277715284,0.0,0.0,0.0,0.0,0.0,0.0,0.01112705875102448
fume,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
campfire,0.0,0.07937831961612184,0.09221826901675677,0.0,0.0,0.0,0.0,0.0,0.0,0.0190662876258754
vinyl,0.0,0.002155286695860733,0.002374379165032063,0.0,0.0,0.0,0.0,0.0,0.0,0.0005032962067658662
people,0.0,0.0014414275651522522,0.001535508358963093,0.0,0.0,0.0,0.0,0.0,0.0,0.00033077065823503834
anger,0.0,0.011869207368195776,0.011710332317239473,0.0,0.0,0.0,0.0,0.0,0.0,0.0026199488539372495
icicle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
happiness,0.0,0.0018884708179481575,0.0019320645977593694,0.0,0.0,0.0,0.0,0.0,0.0,0.0004245039350786141
river,0.0,0.0009675982965826823,0.0009320283099948605,0.0,0.0,0.0,0.0,0.0,0.0,0.0002110696229530603
glass,0.0,0.0,0.0029111840155389363,0.0,0.0,0.003124003219454797,0.0,0.0,0.002837694022907109,0.0009858756953223158
atole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
charcoal,0.0,0.0,0.1607179093580634,0.0,0.18097314395698438,0.15053502279673145,0.0,0.0,0.0,0.05469178623464214
sandwich,0.0,0.0,0.0009363347538650467,0.0,0.0,0.0,0.0010565205450688714,0.0,0.0,0.0002214283665482131
grill,0.0,0.0,0.009373594934645414,0.0,0.0,0.008830692817060198,0.0,0.0,0.0,0.0020226986390784016
kitchen,0.0,0.0,0.006174870271730348,0.0,0.0,0.006079199349881605,0.0,0.0,0.0,0.0013615632912902169
pizza,0.0,0.0,0.00280441784993953,0.0,0.0,0.0,0.0028572810688088663,0.0,0.0,0.0006290776576387108
igniter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pastry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
syrup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
casserole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
toast,0.0,0.0,0.01123735766906415,0.0,0.0,0.010117703903846323,0.011916835048661098,0.0,0.010068252136699487,0.004815572084252339
tray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cookware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
