,no-cat,hot,all,communication,relation,object,food,plant,measure,mean
dish,0.024720989518252964,0.0,0.017368128396776664,0.0,0.0,0.017134185201943253,0.019317513796875928,0.0,0.021803648900169115,0.011149385090446436
coffee,0.03788703084882201,0.0,0.0296385327006002,0.0,0.03392774719592652,0.02874312861989819,0.03199342650105716,0.03420644279274654,0.0,0.021821812073227847
vegetable,0.004421406472435308,0.0,0.003275085822688524,0.0,0.0,0.003164341486150596,0.003657829928812862,0.0045217185561954865,0.0,0.0021155980295869754
firewood,0.0,0.00599085579145451,0.004978642883905341,0.0,0.0,0.0,0.0,0.0,0.0,0.0012188331861510947
flame,0.0,0.026972984564579777,0.01905815203177694,0.0,0.0,0.0,0.0,0.0,0.0,0.005114570732928524
spiciness,0.0,0.17385107640541778,0.1118521772342163,0.0,0.0,0.0,0.0,0.0,0.0,0.03174480595995934
enchiladas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lightning,0.0,0.0013070166540401276,0.001082639015226745,0.0,0.0,0.0,0.0,0.0,0.0,0.0002655172965852081
coal,0.0,0.0036602032396268695,0.0028378069210171046,0.0,0.0,0.0,0.0,0.0,0.0,0.0007220011289604416
fume,0.0,0.004389494280335872,0.004245809566101369,0.0,0.0,0.0,0.0,0.0,0.0,0.0009594782051596933
campfire,0.0,0.007937831961612183,0.007311852694148582,0.0,0.0,0.0,0.0,0.0,0.0,0.0016944094061956405
vinyl,0.0,0.0030298218383954306,0.002941751310198578,0.0,0.0,0.0,0.0,0.0,0.0,0.0006635081276215565
people,0.0,0.000996124842556239,0.0009352268623829722,0.0,0.0,0.0,0.0,0.0,0.0,0.00021459463388213458
anger,0.0,0.003575419299138955,0.003108982815782089,0.0,0.0,0.0,0.0,0.0,0.0,0.0007427113461023383
icicle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
happiness,0.0,0.0022754931475694475,0.002051779734575735,0.0,0.0,0.0,0.0,0.0,0.0,0.0004808080980161314
river,0.0,0.001112902102482002,0.0009447889629437938,0.0,0.0,0.0,0.0,0.0,0.0,0.0002286323406028662
glass,0.0,0.0,0.0025390591046166875,0.0,0.0,0.0028306394120898733,0.0,0.0,0.0031214634251978198,0.0009434624379893755
atole,0.0,0.0,0.165034672619408,0.0,0.0,0.0,0.1076957039989934,0.0,0.0,0.030303375179822376
charcoal,0.0,0.0,0.017057679190990212,0.0,0.017236110248161914,0.01659828221182122,0.0,0.0,0.0,0.005654674627885927
sandwich,0.0,0.0,0.016332937176628124,0.0,0.0,0.0,0.017086235980372937,0.0,0.0,0.003713241461889007
grill,0.0,0.0,0.014864374729109397,0.0,0.0,0.014548062718992479,0.0,0.0,0.0,0.003268048605344653
kitchen,0.0,0.0,0.005245676795672063,0.0,0.0,0.005365250451030523,0.0,0.0,0.0,0.0011789919163002873
pizza,0.0,0.0,0.008153134757806681,0.0,0.0,0.0,0.007701408620933485,0.0,0.0,0.0017616159309711296
igniter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pastry,0.0,0.0,0.003626420633597945,0.0,0.0,0.0,0.00392580558967382,0.0,0.0,0.0008391362470301961
syrup,0.0,0.0,0.0055566803197400925,0.0,0.0,0.0,0.006823274939817065,0.0,0.0,0.0013755505843952398
pie,0.0,0.0,0.01927044396541772,0.0,0.0,0.0,0.02035959827888234,0.0,0.0,0.0044033380271444504
casserole,0.0,0.0,0.03542180113308558,0.0,0.0,0.03182186656132361,0.038147499314135816,0.0,0.0,0.011710129667616111
soup,0.0,0.0,0.029553028680148315,0.0,0.03158938279803678,0.0,0.03240012797117198,0.0,0.0,0.010393615494373008
toast,0.0,0.0,0.011137422229852274,0.0,0.0,0.010417712546360616,0.010950065412773572,0.0,0.012585315170874358,0.005010057262206758
tray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cookware,0.0,0.0,0.007746910587949968,0.0,0.0,0.006613550642751605,0.0,0.0,0.0,0.001595606803411286
cupcake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pasta,0.0,0.0,0.005427432469889235,0.0,0.0,0.0,0.006458802227352667,0.0,0.0,0.0013206927441379891
oven,0.0,0.0,0.03807456210086033,0.0,0.0,0.03851343782877297,0.0,0.0,0.0,0.008509777769959256
tea,0.0,0.0,0.024401010228928408,0.0,0.02628250718543774,0.023619809392467772,0.025205558432520977,0.027555475393223977,0.0,0.014118262292508763
chocolate,0.0,0.0,0.07952232715088996,0.0,0.08979016798253436,0.0,0.08990552082100788,0.0,0.0,0.02880200177271469
vapor,0.0,0.0,0.005552869928823911,0.0,0.006090870494073397,0.0,0.0,0.0,0.0,0.0012937489358774785
pancake,0.0,0.0,0.0057884507156095435,0.0,0.0,0.0,0.006325225849298167,0.0,0.0,0.0013459640627675234
snack,0.0,0.0,0.017003248135123872,0.0,0.0,0.0,0.018230849938681983,0.0,0.0,0.0039148997859784285
heat,0.0,0.0,0.034691965904697294,0.0,0.0,0.03551699856065987,0.0,0.0,0.04478841566205051,0.012777486680823074
chutney,0.0,0.0,0.015851479629275175,0.0,0.0,0.0,0.018844045364965895,0.0,0.0,0.0038550583326934524
pot,0.0,0.0,0.030833712013643537,0.0,0.0314484776756068,0.030491960848351596,0.0,0.0,0.03649977909391005,0.014363769959056888
seasoning,0.0,0.0,0.016878070882941902,0.0,0.0,0.0,0.01917445427021278,0.0,0.0,0.004005836128128298
kettle,0.0,0.0,0.01406102126253078,0.0,0.0,0.014621747160753422,0.0,0.0,0.017284176418561087,0.0051074383157605876
jungle,0.0,0.0,0.004094965840090228,0.0,0.0,0.003877866209354077,0.0,0.0,0.0,0.0008858702277160339
tandoor,0.0,0.0,0.041539428600232145,0.0,0.0,0.04251163286849464,0.0,0.0,0.0,0.009339006829858533
flatbread,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
firebox,0.0,0.0,0.007724736860247053,0.0,0.0,0.008545764286257898,0.0,0.0,0.0,0.0018078334607227722
percolator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
outfit,0.0,0.0,0.007039187851056605,0.0,0.0,0.006774606375949707,0.0,0.0,0.0,0.0015348660252229235
water,0.0,0.0,0.0428023069958079,0.0,0.04532136005620586,0.0429272634240673,0.041832607903586665,0.0,0.0,0.019209282042185305
stove,0.0,0.0,0.10129228580961325,0.0,0.0,0.1021805705906202,0.0,0.0,0.0,0.022608095155581494
ingredient,0.0,0.0,0.01720230785393121,0.0,0.0,0.016437592446013394,0.017784809688343745,0.0,0.0,0.005713856665365373
geyser,0.0,0.0,0.014055459550005573,0.0,0.0,0.01550779761769567,0.0,0.0,0.0,0.003284806351966805
roast,0.0,0.0,0.010005921044223777,0.0,0.0,0.0,0.011438200611833477,0.0,0.0,0.0023826801840063617
tub,0.0,0.0,0.5937025925400589,0.0,0.0,0.5881863153308462,0.0,0.0,0.6732821550566674,0.2061301181030636
shower,0.0,0.0,0.02351326857628761,0.0,0.0,0.023586188641518575,0.0,0.0,0.0,0.0052332730242006876
dough,0.0,0.0,0.011830845952624621,0.0,0.0,0.0,0.013578203920033052,0.0,0.013654470306113832,0.004340391130974611
hearth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
marinade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
summertime,0.0,0.0,0.05260907784506297,0.0,0.0,0.0,0.0,0.0,0.06350554093204812,0.012901624308567899
dessert,0.0,0.0,0.005830161743831845,0.0,0.0,0.0,0.006928949914458158,0.0,0.0,0.0014176790731433337
cooker,0.0,0.0,0.008396801655600602,0.0,0.0,0.007587935442900754,0.0,0.0,0.0,0.0017760818998334839
pudding,0.0,0.0,0.0065807012709590594,0.0,0.0,0.0,0.006183730711455813,0.0,0.0,0.0014182702202683191
furnace,0.0,0.0,0.018106449646855347,0.0,0.0,0.018250233303746102,0.0,0.0,0.0,0.0040396314389557165
steam,0.0,0.0,0.009060159694890449,0.0,0.009756009989693967,0.0,0.0,0.0,0.0,0.0020906855205093796
bulb,0.0,0.0,0.022844671475005376,0.0,0.0,0.02216812324503874,0.0,0.0,0.0,0.005001421635560457
drink,0.0,0.0,0.030949770007670862,0.0,0.03299895367453208,0.0,0.03191043542981644,0.0,0.03277070122925989,0.014292206704586585
mug,0.0,0.0,0.024973790342373042,0.0,0.0,0.02533916325177951,0.0,0.0,0.02978075956397341,0.008899301462013997
meat,0.0,0.0,0.005593707827778397,0.0,0.0,0.005601581358333357,0.006204218453517486,0.0,0.0,0.0019332786266254712
sauna,0.0,0.0,0.04091124959234877,0.0,0.0,0.04071471175614987,0.0,0.0,0.0,0.009069551260944294
bathroom,0.0,0.0,0.004753190779932951,0.0,0.0,0.004961805570716301,0.0,0.0,0.0,0.0010794440389610281
bottle,0.0,0.0,0.023777154069507547,0.0,0.0,0.022979201710713867,0.0,0.0,0.026650639670442483,0.008156332827851545
burner,0.0,0.0,0.014626749947606705,0.0,0.0,0.015118288192240587,0.0,0.0,0.0,0.00330500423776081
boiler,0.0,0.0,0.014862723259494582,0.0,0.0,0.015356584579669194,0.0,0.0,0.0,0.003357700871018197
can,0.0,0.0,0.004603086149765068,0.00505192089444989,0.0,0.004600308780411172,0.0,0.0,0.005034624794779054,0.002143326735489465
sauce,0.0,0.0,0.07270444123930749,0.0,0.0,0.0,0.09734292447846345,0.0,0.0,0.018894151746418994
butter,0.0,0.0,0.008255584073454994,0.0,0.0,0.008110825648657786,0.010529673032747468,0.0,0.0,0.0029884536394289164
fireplace,0.0,0.0,0.005146922440281485,0.0,0.0,0.005347522644906592,0.0,0.0,0.0,0.0011660494539097862
puree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile,0.0,0.0,0.0011042048246516208,0.0,0.0,0.0011142074295943701,0.0,0.0,0.0,0.00024649025047177676
heater,0.0,0.0,0.055226133399594625,0.0,0.0,0.05358712227572676,0.0,0.0,0.0,0.012090361741702376
tortilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kerosene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fondue,0.0,0.0,0.040448191933560626,0.0,0.0,0.0,0.041431830727247175,0.0,0.0,0.00909778029564531
cake,0.0,0.0,0.0038179941524673173,0.0,0.0,0.003680348738280942,0.003952902036003665,0.0,0.0,0.0012723605474168804
toaster,0.0,0.0,0.01556238333936407,0.0,0.0,0.013846434971626392,0.0,0.0,0.0,0.0032676464789989403
kiln,0.0,0.0,0.005729009614046525,0.0,0.0,0.005263837865736432,0.0,0.0,0.0,0.0012214274977536618
custard,0.0,0.0,0.011064764954669782,0.0,0.0,0.0,0.012280743723184308,0.0,0.0,0.0025939454086504545
jug,0.0,0.0,0.0020196181475635247,0.0,0.0,0.0019597780708516714,0.0,0.0,0.0023766667484108753,0.0007062292185362302
chimney,0.0,0.0,0.003867631109678373,0.0,0.0,0.004035174485052073,0.0,0.0,0.0,0.0008780895105256052
popcorn,0.0,0.0,0.058105798866904285,0.0,0.0,0.0554509952512969,0.06056791952067606,0.06283673325171295,0.0,0.02632904965451002
lava,0.0,0.0,0.012684657016185291,0.0,0.014224174066400235,0.0,0.0,0.0,0.0,0.0029898701202872805
griddle,0.0,0.0,0.13656355029828124,0.0,0.0,0.12772223515384265,0.0,0.0,0.0,0.02936508727245821
fire,0.0,0.0,0.007113720771535483,0.008568873447521167,0.006960726534680104,0.006980938912549973,0.0,0.0,0.0,0.003291584407365192
atmosphere,0.0,0.0,0.005477104298808223,0.0,0.0,0.00536093262229115,0.0,0.0,0.0065977645554974535,0.001937311275177425
bath,0.0,0.0,0.02524091082022352,0.0,0.0,0.02479840868697139,0.0,0.0,0.03388790600499981,0.009325247279132746
heating,0.0,0.0,0.05334826490087151,0.0,0.0,0.055492900977130645,0.0,0.0,0.0,0.012093462875333574
bathtub,0.0,0.0,0.030917355884590072,0.0,0.0,0.029201289022832682,0.0,0.0,0.0,0.0066798494341580835
noodle,0.0,0.0,0.010281434700855912,0.0,0.0,0.0,0.011225286593369447,0.0,0.0,0.002389635699358373
wok,0.0,0.0,0.025030017878872497,0.0,0.0,0.014206041204992515,0.0,0.0,0.0,0.004359562120429446
skillet,0.0,0.0,0.10114186090440644,0.0,0.0,0.08479453647960022,0.0,0.0,0.0,0.020659599709334075
soot,0.0,0.0,0.009070684373959357,0.0,0.007906223537744133,0.0,0.0,0.0,0.0,0.0018863231013003879
space,0.0,0.0,0.0023591826267039193,0.003195397050993516,0.0,0.002367768265404287,0.0,0.0,0.003047816030518201,0.0012189071081799914
bread,0.0,0.0,0.010165727103514445,0.0,0.0,0.0,0.011987740741081648,0.0,0.012863313054671461,0.00389075343325195
barbecue,0.0,0.0,0.018034091508751588,0.0,0.0,0.017816292128559667,0.019605015424837644,0.0,0.0,0.006161711006905433
jar,0.0,0.0,0.0008055060349939254,0.0,0.0,0.0008374758535145018,0.0,0.0,0.0010926673330940474,0.0003039610246224972
lemonade,0.0,0.0,0.023950454203769074,0.0,0.026751609448234175,0.0,0.02382504885550339,0.0,0.0,0.008280790278611849
cream,0.0,0.0,0.004086373033395031,0.0,0.0,0.003983713656425727,0.0045754323778634766,0.0,0.0,0.001405057674187137
pomade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
countertop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boot,0.0,0.0,0.003290502455177356,0.0,0.0,0.0033695073534549076,0.0,0.0,0.0,0.0007400010898480293
toilet,0.0,0.0,0.007836970414902002,0.0,0.0,0.008409464481839013,0.0,0.0,0.0,0.001805159432971224
problem,0.0,0.0,0.0015541501385490262,0.0029580367307665946,0.0,0.0,0.0,0.0,0.0,0.0005013540965906246
idea,0.0,0.0,0.0024547998923051114,0.003262130133637082,0.0,0.0,0.0,0.0,0.0,0.0006352144473269104
vinaigrette,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
juice,0.0,0.0,0.004400441776416695,0.0,0.005429542996177322,0.0,0.005255279965220995,0.0,0.0,0.0016761405264238902
freezer,0.0,0.0,0.004499380891189684,0.0,0.0,0.004652343114473578,0.0,0.0,0.0,0.0010168582228514734
table,0.0,0.0,0.0011498456699507468,0.0,0.0,0.0012240359939984567,0.0010752723060830876,0.0,0.0,0.0003832393300035879
toe,0.0,0.0,0.0005703527367160424,0.0,0.0,0.0005742221949947854,0.0,0.0,0.0,0.0001271749924123142
fridge,0.0,0.0,0.00858652008425859,0.0,0.0,0.009059590632293649,0.0,0.0,0.0,0.0019606789685058046
laundry,0.0,0.0,0.006347853039436965,0.0,0.0,0.0066779219887558635,0.0,0.0,0.0,0.0014473083364658697
sundae,0.0,0.0,0.03146696846940516,0.0,0.0,0.0,0.037833751982749006,0.0,0.0,0.007700080050239351
refrigerator,0.0,0.0,0.014483954552865969,0.0,0.0,0.014084900112784987,0.0,0.0,0.0,0.0031743171850723284
fruitcake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
