,context,n_concepts,mean_tfidf,mean_diff,evidence
0,green,55,0.02,0.02,-
1,gardens,48,0.01,0.01,-
2,bamboo,47,0.01,0.01,-
3,derived,47,0.0,0.0,-
4,garden,46,0.01,0.01,-
5,leaf,45,0.02,0.02,-
6,leaves,43,0.03,0.02,-
7,commonly,43,0.01,0.01,-
8,include,43,0.01,0.0,-
9,tropical,43,0.01,0.01,-
10,tree,41,0.06,0.05,-
11,slopes,41,0.0,0.0,-
12,plants,41,0.02,0.02,-
13,resembling,41,0.01,0.0,-
14,flowers,41,0.01,0.01,-
15,small,41,0.01,0.01,-
16,grow,40,0.01,0.01,-
17,asia,40,0.01,0.0,-
18,surrounded,39,0.01,0.01,-
19,forest,39,0.02,0.01,-
20,green,55,0.02,0.02,-
