,all,criminal,animal,communication,bird,object,mammal,food,no-cat,fish,relation,measure,female,mean
ballerina,0.01074587723579734,,,,,0.010753692452173001,,,,,,,,0.01074978484398517
girlfriend,0.014354850141204094,,,,,0.014276240220295763,,,,,,,0.01484870954586635,0.014493266635788737
actress,0.031240434694838844,,,,,0.03103171562342803,,,,,,,,0.031136075159133435
hostess,0.029557527193895466,,,,,0.029386846263062958,,,,,,,,0.029472186728479212
sow,0.0,,0.0,,,0.0,0.0,,,,,,,0.0
vixen,0.018391183709804415,,0.01753514540187172,,,0.018301009210700495,0.018177510628427606,,,,,,,0.01810121223770106
madam,0.010034871581792448,,,,,0.009898547299601622,,,,,,,0.009502843137697631,0.009812087339697234
enchantress,0.026518396647112384,,,,,0.02640328052595309,,,,,,,0.0308046982052869,0.02790879179278413
vamp,0.0,,,0.0,,0.0,,,,,0.0,,0.0,0.0
miss,0.00976324899731492,,,,,0.009681911013618266,,,,,,,0.01244201633472375,0.010629058781885645
courtesan,0.040020528491946226,,,,,0.03983699557534839,,,,,,,0.03031065950918241,0.036722727858825674
woman,0.07807101757721754,,,,,0.07767956490311317,,,,,,,0.08225070719860973,0.07933376322631348
skirt,0.004972207334834783,,,,,0.004935949606116888,,,,,,,0.00621946124208497,0.00537587272767888
comedienne,0.0,,,,,0.0,,,,,,,,0.0
duchess,0.010372207473937543,,,,,0.010360546247691895,,,,,,,,0.010366376860814718
stepdaughter,0.006617659505055688,,,,,0.006615024446631359,,,,,,,,0.006616341975843524
siren,0.003560522780400204,,0.003315110234335417,0.0038428117773904595,,0.0035426301131182888,,,,,,,0.003740806991611378,0.0036003763793711493
bachelorette,0.01479396656556365,,,,,0.01463945538293972,,,,,,,0.01731415622394475,0.015582526057482707
wife,0.01195993213264449,,,,,0.011904878503170268,,,,,,,0.012554317551970428,0.012139709395928395
nun,0.024474455369157766,,,0.02639808038525321,,0.02437698060215654,,,,,,,,0.02508317211885584
godmother,0.004539258262207361,,,,,0.004512283058793857,,,,,,,,0.004525770660500609
amazon,0.0002588931117263094,,0.00028082419994700995,,0.00036819220606071834,0.00025498925520502243,,,,,,,0.0004039173276108415,0.00031336322010998036
maid,0.008516633399596006,,,,,0.008509344811285752,,,,,,,0.011335514262596706,0.009453830824492823
spokeswoman,0.0028962809471295217,,,,,0.0028789319621249873,,,,,,,,0.0028876064546272543
tomboy,0.12889561820142176,,,,,0.12804386899431236,,,,,,,0.14236182053342278,0.13310043590971896
doll,0.0066883660350681925,,,,,0.00663587601400073,,,,,,,0.009836296062161791,0.007720179370410238
lass,0.022512078860208326,,,,,0.023406084653448168,,,,,,,0.01625818793944624,0.020725450484367577
minx,0.0,,,,,0.0,,,,,,,0.0,0.0
princess,0.0073434512146780834,,,,,0.007318052193632757,,,,,,,,0.00733075170415542
seductress,0.0,,,,,0.0,,,,,,,,0.0
waitress,0.020718508903403363,,,,,0.020507978489381646,,,,,,,,0.020613243696392503
lady,0.017722164362694276,,,,,0.017579126580865745,,,,,,,0.02147009630898447,0.018923795750848165
