,context,n_concepts,mean_tfidf,mean_diff,evidence
0,nearly,6,0.01,0.01,-
1,walks,6,0.01,0.0,-
2,dropping,6,0.01,0.01,-
3,disappearing,5,0.0,0.0,-
4,ambitious,5,0.0,0.0,-
5,map,5,0.0,0.0,-
6,sneak,5,0.0,0.0,-
7,districts,5,0.0,0.0,-
8,bulk,5,0.0,0.0,-
9,cemetery,5,0.0,0.0,-
10,inhabitants,5,0.0,0.0,-
11,longest,5,0.02,0.01,-
12,idaho,5,0.0,0.0,-
13,partner,5,0.01,0.01,-
14,rely,5,0.0,0.0,-
15,225,5,0.0,0.0,-
16,wolf,5,0.01,0.01,-
17,density,5,0.01,0.01,-
18,460,5,0.0,0.0,-
19,busy,5,0.0,0.0,-
20,cold,3,0.02,0.02,-
