,context,n_concepts,mean_tfidf,mean_diff,evidence
0,crops,16,0.01,0.01,u
1,planting,16,0.01,0.01,u
2,harvest,16,0.01,0.01,u
3,passion,16,0.01,0.01,u
4,growing,15,0.01,0,u
5,festival,15,0.01,0.01,u
6,production,15,0.01,0.01,u
7,crop,15,0.02,0.02,u
8,tropical,15,0.02,0.02,u
9,banana,15,0.04,0.03,i
10,pear,15,0.02,0.02,i
11,pie,15,0.1,0.09,i
12,growers,14,0.05,0.04,u
13,town,14,0,0,u
14,patch,14,0.01,0.01,u
15,farmer,14,0.02,0.01,u
16,fields,14,0.01,0.01,u
17,farming,14,0.01,0.01,u
18,varieties,14,0.02,0.01,u
19,fruit,14,0.05,0.04,i
20,round,4,0,0,p
