,all,relation,bird,animal,food,plant,object,female,fruit,blue,communication,vegetable,fish,vehicle,measure,mean,median
leopard,0.005455040736266867,0.006206789756185994,0.0,0.004769211030163087,0.0,0.0,0.005385310719385112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014544234828000706,0.0
peach,0.019072927374392135,0.0,0.0,0.0,0.025398551430681086,0.025829420079812246,0.018276680064276116,0.028531976335261135,0.034127582977864,0.0,0.0,0.0,0.0,0.0,0.0,0.01008247588415245,0.0
grapefruit,0.0009056250050188155,0.0,0.0,0.0,0.0012807266667869775,0.0012076770982032577,0.000893715827284702,0.0,0.0015424095348754356,0.0,0.0,0.0,0.0,0.0,0.0,0.00038867694214461256,0.0
tongue,0.004079885156342718,0.0,0.0,0.0,0.005519432169023609,0.0,0.003939382479541745,0.0,0.0,0.0,0.007307596071272058,0.0,0.0,0.0,0.0,0.0013897530584120086,0.0
spider,0.004025660342406009,0.0,0.0,0.0037028731078026546,0.0,0.0,0.003925577027952095,0.0,0.0,0.0,0.0048911727061449195,0.0,0.0,0.0,0.0,0.001103018878953712,0.0
clarinet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emerald,0.02018570995949264,0.02450680898484849,0.0,0.0,0.0,0.0,0.019367564039913642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042706721989503186,0.0
dog,0.04437992348826489,0.0,0.0,0.040820019519166535,0.049262703568822716,0.0,0.04294234914374804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01182699971466681,0.0
daisy,0.0075308590638132385,0.0,0.0,0.0,0.0,0.007414310248607204,0.00716998434224312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014743435769775707,0.0
jade,0.009245966032099753,0.0,0.0,0.008320855540907127,0.0,0.0,0.008986162890432718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017701989642293068,0.0
robin,0.002404841009217967,0.0,0.0026722798536696355,0.0025016260367845735,0.0,0.0,0.0023091328160894076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006591919810507722,0.0
lion,0.002725852236736145,0.0,0.0,0.0024042071280903437,0.0,0.0,0.002646654539191609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005184475936012065,0.0
quail,0.0009384506525422973,0.0,0.0008751263049334827,0.0008713965673575288,0.001168808723750412,0.0,0.0009018963476199654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031704523974691244,0.0
locust,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sycamore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dolphin,0.00984767355856627,0.0,0.0,0.010131610415756989,0.0,0.0,0.009474460427688814,0.0,0.0,0.0,0.0,0.0,0.01422138909870844,0.0,0.0,0.0029116755667147006,0.0
corn,0.0033717958356186506,0.004838340660301762,0.0,0.0,0.004792778065330135,0.004780727832907247,0.0032643007233390453,0.0,0.006456548774798464,0.0,0.0,0.0,0.0,0.0,0.0,0.0018336327928196868,0.0
lime,0.0054314342860384696,0.006416951832387728,0.0,0.0,0.00836701014765932,0.007757250989434583,0.005376562166196879,0.0,0.01068383989545571,0.0,0.0,0.0,0.0,0.0,0.0,0.002935536621144846,0.0
apricot,0.006636381306074582,0.0,0.0,0.0,0.009367764461864797,0.009401152309834562,0.006526641642896146,0.0,0.013072029708129656,0.0,0.0,0.0,0.0,0.0,0.0,0.0030002646285866496,0.0
wasp,0.008218449561784415,0.0,0.0,0.007504875468195303,0.0,0.0,0.00803611316111072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015839625460726957,0.0
