,all,relation,bird,animal,food,plant,object,female,fruit,blue,communication,vegetable,fish,vehicle,measure,mean,median
water,0.008376015220511509,0.009339583146172843,0.0,0.0,0.008960885149263409,0.0,0.008057700021173822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023156122358081056,0.0
iceberg,0.001562167322780837,0.0,0.0,0.0,0.0016896083398843605,0.0,0.0015273467565998415,0.0,0.0,0.0,0.0,0.001668226226834312,0.0,0.0,0.0,0.00042982324307329003,0.0
sky,0.27825008722164196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38558620808278293,0.0,0.0,0.0,0.0,0.0,0.04425575302029499,0.0
frog,0.0098406007746424,0.0,0.0,0.010957683669735414,0.0,0.0,0.009865459952356818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020442496264489753,0.0
bird,0.0017550858272183288,0.0,0.002883305847884228,0.0020832305065409,0.001776623946428557,0.0,0.0017431949565319127,0.0025930404526327846,0.0,0.0,0.002410043335075998,0.0,0.0,0.0,0.0,0.0010163016581541807,0.0005081508290770904
parakeet,0.04152127489300507,0.0,0.03427947700502249,0.039058783990663426,0.0,0.0,0.03894010718483621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010253309538235146,0.0
shark,0.006216567341374314,0.0,0.0,0.006703263345748492,0.0,0.0,0.006080367926657232,0.0,0.0,0.0,0.0,0.0,0.00851093596668207,0.0,0.0,0.001834075638697474,0.0
blueberry,0.022842698787558718,0.0,0.0,0.0,0.030121081318465835,0.02760264045895038,0.02201540919546473,0.0,0.030833899848448535,0.0,0.0,0.0,0.0,0.0,0.0,0.00889438197392588,0.0
plumage,0.07082352334236743,0.07739174031632047,0.0,0.0,0.0,0.0,0.06796372657001083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014411932681913249,0.0
paint,0.037978586165014906,0.0409693395656734,0.0,0.0,0.0,0.0,0.03684535855394256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007719552285642058,0.0
orchid,0.030529649747246534,0.0,0.0,0.0,0.0,0.025239332087012626,0.030248511338811852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057344995448714,0.0
peacock,0.0673271751563562,0.0,0.07255841441100187,0.06691474434241099,0.0,0.0,0.06422943577023134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018068651312000028,0.0
sapphire,0.10939933043513199,0.11553309004103865,0.0,0.0,0.0,0.0,0.10659580078854795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022101881417647906,0.0
cloak,0.005615655501442345,0.0,0.0,0.0,0.0,0.0,0.0054103210189614575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007350651013602535,0.0
lantern,0.0015480529403681712,0.0,0.0,0.0,0.0,0.0,0.001474253520701098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020148709740461796,0.0
umbrella,0.0075334304827269155,0.0,0.0,0.0,0.0,0.0,0.007062048027564518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009730319006860955,0.0
taxi,0.0009790178338421676,0.0,0.0,0.0,0.0,0.0,0.0009502080358591039,0.0,0.0,0.0,0.0,0.0,0.0,0.0015021438276476675,0.0,0.0002287579798232626,0.0
jeep,0.0018698205556132376,0.0,0.0,0.0,0.0,0.0,0.001849842729644133,0.0,0.0,0.0,0.0,0.0,0.0,0.003790418044753017,0.0,0.0005006720886673591,0.0
hose,0.0011151154511598246,0.0,0.0,0.0,0.0,0.0,0.0010948467327599608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014733081226131904,0.0
piano,0.0017179724581439914,0.0,0.0,0.0,0.0,0.0,0.0016720671225191588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002260026387108767,0.0
blossom,0.005471752971816608,0.0,0.0,0.0,0.0,0.0,0.00536446399895509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004818848209108757,0.0010436710119920303,0.0
parrot,0.04142559968902282,0.0,0.03939711466736941,0.04177079468665687,0.0,0.0,0.040747101388419346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010889374028764562,0.0
geranium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
suit,0.04771657612900009,0.05188035156092744,0.0,0.0,0.0,0.0,0.046736246633642106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009755544954904641,0.0
starling,0.0016847531702020645,0.0,0.002746121052596138,0.0018981605610997932,0.0,0.0,0.001726314852414332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005370233090874885,0.0
recorder,0.00016355875768469334,0.0,0.0,0.0,0.0,0.0,0.00015781800471380774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1425117493233403e-05,0.0
feeling,0.006690209228862236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008248046495769842,0.0,0.0,0.0,0.0,0.0,0.0009958837149754718,0.0
marigold,0.006536881471753286,0.0,0.0,0.0,0.0,0.00891596046722363,0.006462458930046761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014610200579349118,0.0
egg,0.006783415552991392,0.0,0.0,0.0,0.009906479391909357,0.0,0.006740137892955953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015620021891904468,0.0
pit,0.0003948785047661782,0.0,0.0,0.0,0.0,0.0,0.00038170899159826154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.177249975762932e-05,0.0
lettuce,0.0025516557312524656,0.0,0.0,0.0,0.00414590458914513,0.0036393470449715298,0.0024921001924882915,0.0,0.0,0.0,0.0,0.00499449093014003,0.0,0.0,0.003736480299098454,0.0014373319191397268,0.0
