context,evidence_type,categories
way,u,fruit no-cat
add,u,no-cat
lot,u,no-cat
500,u,no-cat
without,u,fruit no-cat
machine,u,no-cat
central,u,no-cat
everything,u,no-cat
thanks,u,no-cat
larger,u,no-cat
brought,u,fruit no-cat
causing,u,no-cat
present,u,no-cat
emerged,u,fruit no-cat
davis,u,fruit no-cat
candy,u,no-cat
growing,u,no-cat
nothing,u,no-cat
due,u,no-cat
making,u,no-cat
low,u,no-cat
picked,u,fruit no-cat
cold,r,no-cat
our,u,no-cat
job,u,no-cat
parents,u,no-cat
worked,u,no-cat
slow,u,no-cat
finally,u,no-cat
remember,u,no-cat
especially,u,no-cat
because,u,no-cat
different,u,no-cat
third,u,no-cat
glass,i,no-cat
thin,u,no-cat
ran,u,no-cat
ready,u,no-cat
putting,u,no-cat
suggest,u,no-cat
sense,u,no-cat
turning,u,no-cat
meaning,u,no-cat
layer,u,no-cat
paint,i,no-cat
post,u,fruit no-cat
originally,u,no-cat
depending,u,no-cat
disappeared,u,no-cat
among,u,no-cat
decade,u,no-cat
else,u,no-cat
either,u,no-cat
doing,u,no-cat
change,u,no-cat
brings,u,no-cat
car,i,no-cat
engine,u,no-cat
200,u,no-cat
drove,u,no-cat
mountain,u,no-cat
1970s,u,no-cat
color,u,no-cat
having,u,no-cat
proved,u,no-cat
she,u,no-cat
powerful,u,no-cat
transformed,u,no-cat
sales,u,no-cat
inside,u,no-cat
space,u,no-cat
1999,u,no-cat
era,u,no-cat
city,u,fruit no-cat
moving,u,no-cat
shop,u,fruit no-cat
south,u,no-cat
1980s,u,no-cat
brother,u,no-cat
africa,u,no-cat
nor,u,fruit no-cat
lay,u,no-cat
indicated,u,no-cat
underneath,u,no-cat
work,u,no-cat
control,u,no-cat
waiting,u,no-cat
coffee,u,no-cat
vacation,u,no-cat
valley,u,no-cat
product,u,no-cat
labor,u,no-cat
cheap,u,no-cat
phenomenon,u,no-cat
little,u,no-cat
comes,u,no-cat
every,u,no-cat
all,u,no-cat
food,u,no-cat
came,u,fruit no-cat
those,u,fruit no-cat
probably,u,no-cat
pop,u,no-cat
prevent,u,no-cat
cabin,u,no-cat
reads,u,no-cat
takes,u,fruit no-cat
likes,u,no-cat
racing,u,no-cat
kids,u,no-cat
compared,u,no-cat
compete,u,no-cat
impossible,u,no-cat
crash,u,no-cat
christmas,u,no-cat
highest,u,no-cat
managed,u,no-cat
32,u,no-cat
clear,u,fruit no-cat
enter,u,no-cat
returns,u,no-cat
somehow,u,no-cat
solid,u,no-cat
fight,u,no-cat
streets,u,fruit no-cat
york,u,no-cat
fine,u,fruit no-cat
writes,u,no-cat
father,u,no-cat
18,u,no-cat
stand,u,no-cat
falling,u,no-cat
august,u,no-cat
european,u,no-cat
flew,u,no-cat
sellers,u,no-cat
outside,u,no-cat
rather,u,no-cat
went,u,no-cat
giving,u,no-cat
korea,u,no-cat
handling,u,no-cat
hair,i,fruit no-cat
grand,u,fruit no-cat
wonderful,u,no-cat
keeping,u,no-cat
knew,u,no-cat
forcing,u,no-cat
forgotten,u,no-cat
wrong,u,no-cat
insisted,u,no-cat
wife,u,no-cat
virtually,u,no-cat
flat,u,no-cat
increasing,u,no-cat
ripped,u,no-cat
providing,u,no-cat
pulling,u,no-cat
reach,u,no-cat
tends,u,no-cat
sky,i,no-cat
sits,u,fruit no-cat
split,u,no-cat
soft,u,no-cat
suggesting,u,no-cat
michael,u,no-cat
treat,u,no-cat
movies,u,no-cat
lewis,u,no-cat
literally,u,no-cat
plans,u,no-cat
police,u,no-cat
possible,u,no-cat
notice,u,no-cat
traffic,u,no-cat
organization,u,no-cat
charles,u,no-cat
alone,u,no-cat
determined,u,no-cat
dangerous,u,no-cat
dust,u,no-cat
aimed,u,no-cat
capable,u,no-cat
bright,u,no-cat
budget,u,no-cat
broke,u,no-cat
considering,u,no-cat
balance,u,no-cat
bad,u,no-cat
bigger,u,no-cat
emergency,u,no-cat
fair,u,no-cat
facilities,u,no-cat
68,u,no-cat
equipment,u,no-cat
62,u,no-cat
land,u,fruit no-cat
touched,u,no-cat
big,u,no-cat
empty,u,fruit no-cat
bottom,u,no-cat
mountains,u,no-cat
celebration,u,no-cat
ranch,u,no-cat
losing,u,no-cat
passed,u,no-cat
nine,u,no-cat
suit,u,no-cat
rich,u,no-cat
picture,u,no-cat
maybe,u,no-cat
measure,u,no-cat
music,u,no-cat
competition,u,no-cat
thing,u,no-cat
need,u,no-cat
paris,u,no-cat
sixth,u,no-cat
case,u,no-cat
seven,u,no-cat
domestic,u,no-cat
form,u,fruit no-cat
feel,u,fruit no-cat
rose,u,no-cat
words,u,no-cat
century,u,fruit no-cat
country,u,fruit no-cat
russian,u,no-cat
self,u,no-cat
george,u,no-cat
hill,u,no-cat
warm,u,no-cat
iron,u,no-cat
afford,u,no-cat
train,i,no-cat
ones,u,no-cat
spain,u,no-cat
estimate,u,no-cat
simultaneously,u,no-cat
drink,u,no-cat
should,u,fruit no-cat
new,u,no-cat
lady,u,no-cat
juice,u,no-cat
colorado,u,no-cat
production,u,fruit no-cat
strip,u,no-cat
drives,u,no-cat
