,warm,no-cat,all,communication,relation,object,food,measure,mean
vinyl,0.0010371072004897112,0.0,0.001078106294727113,0.0,0.0,0.0,0.0,0.0,0.00026440168690210306
people,0.0017636973124539588,0.0,0.0019863510003248755,0.0,0.0,0.0,0.0,0.0,0.0004687560390973543
flame,0.0740601680602383,0.0,0.06441881430660887,0.0,0.0,0.0,0.0,0.0,0.017309872795855896
river,0.0038174037095441036,0.0,0.003441205958903729,0.0,0.0,0.0,0.0,0.0,0.0009073262085559791
icicle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
feeling,0.001868530624889037,0.0,0.002129921510366298,0.0,0.0,0.0,0.0,0.0,0.0004998065169069169
skirt,0.0,0.0015965177401556384,0.0019642092468455646,0.0,0.0,0.002244144865579142,0.0,0.0,0.0007256089815725432
tea,0.0,0.00032329387675774035,0.0004241852136649613,0.0,0.00036906689560477327,0.0004430256930335802,0.00036689131749965677,0.0,0.000240807874570089
head,0.0,0.0008826042210777225,0.0008926020118556844,0.000895683111728204,0.0007136083475639695,0.0009249499213371923,0.0,0.000774964435054674,0.0006355515060771809
dragon,0.0,0.004271816995050186,0.004462835809912414,0.0,0.0,0.004744992891092892,0.0,0.0,0.0016849557120069364
coffee,0.0,0.002052735178122812,0.0023278677438189534,0.0,0.002045998536765741,0.00244799348095621,0.001990890642120217,0.0,0.0013581856977229916
sword,0.0,0.0034610373311659477,0.003840126134475533,0.0,0.0,0.003793871057761734,0.0,0.0,0.0013868793154254019
glass,0.0,0.0,0.0003252058368069339,0.0,0.0,0.0003634600078485889,0.0,0.00033817353227337413,0.0001283549221161121
greatcoat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boot,0.0,0.0,0.0007363996162407931,0.0,0.0,0.0008086860337233837,0.0,0.0,0.0001931357062455221
corset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shawl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sun,0.0,0.0,0.004686271676056688,0.0,0.0,0.005205006229628037,0.0,0.0,0.0012364097382105907
feather,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
toilet,0.0,0.0,0.000984044303988176,0.0,0.0,0.0010459791483661326,0.0,0.0,0.0002537529315442886
clothing,0.0,0.0,0.005942364495562542,0.0,0.0,0.006451103396207607,0.0,0.0,0.0015491834864712686
bodice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dad,0.0,0.0,0.0030766456151965407,0.0,0.0,0.0032119148932836577,0.0,0.0,0.0007860700635600248
underwear,0.0,0.0,0.0038657926868507025,0.0,0.0,0.0042212839101698225,0.0,0.0,0.0010108845746275657
pyjama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
linen,0.0,0.0,0.0031661305544191895,0.0,0.0023344547331127694,0.003468022480909195,0.0,0.0,0.0011210759710551443
cape,0.0,0.0,0.0003338749026906075,0.0,0.0,0.0003638227651408092,0.0,0.0,8.721220847892708e-05
gown,0.0,0.0,0.0017683974090181975,0.0,0.0,0.0019497445324954544,0.0,0.0,0.0004647677426892065
casserole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
footwear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soup,0.0,0.0,0.0006061318307417485,0.0,0.000564297789576468,0.0,0.000558798673212975,0.0,0.0002161535366913989
sunglass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
juice,0.0,0.0,0.0005131684569933503,0.0,0.0005308911648109582,0.0,0.0005247955368716191,0.0,0.00019610689483449094
necktie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mask,0.0,0.0,0.002611790373806932,0.0,0.0,0.0028359630130071374,0.0,0.0,0.0006809691733517587
uniform,0.0,0.0,0.001128400187265309,0.0,0.0,0.0012488812752063333,0.0,0.0,0.0002971601828089553
stocking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kimono,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jumpsuit,0.0,0.0,0.007011067477425889,0.0,0.0,0.0075755206542668365,0.0,0.0,0.0018233235164615907
headdress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
comforter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
calfskin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vapor,0.0,0.0,0.0015475082039095901,0.0,0.0012729525556473662,0.0,0.0,0.0,0.00035255759494461954
dress,0.0,0.0,0.003954636349813529,0.0,0.0,0.004331176431780501,0.0,0.0,0.0010357265976992536
denim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
toe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tunic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coat,0.0,0.0,0.0006666680988080013,0.0,0.0,0.0007547149351790373,0.0,0.0,0.0001776728792483798
wig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bathrobe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glove,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat,0.0,0.0,0.009874415643195774,0.0,0.0,0.010725305723237029,0.0,0.009600848597645047,0.003775071245509731
waistcoat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
turtleneck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
garment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kettle,0.0,0.0,0.004508489330084865,0.0,0.0,0.004971495426332128,0.0,0.004520176014973898,0.0017500200964238612
jungle,0.0,0.0,0.0015371075187536158,0.0,0.0,0.001655364939234593,0.0,0.0,0.0003990590572485261
blanket,0.0,0.0,0.0035359441584235283,0.0,0.0,0.0039322112289486184,0.0,0.0,0.0009335194234215184
sealskin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blouse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smoke,0.0,0.0,0.020445268373073994,0.02038474987106719,0.01623672381939053,0.0,0.0,0.0,0.007133342757941465
robe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sweater,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
helmet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
outfit,0.0,0.0,0.0030473564027307253,0.0,0.0,0.003300623082372965,0.0,0.0,0.0007934974356379612
nightgown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
taffeta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water,0.0,0.0,0.007187402184583841,0.0,0.005847008366923526,0.0076701430222942,0.005896706552179484,0.0,0.0033251575157476317
leather,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stove,0.0,0.0,0.052810927843517944,0.0,0.0,0.05632994444086425,0.0,0.0,0.013642609035547773
deerskin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sheepskin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flannel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poncho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wool,0.0,0.0,0.0012244640039121,0.0,0.000984135035957421,0.0013342989261879545,0.0,0.0,0.0004428622457571845
waist,0.0,0.0,0.0029659181448597697,0.0,0.0,0.0033296870809126594,0.0,0.0,0.0007869506532215537
candle,0.0,0.0,0.05381265821004921,0.0,0.0,0.05774591962315872,0.0,0.05216586437413118,0.02046555527591739
jacket,0.0,0.0,0.00095337869258437,0.0,0.0006159586563901261,0.0010676643567959535,0.0,0.0,0.00032962521322130623
nose,0.0,0.0,0.0018723209637073563,0.0017021113338242875,0.0,0.002010439096148411,0.0,0.0016803318874876326,0.000908150410145961
turban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chiffon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
undergarment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
towel,0.0,0.0,0.003834452001086613,0.0,0.0,0.004155127702653871,0.0,0.0,0.0009986974629675603
