,weapon,mammal,animal,no-cat,tool,all,relation,object,communication,measure,vehicle,mean
tub,0.0,0.0,0.0,0.0,0.0,0.0029607573894882685,0.0,0.0029595509502143174,0.0,0.0035039316966864846,0.0,0.0008567490942171883
axle,0.0,0.0,0.0,0.0,0.0,0.0027467923182591717,0.0,0.0027190975696512153,0.0,0.0,0.0,0.0004968990807191261
candle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lever,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
footrest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
radiator,0.0,0.0,0.0,0.0,0.0,0.036016343602843365,0.0,0.035812541911275635,0.0,0.0,0.0,0.006529898683101728
bike,0.0,0.0,0.0,0.0,0.0,0.0018977713488062971,0.0,0.0019051695266995665,0.0,0.0,0.0015019015193928201,0.000482258399536244
paint,0.0,0.0,0.0,0.0,0.0,0.0005994407676908469,0.0008298650010580743,0.0005905132125424531,0.0,0.0,0.0,0.00018361990739012492
wheel,0.0,0.0,0.0,0.0,0.0,0.00873940071892359,0.0,0.008643308869302938,0.0,0.0,0.006621710830833629,0.0021822200380963775
grindstone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eyelet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mandrel,0.0,0.0,0.0,0.0,0.0,0.012492024095631993,0.0,0.01261401069187452,0.0,0.0,0.0,0.0022823667988642283
bottle,0.0,0.0,0.0,0.0,0.0,0.007144962347829568,0.0,0.007092737475804403,0.0,0.009075670790402885,0.0,0.002119397328548805
tire,0.0,0.0,0.0,0.0,0.0,0.012889128562886595,0.0,0.012787352273939179,0.0,0.0,0.0,0.002334225530620525
propeller,0.0,0.0,0.0,0.0,0.0,0.0020259294637009423,0.0,0.0020240314374397137,0.0,0.0,0.0,0.0003681782637400596
flywheel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cloth,0.0,0.0,0.0,0.0,0.0,0.006432050971410052,0.0,0.006310463150780722,0.0,0.0,0.0,0.0011584103747446159
grip,0.0,0.0,0.0,0.0,0.0,0.0009223078751870558,0.0,0.0009196649137617651,0.0,0.0,0.0,0.00016745207172262007
sprocket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bearing,0.0,0.0,0.0,0.0,0.0,0.006457358808889182,0.007744980750944018,0.006421197899468431,0.0,0.0,0.0,0.0018748670417546938
lathe,0.0,0.0,0.0,0.0,0.0,0.003928753119370799,0.0,0.003931349769817498,0.0,0.0,0.0,0.000714554808108027
windscreen,0.0,0.0,0.0,0.0,0.0,0.0034226027060518045,0.0,0.003260701465589821,0.0,0.0,0.0,0.000607573106512875
quoit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hubcap,0.0,0.0,0.0,0.0,0.0,0.10751284314059255,0.0,0.10784078662569362,0.0,0.0,0.0,0.019577602706026015
