,weapon,mammal,animal,no-cat,tool,all,relation,object,communication,measure,vehicle,mean
shaft,0.002766039906436417,0.0,0.0,0.0,0.0,0.0022738306648493545,0.0,0.0023210248504993915,0.0020219207919788557,0.0,0.0,0.0008529832921603653
ball,0.022331068670724697,0.0,0.0,0.0,0.0,0.01786164938096371,0.0,0.01830664126858478,0.0,0.0,0.0,0.005318123574570289
blade,0.004963631196351455,0.0,0.0,0.004684284492215832,0.00508037870999612,0.00409714127131903,0.0,0.004037736060095722,0.0,0.0,0.0,0.0020784701572707414
projectile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pig,0.0,0.0013540860373254288,0.0013909925465410014,0.0,0.0,0.0010649618315687222,0.0,0.001073711212227755,0.0,0.0,0.0,0.00044397742069662795
donkey,0.0,0.0019283969390686095,0.0016696204686180752,0.0,0.0,0.001241396511924123,0.0,0.0012077564586911098,0.0,0.0,0.0,0.0005497427616638108
rail,0.0,0.0,0.002830261227997219,0.0028780820611939376,0.0,0.0026516582563592774,0.0,0.002741850359066149,0.0,0.0,0.0,0.001009259264056053
roller,0.0,0.0,0.0022519990622960027,0.0022975725708503274,0.0,0.0019326214970926071,0.0,0.0019424906747436657,0.0,0.0,0.0,0.0007658803459075094
pen,0.0,0.0,0.001558190076773904,0.0014974598874187702,0.0,0.0015295437161230998,0.0,0.0015567948820826415,0.0,0.0,0.0,0.0005583625965816741
windowpane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rifling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nut,0.0,0.0,0.0,0.020211564510731212,0.0,0.01612023206751044,0.0,0.016234789263605293,0.0,0.019175454379619677,0.0,0.0065220036564969655
wiffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brake,0.0,0.0,0.0,0.00900049650709327,0.0,0.008003791688142697,0.0,0.007856663732552503,0.0,0.0,0.0,0.002260086538889861
saw,0.0,0.0,0.0,0.0,0.006782606826591486,0.007037547747180904,0.0,0.007193315749130336,0.006302409053817932,0.0,0.0,0.0024832617615200597
hammer,0.0,0.0,0.0,0.0,0.0020576493389709754,0.001384603508379703,0.0,0.0013686427718543608,0.0,0.0,0.0,0.0004373541472004581
shovel,0.0,0.0,0.0,0.0,0.004214027472631993,0.0031591996239993636,0.0,0.003118549274290453,0.0,0.0034467811184151417,0.0,0.001267141589939723
plunger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bucket,0.0,0.0,0.0,0.0,0.0,0.00521187296794371,0.0,0.005305589657729393,0.0,0.005136501224905281,0.0,0.0014230876227798528
glass,0.0,0.0,0.0,0.0,0.0,0.0018857393782189308,0.0,0.0018811195951390484,0.0,0.0019428151666532186,0.0,0.0005190612854555634
marble,0.0,0.0,0.0,0.0,0.0,0.0015691733295355463,0.0016004621595624305,0.0016023067792523035,0.0,0.0,0.0,0.00043381293348638915
pipe,0.0,0.0,0.0,0.0,0.0,0.015477754723747014,0.0,0.015685179228379184,0.0,0.0,0.0,0.002832993995647836
skateboard,0.0,0.0,0.0,0.0,0.0,0.010402693121008569,0.0,0.010620209898679742,0.0,0.0,0.013824099598263001,0.0031679093289046644
nozzle,0.0,0.0,0.0,0.0,0.0,0.0077688260055018225,0.0,0.008053381891051486,0.0,0.0,0.0,0.0014383825360503007
washer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cylinder,0.0,0.0,0.0,0.0,0.0,0.003928456658596542,0.0,0.003986141592772307,0.0,0.0,0.0,0.0007195089319426227
bead,0.0,0.0,0.0,0.0,0.0,0.006302100847480708,0.0,0.006349298564561809,0.0,0.0,0.0,0.0011501272192765925
wagon,0.0,0.0,0.0,0.0,0.0,0.0029662929611089907,0.0,0.0030175580367759335,0.0,0.0,0.0037889989032322117,0.0008884409001015578
barrel,0.0,0.0,0.0,0.0,0.0,0.07662557915174666,0.0,0.0786941003214831,0.0,0.07235205679946106,0.0,0.02069743057024462
tyre,0.0,0.0,0.0,0.0,0.0,0.001870096833168969,0.0,0.0018884725602307732,0.0,0.0,0.0,0.00034168812667270383
wheelbarrow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tappet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dowel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
car,0.0,0.0,0.0,0.0,0.0,0.008953730233726285,0.0,0.009195768785964351,0.0,0.0,0.011252263787661448,0.002672887527941099
millstone,0.0,0.0,0.0,0.0,0.0,0.0045839801010774004,0.0,0.004809679102303176,0.0,0.0,0.0,0.0008539690184891434
spindle,0.0,0.0,0.0,0.0,0.0,0.0004916694236032332,0.000589468357552368,0.0005116403396805319,0.0,0.0,0.0,0.000144798010985103
tub,0.0,0.0,0.0,0.0,0.0,0.005264650970022568,0.0,0.005387386513705036,0.0,0.004986152521997469,0.0,0.0014216536368840975
axle,0.0,0.0,0.0,0.0,0.0,0.011599952219497311,0.0,0.011755489541724212,0.0,0.0,0.0,0.0021232219782928653
candle,0.0,0.0,0.0,0.0,0.0,0.001359822151048673,0.0,0.0013711515910712513,0.0,0.0013415466683426097,0.0,0.00037022912822386677
lever,0.0,0.0,0.0,0.0,0.0,0.0021223790717088686,0.0,0.0021813033822556263,0.0,0.0,0.0,0.0003912438594513177
footrest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
radiator,0.0,0.0,0.0,0.0,0.0,0.0016010555184170956,0.0,0.0016297743184682388,0.0,0.0,0.0,0.00029371180335321223
bike,0.0,0.0,0.0,0.0,0.0,0.0016872547220258653,0.0,0.00173402735535264,0.0,0.0,0.002110870181321246,0.0005029229326090683
