,context,n_concepts,mean_tfidf,mean_diff,evidence
0,fruit,18,0.06,0.05,u
1,flavor,18,0.02,0.01,u
2,flavors,18,0.06,0.05,u
3,peach,17,0.03,0.03,u
4,mint,17,0.02,0.02,i
5,tart,17,0.02,0.01,u
6,aroma,17,0.01,0.01,u
7,scented,17,0.01,0.01,u
8,flavored,17,0.02,0.02,u
9,citrus,17,0.04,0.04,u
10,ripe,17,0.07,0.06,r
11,sorbet,17,0.03,0.03,u
12,watermelon,17,0.03,0.03,i
13,orange,17,0.04,0.03,u
14,berry,16,0.01,0.01,u
15,hint,16,0.01,0,u
16,cherry,16,0.03,0.02,u
17,infused,16,0,0,u
18,pear,16,0.03,0.02,i
19,fruits,16,0.03,0.02,u
20,green,13,0.03,0.02,p
