,context,n_concepts,mean_tfidf,mean_diff,evidence
0,lit,36,0.01,0.01,-
1,hot,33,0.05,0.04,-
2,large,33,0.02,0.01,-
3,burning,32,0.03,0.03,-
4,heat,31,0.04,0.03,-
5,flame,31,0.02,0.02,-
6,pot,31,0.03,0.03,-
7,smoke,29,0.02,0.02,-
8,burned,29,0.01,0.01,-
9,chamber,29,0.01,0.01,-
10,sealed,28,0.01,0.01,-
11,consists,28,0.01,0.01,-
12,coal,28,0.02,0.02,-
13,burnt,27,0.01,0.01,-
14,provide,27,0.01,0.01,-
15,fed,27,0.01,0.01,-
16,boiling,27,0.02,0.02,-
17,improved,27,0.01,0.01,-
18,flames,27,0.01,0.01,-
19,specially,27,0.0,0.0,-
20,hot,33,0.05,0.04,-
