,context,n_concepts,mean_tfidf,mean_diff,evidence
0,include,52,0.01,0.01,-
1,watermelon,51,0.04,0.04,-
2,orange,50,0.04,0.03,-
3,home,47,0.01,0.01,-
4,of,47,0.03,0.01,-
5,red,47,0.02,0.02,-
6,cherry,46,0.05,0.05,-
7,locally,46,0.01,0.0,-
8,formerly,46,0.0,0.0,-
9,pineapple,45,0.04,0.04,-
10,today,45,0.01,0.0,-
11,pink,45,0.02,0.01,-
12,juice,45,0.11,0.1,-
13,grape,45,0.04,0.04,-
14,north,45,0.01,0.01,-
15,fruit,45,0.08,0.07,-
16,island,44,0.01,0.01,-
17,native,44,0.01,0.01,-
18,berry,44,0.03,0.02,-
19,park,44,0.01,0.01,-
20,juicy,6,0.01,0.01,-
