,vehicle,all,criminal,weapon,animal,communication,tool,cutlery,object,mammal,food,no-cat,medication,fish,relation,measure,reptile,mean
hack,0.004634085923188535,0.0036707520889878533,,,0.004542937247640939,,0.004132886353505231,,0.003726869744330777,0.005268506137504796,,,,,,,,0.004329339582526356
missile,0.001949871291497383,0.001516300908355428,,0.0016117864706996982,,,,,0.0015713656156568555,,,,,,,,,0.001662331071552341
pusher,0.017025036659332,0.020713491552387758,0.016067301824549064,,,,,,0.01973678056583437,,,,,,,,,0.0183856526505258
clipper,0.0,0.0,,,,,0.0,0.0,0.0,,,,,,,,,0.0
plane,0.0024523444886788504,0.0022688168759936087,,,,,0.0024881470591776606,0.002755882519735384,0.0023286822639882114,,,,,,,,,0.002458774641514743
bayonet,,0.00971392958152188,,0.008819014645528457,,,,,0.009646246527224409,,,,,,,,,0.009393063584758249
gunman,,0.00113001930140563,0.000912814456412939,,,,,,0.0011407300676647004,,,,,,,,,0.0010611879418277565
bolo,,0.0,,,,,0.0,0.0,0.0,,,,,,,,,0.0
coyote,,0.0013358498079091992,0.001595716178675636,,0.0017909320197255323,,,,0.0013518051137001543,0.0020037522408697817,,,,,,,,0.0016156110721760608
sniper,,0.0037674200421557577,,,,,,,0.0038300521415996908,,,,,,,,,0.0037987360918777242
revolver,,0.0,,0.0,,,,,0.0,,,,,,,,,0.0
plot,,0.0020602464515413997,,,,0.003043508118219032,,,0.002091037969375257,,,,,,,,,0.0023982641797118966
henchman,,0.0,0.0,,,,,,0.0,,,,,,,,,0.0
neurotoxin,,0.04442216967517986,,,,,,,,,,0.03273725045448052,,,,,,0.038579710064830186
hammer,,0.0021593041944890186,,,,,0.002391754166450329,,0.002145910196084356,,,,,,,,,0.0022323228523412346
handgun,,0.0016833932437886547,,0.0018688562534144857,,,,,0.0017560399256741999,,,,,,,,,0.00176942980762578
gang,,0.005549735707216081,,,,,0.00632281668305184,,0.005533540802238687,,,,,,,,,0.005802031064168868
knife,,0.004091182725519669,,0.0037762234309233703,,,0.004540026008402748,0.005833090923883448,0.004158653769383358,,,,,,,,,0.004479835371622518
scorpion,,0.0,,,0.0,,,,0.0,,,,,,,,,0.0
mallet,,0.0,,,,,0.0,,0.0,,,,,,,,,0.0
harpoon,,0.0,,,,,,,0.0,,,,,,,,,0.0
buckshot,,0.0,,0.0,,,,,0.0,,,,,,,,,0.0
snake,,0.009518475367280467,,,0.011305616916397145,,,,0.009441999723904353,,,,,,,,0.011413415681257973,0.010419876922209984
alligator,,0.0024403063630079173,,,0.0027356812202937292,,,,0.0024828208793767166,,,,,,0.0022693796867236625,,0.0024528327248761876,0.0024762041748556426
blade,,0.0015479268232777934,,0.001494322528106174,,,0.0016522789062920157,,0.0015900967252232864,,0.0012330218123719659,,,,,,,0.001503529359054247
club,,0.0011651771876237723,,,,,,,0.001169847044443389,,,,,,0.0011112215788000545,,,0.0011487486036224053
traitor,,0.0048039047506655075,0.003962969226479409,,,,,,0.004685170737045009,,,,,,,,,0.0044840149047299755
