,vehicle,all,criminal,weapon,animal,communication,tool,cutlery,object,mammal,food,no-cat,medication,fish,relation,measure,reptile,mean
shotgun,,0.0006007394662428794,,0.0005682081018252899,,,,,0.0006106201824312833,,,,,,,,,0.0005931892501664843
sword,,0.0009434141495670738,,0.0009362330752240962,,,,,0.0009698938617171451,,,,,,,,,0.000949847028836105
killer,,0.0019345862718125294,,,0.002301702440384165,,,,0.0019808769164952797,0.0028528748394261888,,,,,,,,0.0022675101170295405
racketeer,,0.0010977437670691545,0.0011097623353021947,,,,,,0.0011016229512659042,,,,,,,,,0.0011030430178790844
hijacker,,0.0,0.0,,,,,,0.0,,,,,,,,,0.0
poison,,0.005620011518606628,,,,,,,,,,0.006467617434844159,,,,,,0.006043814476725393
weapon,,0.06114356205086823,,0.0551597503127905,,,,,0.060545308452328896,,,,,,,,,0.05894954027199587
attack,,0.007265205594705159,,,,0.009806835380159787,,,,,,,,,,,,0.008536020487432473
nightstick,,0.0,,,,,,,0.0,,,,,,,,,0.0
looter,,0.0,0.0,,,,,,0.0,,,,,,,,,0.0
hippopotamus,,0.0,,,0.0,,,,0.0,0.0,,,,,,,,0.0
shaft,,0.0020659663028246623,,0.0019011854038542603,,0.0029182046701681664,,,0.0020488221345251077,,,,,,,,,0.002233544627843049
morphine,,0.0,,,,,,,,,,,0.0,,,,,0.0
bootlegger,,0.0,0.0,,,,,,0.0,,,,,,,,,0.0
warhead,,0.0018394792710692686,,,,,,,,,,,,,0.001831579367958679,,,0.0018355293195139737
tiger,,0.0007641154734527393,,,0.0008564377542483759,,,,0.0007961886796235357,0.0008971012319618544,,,,,,,,0.0008284607848216264
grenade,,0.00020825258658533732,,,,,,,0.00021494077870404246,,,,,,,,,0.0002115966826446899
conspirator,,0.0006335803351506981,0.0007940093227228326,,,,,,0.0006349868739810533,,,,,,,,,0.0006875255106181946
pentobarbital,,0.0,,,,,,,,,,,0.0,,,,,0.0
pistol,,0.0002989777487199173,,0.0003255403980952113,,,,,0.0003113749398778817,,,,,,,,,0.0003119643622310034
virus,,0.007561422640622718,,,,0.010177888468281385,,,0.006997905665003632,,,,,,,,,0.00824573892463591
terrorism,,0.005938430995297296,,,,,,,,,,0.006323869992346591,,,,,,0.0061311504938219435
firearm,,0.009476725689067874,,0.00879793705734891,,,,,0.009538370216087187,,,,,,,,,0.009271010987501325
raper,,0.0,0.0,,,,,,0.0,,,,,,,,,0.0
scimitar,,0.0,,0.0,,,,,0.0,,,,,,,,,0.0
blunderbuss,,0.0,,0.0,,,,,0.0,,,,,,,,,0.0
arrow,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,0.0
gun,,0.004431816329694048,0.0034023599782597265,0.004000780299762266,,,,,0.004457391844738872,,,,,,,,,0.004073087113113728
conspiracy,,0.0017472004142136427,,,,0.0026592694088037575,,,,,,,,,,,,0.0022032349115087
methamphetamine,,0.010225359765391958,,,,,,,,,,0.011216197929589174,,,,,,0.010720778847490566
dose,,0.00567091238971306,,,,,,,,,,,0.00756415070340053,,,0.005025339137921184,,0.006086800743678258
bow,,0.0038248967773969393,,0.0036528614987928042,,0.005349012173362742,,,0.0038554434448533352,,,,,,,,,0.004170553473601455
malaria,,0.003926764749663763,,,,,,,,,,0.004981801556295672,,,,,,0.004454283152979717
war,,0.004507137576677243,,,,,,,,,,0.0050259512963347856,,,,,,0.004766544436506015
mafioso,,0.0,0.0,,,,,,0.0,,,,,,,,,0.0
fire,,0.0023514977816734,,,,0.003734479412698033,,,0.002298031343236706,,,,,,0.002774750240993216,,,0.0027896896946503387
scalpel,,0.0,,,,,0.0,0.0,0.0,,,,,,,,,0.0
thief,,0.006954697883786028,0.005774144807344095,,,,,,0.007119408353694427,,,,,,,,,0.006616083681608184
venom,,0.005861607131731026,,,,,,,,,,0.0055617642741025925,,,,,,0.005711685702916809
punk,,0.001122119404715664,0.0009116200875740629,,,0.001574718193106014,,,0.0011409700553575352,,,,,,,,,0.001187356935188319
torpedo,,0.0031003446365017355,0.0028804487302853932,,0.0033805462951246364,0.004201686700736106,,,0.0031232690864641983,,0.0028321732040419096,,,0.00389513246335498,0.003034174386162603,,,0.0033059719378339455
bucket,,0.0020619968432116554,,,,,,,0.0020712347445048665,,,,,,,0.0023019170592906645,,0.0021450495490023956
blender,,0.0,,,,,,,0.0,,,,,,,,,0.0
menthol,,0.0,,,,,,,,,,,0.0,,0.0,,,0.0
beetle,,0.0005480272961974703,,,0.000582895847268033,,0.0005886334682586672,,0.000563858083053161,,,,,,,,,0.0005708536736943328
spud,,0.0,,,,,0.0,,0.0,,0.0,0.0,,,,,,0.0
remedy,,0.0048906897518603415,,,,,,,,,,,0.00672103903943207,,,,,0.005805864395646206
crowbar,,0.0,,,,,,,0.0,,,,,,,,,0.0
langur,,0.0,,,0.0,,,,0.0,0.0,,,,,,,,0.0
goat,,0.0,,,0.0,,,,0.0,0.0,,,,,,,,0.0
elixir,,0.0,,,,,,,,,0.0,,0.0,,0.0,,,0.0
naproxen,,0.0,,,,,,,,,,,0.0,,,,,0.0
stamper,,0.0,,,,,0.0,,0.0,,,,,,,,,0.0
soup,,0.0001855166261034236,,,,,,,,,0.00022284666121159753,,,,0.00019246980896783187,,,0.00020027769876095102
fork,,0.0,,,,,0.0,0.0,0.0,,,,,,,,,0.0
iodine,,0.0006879086294389613,,,,,,,,,,,0.0012874915016012661,,0.000724271373092832,,,0.0008998905013776866
hoe,,0.0,,,,,0.0,,0.0,,,,,,,,,0.0
bar,,0.0012192524148299663,,,,0.0014053329886525947,,,0.0011880505060446044,,,0.0012571269723323456,,,,0.0017540913574095424,,0.0013647708478538106
bill,,0.0014519253043837927,,,,0.0015329137962216946,0.0016618408079475862,,0.001462461260750295,,,,,,,0.0016497295374592593,,0.0015517741413525255
mop,,0.0019383337189920915,,,,,,,0.0020076671165719408,,,,,,,,,0.0019730004177820164
glove,,0.0007422870896112442,,,,,,,0.0007793017765284879,,,,,,,,,0.0007607944330698661
slice,,0.0003399450061986991,,,,,0.0004291980824951651,,0.00034680875743515647,,,,,,0.0003594214282215824,0.0004255750815520708,,0.0003801896711805347
aspirin,,0.0,,,,,,,,,,,0.0,,0.0,,,0.0
nursing,,0.001290510527192964,,,,,,,,,,0.001160258888543301,,,,,,0.0012253847078681325
jack,,0.00033859021174669754,,,0.0003846718519087248,,0.00044275208019334614,,0.00035650995199409594,0.00039615660141802025,0.00040254372739559883,0.0003031847760194776,,0.00042753644042409504,0.0004040785017327992,0.0004882032658155047,,0.00039442274086483596
rod,,0.000211134025949019,,0.00024358477209717429,,,,,0.00022473193824353008,,,,,,,0.0003642189253197879,,0.0002609174154023778
cure,,0.0031807331352778838,,,,,,,,,,,0.004974920117862029,,,,,0.004077826626569956
hornbill,,0.0,,,0.0,,,,0.0,,,0.0,,,,,,0.0
gutter,,0.0,,,,,0.0,,0.0,,,,,,,,,0.0
ointment,,0.0,,,,,,,0.0,,,,0.0,,,,,0.0
buffer,,0.000675879659801262,,,,,0.0007597432567064314,,0.0007112126631519385,,,,,,0.0006719100695547212,,,0.0007046864123035883
flack,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,0.0
pestle,,0.0,,,,,0.0,,0.0,,,,,,,,,0.0
ciprofloxacin,,0.0,,,,,,,,,,,0.0,,,,,0.0
penicillin,,0.0,,,,,,,,,,,0.0,,,,,0.0
tap,,0.001103472293119731,,,,,0.0013153545844481567,,0.0011190510848723867,,,,,,,,,0.0011792926541467582
dip,,0.0027663255485938505,0.002483685305321912,,,,,,0.0027581764155367536,,0.0029899539180946017,,,,,,,0.0027495352968867795
file,,0.0,,,,0.0,0.0,,0.0,,,,,,,,,0.0
opener,,0.0022426750549233783,,,,,0.002597854857258152,,0.0022688536097880993,,,,,,,,,0.0023697945073232096
laxative,,0.0,,,,,,,,,,,0.0,,,,,0.0
lister,,0.0035071156641923672,,,,,0.004958135853925488,,0.003713574450151316,,,,,,,,,0.004059608656089724
tuck,,0.00044486719173946257,,0.00046330781824744787,,,,,0.00047402604130073204,,0.00047974095145239076,,,,,,,0.00046548550068500834
crease,,0.003513335350336941,,0.003458755070017318,,,,,0.003669053474644788,,,,,,,,,0.003547047964999682
toad,,0.0,,,0.0,,,,0.0,,,,,,,,,0.0
turtle,,0.0017066455843323305,,,0.0019634685936481336,,,,0.001701709087482115,,,,,,,,0.0021727895086132314,0.0018861531935189524
rabbit,,0.0008111218596554871,,,0.0008313186228375141,,,,0.0008106610341360572,0.0009062130707135533,0.0007811164930584903,,,,0.0007527353208242279,,,0.0008155277335375549
starter,,0.000607070400757488,,,,,0.0006907827037091216,,0.0006007525016019651,,0.000612795171852672,,,,,,,0.0006278501944803117
arm,,0.00016950927078590025,,0.00018090261222042386,,,,,0.00017535131872537072,,,,,,,,,0.00017525440057723158
businessman,,0.00033541130446433534,,,,,,,0.0003384076556276569,,,,,,,,,0.00033690948004599615
