,context,n_concepts,mean_tfidf,mean_diff,evidence
0,shooting,16,0.02,0.02,i
1,armed,15,0.02,0.02,r
2,loaded,15,0.05,0.05,r
3,equipped,15,0.01,0,u
4,shoot,15,0.02,0.02,r
5,weapons,14,0.02,0.02,i
6,fragments,14,0,0,u
7,instantly,14,0.01,0,u
8,firing,14,0.04,0.04,i
9,fire,14,0.02,0.02,i
10,killing,14,0.01,0.01,i
11,footage,14,0,0,u
12,direction,14,0,0,u
13,carries,14,0.01,0.01,u
14,pointing,14,0.02,0.02,u
15,bullets,14,0.04,0.04,i
16,mounted,14,0.01,0.01,u
17,ammunition,14,0.05,0.05,i
18,soldier,14,0.01,0.01,b
19,rifle,14,0.1,0.1,i
20,dangerous,10,0.01,0.01,p
