,context,n_concepts,mean_tfidf,mean_diff,evidence
0,bird,40,0.05,0.05,-
1,birds,36,0.04,0.03,-
2,owl,33,0.04,0.04,-
3,billed,30,0.04,0.04,-
4,nest,30,0.02,0.02,-
5,nests,30,0.03,0.03,-
6,eagle,29,0.02,0.02,-
7,include,29,0.01,0.01,-
8,hawk,28,0.04,0.04,-
9,winged,28,0.02,0.02,-
10,nesting,28,0.02,0.01,-
11,headed,28,0.05,0.04,-
12,black,28,0.07,0.06,-
13,eurasian,28,0.05,0.05,-
14,white,27,0.06,0.04,-
15,crow,27,0.02,0.02,-
16,breeds,26,0.02,0.02,-
17,common,26,0.03,0.02,-
18,pigeon,25,0.03,0.03,-
19,dove,25,0.03,0.03,-
20,fly,21,0.01,0.01,-
21,flies,20,0.02,0.02,-
22,flew,17,0.01,0.01,-
23,flown,16,0.01,0.01,-
24,flying,10,0.03,0.03,-
