,context,n_concepts,mean_tfidf,mean_diff,evidence
0,20,31,0.01,0.01,-
1,35,30,0.01,0.01,-
2,locked,30,0.0,0.0,-
3,pretty,30,0.0,0.0,-
4,half,29,0.01,0.01,-
5,40,29,0.01,0.01,-
6,five,29,0.01,0.0,-
7,better,29,0.01,0.01,-
8,recently,29,0.0,0.0,-
9,same,29,0.01,0.0,-
10,22,28,0.01,0.0,-
11,return,28,0.0,0.0,-
12,spent,28,0.0,0.0,-
13,15,28,0.01,0.01,-
14,10,28,0.01,0.01,-
15,per,27,0.01,0.01,-
16,been,27,0.01,0.0,-
17,1999,27,0.0,0.0,-
18,2000,27,0.01,0.01,-
19,17,27,0.01,0.0,-
20,rolls,26,0.01,0.0,-
21,roll,25,0.01,0.01,-
22,rolling,24,0.01,0.01,-
23,rolled,19,0.01,0.01,-
