,plant,no-cat,measure,relation,object,communication,hot,food,all,mean
tea,0.03202393086239543,0.0,0.0,0.036113462619275866,0.029621596907071404,0.0,0.0,0.03510235455203252,0.03409194187116383,0.018550365201326562
coffee,0.06259779031072617,0.06933326645334427,0.0,0.07340771759625521,0.056761057176244537,0.0,0.0,0.07015926628167363,0.0652056141820195,0.04416274577780704
popcorn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
garlic,0.005219191036704841,0.0,0.0,0.0,0.003084897439198579,0.0,0.0,0.004438777899393795,0.003454219170704015,0.0017996761717779144
vegetable,0.004740609336744264,0.0037897769763731216,0.0,0.0,0.0028473358789786346,0.0,0.0,0.0032899106501919637,0.003004799213136525,0.0019636035617138343
dish,0.0,0.028017121454020025,0.02471080208685833,0.0,0.020954942176416195,0.0,0.0,0.02623506150462835,0.023663985151777187,0.013731323597077787
glass,0.0,0.0,0.0019863858160349764,0.0,0.0019438164435665595,0.0,0.0,0.0,0.0019424746785744356,0.0006525196597973301
toast,0.0,0.0,0.0075511891025246145,0.0,0.006745108932538058,0.0,0.0,0.00787301641962208,0.008033654229097607,0.0033558854093091507
heat,0.0,0.0,0.012407601636108587,0.0,0.01061753610799731,0.0,0.0,0.0,0.011553890652155542,0.003842114266251271
pot,0.0,0.0,0.46424438128433904,0.4729243282173129,0.41851123508323484,0.0,0.0,0.0,0.47147582895526957,0.20301730817112848
kettle,0.0,0.0,0.10370505851136652,0.0,0.09467076092223835,0.0,0.0,0.0,0.1014250700026303,0.03331120993735946
tub,0.0,0.0,0.019555913217413578,0.0,0.018435769140499096,0.0,0.0,0.0,0.0207313289894012,0.00652477903859043
dough,0.0,0.0,0.009102980204075888,0.0,0.0,0.0,0.0,0.010847365176131833,0.009482039087041035,0.0032702649408054172
summertime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drink,0.0,0.0,0.0061741900866721525,0.0073507226906315455,0.0,0.0,0.0,0.007204439276001049,0.00701017546328121,0.003082169724065106
mug,0.0,0.0,0.005956151912794682,0.0,0.005468744238302955,0.0,0.0,0.0,0.0060047047470535835,0.0019366223220168022
bottle,0.0,0.0,0.005710851357951961,0.0,0.005313656841370804,0.0,0.0,0.0,0.006125341291606753,0.001905538832325502
can,0.0,0.0,0.002908894325872342,0.0,0.0028682246575742966,0.0033688361400852143,0.0,0.0,0.003197327610565825,0.0013714758593441863
jug,0.0,0.0,0.023766667484108755,0.0,0.02114814314669584,0.0,0.0,0.0,0.02427987604535547,0.007688298519573341
atmosphere,0.0,0.0,0.0008247205694371817,0.0,0.0007231288849885901,0.0,0.0,0.0,0.0008230727527811319,0.0002634358008007671
bath,0.0,0.0,0.001594724988470579,0.0,0.0012593029660977711,0.0,0.0,0.0,0.001427983827132025,0.0004757790868555972
space,0.0,0.0,0.0005714655057221627,0.0,0.0004790775447970686,0.0,0.0,0.0,0.0005317898380985185,0.0001758147654019722
bread,0.0,0.0,0.007188322001139934,0.0,0.0,0.0,0.0,0.008027590661219743,0.006829522366653335,0.002449492781001446
jar,0.0,0.0,0.022946013994974996,0.0,0.018978283786536734,0.0,0.0,0.0,0.02033598880301631,0.006917809620503115
nose,0.0,0.0,0.00043187993165719326,0.0,0.00036883350381537245,0.0005600283375327965,0.0,0.0,0.0003660669944259148,0.00019186764082569746
winter,0.0,0.0,0.0003802003771637799,0.0,0.0,0.0,0.0,0.0,0.00032343757091711695,7.818199423121075e-05
hair,0.0,0.0,0.0016730684554188248,0.0,0.0015220121542285055,0.0,0.0,0.0,0.0015269092873530844,0.0005246655441111572
charcoal,0.0,0.0,0.0,0.009589941036084248,0.008428873919017227,0.0,0.0,0.0,0.009650242095710873,0.003074339672312483
soup,0.0,0.0,0.0,0.038534484700250414,0.0,0.0,0.0,0.04005831949011503,0.036656585037481766,0.012805487691983022
chocolate,0.0,0.0,0.0,0.006216626421264457,0.0,0.0,0.0,0.006308846087485596,0.0055983063403259115,0.002013753205452885
vapor,0.0,0.0,0.0,0.0014402734969566446,0.0,0.0,0.0,0.0,0.0013351335125452047,0.0003083785566113166
water,0.0,0.0,0.0,0.015035628572839493,0.012998151591268332,0.0,0.0,0.014066018354392291,0.014438677792205151,0.006282052923411697
steam,0.0,0.0,0.0,0.001747688018047325,0.0,0.0,0.0,0.0,0.0016503236290847773,0.00037755684968134473
kerosene,0.0,0.0,0.0,0.007304643772041241,0.0,0.0,0.0,0.0,0.006989759403906814,0.0015882670195497839
lava,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fire,0.0,0.0,0.0,0.0065838536263199765,0.006026555664306947,0.007911816891848238,0.0,0.0,0.006841699605938773,0.0030404361987126597
soot,0.0,0.0,0.0,0.00934769852150665,0.0,0.0,0.0,0.0,0.010904788735037288,0.0022502763618382155
lemonade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
juice,0.0,0.0,0.0,0.002262309581740551,0.0,0.0,0.0,0.0022976929902314607,0.0019625674825706966,0.000724730006060301
beer,0.0,0.0,0.0,0.006083566151191697,0.0,0.0,0.0,0.0052122332800076405,0.005029775732326718,0.0018139527959473395
cooler,0.0,0.0,0.0,0.003984285416029989,0.003272711129683229,0.0,0.0,0.002862483002911481,0.0032016544804735476,0.0014801260032331386
grill,0.0,0.0,0.0,0.0,0.014390701053126745,0.0,0.0,0.0,0.0163808066880067,0.003419056415681494
kitchen,0.0,0.0,0.0,0.0,0.0046317523904922065,0.0,0.0,0.0,0.0050450876578453435,0.0010752044498152833
igniter,0.0,0.0,0.0,0.0,0.016846357313122815,0.0,0.0,0.0,0.025205512434432035,0.004672429971950539
casserole,0.0,0.0,0.0,0.0,0.04292408150974129,0.0,0.0,0.057141189943136994,0.053230170134642894,0.01703282684305791
tray,0.0,0.0,0.0,0.0,0.015114096129651372,0.0,0.0,0.0,0.017108428658184655,0.003580280531981781
cookware,0.0,0.0,0.0,0.0,0.02854697024751412,0.0,0.0,0.0,0.03725338456416516,0.007311150534631032
oven,0.0,0.0,0.0,0.0,0.02361375030361059,0.0,0.0,0.0,0.02600755048123299,0.0055134778649826195
jungle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tandoor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
firebox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
percolator,0.0,0.0,0.0,0.0,0.13328541601207858,0.0,0.0,0.0,0.1497538966142065,0.03144881251403167
outfit,0.0,0.0,0.0,0.0,0.0020887255046448186,0.0,0.0,0.0,0.002417863123422808,0.0005007320697852918
stove,0.0,0.0,0.0,0.0,0.13610710242712445,0.0,0.0,0.0,0.15031443536371134,0.03182461531009287
ingredient,0.0,0.0,0.0,0.0,0.011402971259315001,0.0,0.0,0.013700514897594647,0.013294695357643152,0.004266464612728089
geyser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shower,0.0,0.0,0.0,0.0,0.001414003909407055,0.0,0.0,0.0,0.001570426807722567,0.00033160341301440244
hearth,0.0,0.0,0.0,0.0,0.011529505440653913,0.0,0.0,0.0,0.01368290960121619,0.002801379449096678
cooker,0.0,0.0,0.0,0.0,0.04503515526915681,0.0,0.0,0.0,0.055520553225249285,0.011172856499378455
furnace,0.0,0.0,0.0,0.0,0.0059938238055598485,0.0,0.0,0.0,0.00662492103324272,0.0014020827598669522
bulb,0.0,0.0,0.0,0.0,0.0006834806606093186,0.0,0.0,0.0,0.0007846826920215438,0.00016312926140342915
meat,0.0,0.0,0.0,0.0,0.011484962901365138,0.0,0.0,0.014125826747287745,0.012777049583697712,0.004265315470261178
sauna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bathroom,0.0,0.0,0.0,0.0,0.0026771647268708306,0.0,0.0,0.0,0.0028571461168519865,0.000614923427080313
burner,0.0,0.0,0.0,0.0,0.024471423135444207,0.0,0.0,0.0,0.026376447159286335,0.005649763366081171
boiler,0.0,0.0,0.0,0.0,0.01054545538209085,0.0,0.0,0.0,0.011370536248539195,0.002435110181181116
butter,0.0,0.0,0.0,0.0,0.007069299153631008,0.0,0.0,0.010191404183189928,0.008016244446950791,0.002808549753752414
fireplace,0.0,0.0,0.0,0.0,0.004616448201220496,0.0,0.0,0.0,0.004950109564656198,0.0010629508628751884
tile,0.0,0.0,0.0,0.0,0.0006011756781708881,0.0,0.0,0.0,0.0006637382493212507,0.00014054599194357096
heater,0.0,0.0,0.0,0.0,0.0023130540127210882,0.0,0.0,0.0,0.0026557172206519743,0.000552085692597007
cake,0.0,0.0,0.0,0.0,0.004538854568982769,0.0,0.0,0.0054135380255677205,0.0052457115576530515,0.0016886782391337268
toaster,0.0,0.0,0.0,0.0,0.009961209152766128,0.0,0.0,0.0,0.012472745203704566,0.00249266159516341
kiln,0.0,0.0,0.0,0.0,0.006626964454028749,0.0,0.0,0.0,0.008035326745772614,0.001629143466644596
chimney,0.0,0.0,0.0,0.0,0.03120648627467381,0.0,0.0,0.0,0.033322643804010704,0.007169903342076058
griddle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heating,0.0,0.0,0.0,0.0,0.0053150497120749785,0.0,0.0,0.0,0.005692487088179673,0.0012230596444727391
bathtub,0.0,0.0,0.0,0.0,0.004501625169473034,0.0,0.0,0.0,0.005309840868635767,0.0010901628931232002
wok,0.0,0.0,0.0,0.0,0.04598960424439504,0.0,0.0,0.0,0.09027336166174059,0.015140329545126181
skillet,0.0,0.0,0.0,0.0,0.08133560391691616,0.0,0.0,0.0,0.10808255890542272,0.02104646253581543
barbecue,0.0,0.0,0.0,0.0,0.008873410449622771,0.0,0.0,0.01084297058639109,0.010006434752979163,0.003302535087665892
