,plant,no-cat,measure,relation,object,communication,hot,food,all,mean
tea,0.005753949999201194,0.0,0.0,0.007216241017146554,0.004842656087616747,0.0,0.0,0.006856019239719101,0.005241362195841088,0.003323358726613854
coffee,0.0017618809258626857,0.0015154812339528802,0.0,0.002297786780301343,0.0014536228540465402,0.0,0.0,0.0021465792381341795,0.0015703755664343722,0.0011939696220813333
popcorn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
garlic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vegetable,0.002370304668372132,0.0018948884881865608,0.0,0.0,0.0014949777178924018,0.0,0.0,0.002169882026362506,0.0017093038312821574,0.0010710396368995285
dish,0.0,0.001648065967883531,0.0017779328364907342,0.0,0.0014442085460017547,0.0,0.0,0.002160161142652968,0.0015337288985992172,0.0009515663768475784
glass,0.0,0.0,0.01579262750848377,0.0,0.01480338293041346,0.0,0.0,0.0,0.013911640963647744,0.004945294600282775
toast,0.0,0.0,0.0030787294185023726,0.0,0.0026342687402848924,0.0,0.0,0.0036734394595862117,0.0029505400823146774,0.0013707753000764616
heat,0.0,0.0,0.0059224499233099925,0.0,0.004854586431689651,0.0,0.0,0.0,0.004967913401572138,0.0017494388618413091
pot,0.0,0.0,0.028592525360867746,0.034101948029587575,0.024690388029661066,0.0,0.0,0.0,0.026157576219514752,0.01261582640440346
kettle,0.0,0.0,0.030537041782202404,0.0,0.026702862868976353,0.0,0.0,0.0,0.026903237556685587,0.009349238023096038
tub,0.0,0.0,0.0102512953465456,0.0,0.009257140195338229,0.0,0.0,0.0,0.009789488401571789,0.0032553248826061795
dough,0.0,0.0,0.004175344325383625,0.0,0.0,0.0,0.0,0.005693882660734226,0.0039178034726636566,0.0015318922731979454
summertime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drink,0.0,0.0,0.003485501902662076,0.004858442206561934,0.0,0.0,0.0,0.0046543717464016575,0.003564892386790841,0.0018403564713796122
mug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bottle,0.0,0.0,0.0023283970036643126,0.0,0.002075222246789873,0.0,0.0,0.0,0.0022496692642412826,0.0007392542794106077
can,0.0,0.0,0.005200147029750751,0.0,0.0049115184393322756,0.005701479481055057,0.0,0.0,0.005148811881077058,0.00232910631457946
jug,0.0,0.0,0.005814009213883347,0.0,0.004955581263128551,0.0,0.0,0.0,0.005350398119399786,0.001791109844045743
atmosphere,0.0,0.0,0.005043758230716359,0.0,0.004236215832779133,0.0,0.0,0.0,0.004534379521113511,0.0015349281760676668
bath,0.0,0.0,0.10581883402788235,0.0,0.08004281134775311,0.0,0.0,0.0,0.08535572768482057,0.030135263673384
space,0.0,0.0,0.001164973913537628,0.0,0.0009355067598266933,0.0013345498261356661,0.0,0.0,0.0009765588535004449,0.0004901765947778258
bread,0.0,0.0,0.002776531484357168,0.0,0.0,0.0,0.0,0.0035484268177931742,0.0023762800339812164,0.0009668042595701731
jar,0.0,0.0,0.002672978004411359,0.0,0.0021176783788561778,0.0,0.0,0.0,0.002133956847236697,0.000769401470056026
nose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
winter,0.0,0.0,0.0002658632521827194,0.0,0.0,0.0,0.0,0.0,0.00024532003191526984,5.6798142677554356e-05
hair,0.0,0.0,0.002005592452515895,0.0,0.0018265689983451995,0.0,0.0,0.0,0.0019853587238385637,0.0006463911305221843
charcoal,0.0,0.0,0.0,0.14076636826944997,0.10122453448260019,0.0,0.0,0.0,0.10898625056980883,0.03899746148020655
soup,0.0,0.0,0.0,0.0016979515688928513,0.0,0.0,0.0,0.0017252909703808117,0.0012427342854240506,0.000518441869410857
chocolate,0.0,0.0,0.0,0.0020544320238058368,0.0,0.0,0.0,0.002037890379602758,0.0014234564994903436,0.0006128643225443265
vapor,0.0,0.0,0.0,0.002062548040839227,0.0,0.0,0.0,0.0,0.001471073373959004,0.00039262460164424793
water,0.0,0.0,0.0,0.008017166134151486,0.005670405975911036,0.0,0.0,0.007331019165312186,0.005923484462054643,0.0029935639708254837
steam,0.0,0.0,0.0,0.009010014985944547,0.0,0.0,0.0,0.0,0.006546079215944575,0.0017284549113210136
kerosene,0.0,0.0,0.0,0.007845477994051595,0.0,0.0,0.0,0.0,0.0057760790509998146,0.0015135063383390455
lava,0.0,0.0,0.0,0.0009262930852430558,0.0,0.0,0.0,0.0,0.0006462375947204261,0.00017472563110705356
fire,0.0,0.0,0.0,0.009428427605473935,0.007060924007388996,0.009161649169386192,0.0,0.0,0.007538303868753779,0.0036877005167781
soot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lemonade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
juice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beer,0.0,0.0,0.0,0.003220711491807369,0.0,0.0,0.0,0.0036399837752266045,0.0030295352780792015,0.001098914505012575
cooler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grill,0.0,0.0,0.0,0.0,0.03372130026143749,0.0,0.0,0.0,0.03609731661481361,0.007757624097361233
kitchen,0.0,0.0,0.0,0.0,0.013566808917075188,0.0,0.0,0.0,0.013896913778677616,0.003051524743972534
igniter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
casserole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tray,0.0,0.0,0.0,0.0,0.008854102588307645,0.0,0.0,0.0,0.009425182437880156,0.0020310316695764225
cookware,0.0,0.0,0.0,0.0,0.35118963256299024,0.0,0.0,0.0,0.4309874981612402,0.08690857008047005
oven,0.0,0.0,0.0,0.0,0.014386683035817012,0.0,0.0,0.0,0.014900897648946853,0.0032541756316404294
jungle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tandoor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
firebox,0.0,0.0,0.0,0.0,0.007203065490928919,0.0,0.0,0.0,0.006821490425435987,0.0015582839907072117
percolator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
outfit,0.0,0.0,0.0,0.0,0.0036708360999487305,0.0,0.0,0.0,0.003996065594927779,0.0008518779660973899
