,context,n_concepts,mean_tfidf,mean_diff,evidence
0,actress,10,0.01,0.01,i
1,lady,8,0.03,0.03,i
2,into,8,0.01,0.01,u
3,12,8,0.01,0,u
4,show,8,0.01,0.01,u
5,prompted,8,0.01,0,u
6,so,8,0.02,0.01,u
7,waste,8,0,0,u
8,stories,8,0.01,0.01,u
9,herself,7,0.01,0.01,i
10,half,7,0.02,0.01,u
11,love,7,0.02,0.02,b
12,da,7,0.01,0.01,u
13,sharp,7,0.01,0.01,u
14,ms,7,0.01,0.01,i
15,wo,7,0.01,0.01,u
16,title,7,0.02,0.01,u
17,save,7,0.02,0.01,u
18,which,7,0.01,0.01,u
19,lovely,7,0.01,0.01,b
20,female,5,0.02,0.02,p
