,context,n_concepts,mean_tfidf,mean_diff,evidence
0,sweet,10,0.05,0.05,-
1,commonly,10,0.01,0.01,-
2,eaten,10,0.02,0.02,-
3,potato,9,0.03,0.03,-
4,consumed,9,0.01,0.01,-
5,isolated,9,0.01,0.01,-
6,plant,9,0.02,0.02,-
7,seeds,9,0.02,0.01,-
8,mixture,9,0.01,0.01,-
9,seed,9,0.01,0.01,-
10,made,9,0.01,0.0,-
11,farmers,9,0.01,0.01,-
12,rice,9,0.07,0.06,-
13,beach,9,0.01,0.01,-
14,chicken,9,0.01,0.01,-
15,curry,9,0.03,0.03,-
16,bean,9,0.11,0.11,-
17,crops,9,0.05,0.05,-
18,peanuts,9,0.02,0.02,-
19,olive,9,0.03,0.03,-
20,cooking,8,0.01,0.01,-
21,cooked,5,0.05,0.04,-
22,cook,4,0.01,0.01,-
