,context,n_concepts,mean_tfidf,mean_diff,evidence
0,bird,9,0.05,0.05,-
1,black,9,0.05,0.04,-
2,nest,9,0.03,0.03,-
3,appears,9,0.01,0.0,-
4,pigeon,9,0.01,0.01,-
5,call,9,0.0,0.0,-
6,birds,9,0.03,0.03,-
7,relatives,8,0.0,0.0,-
8,breed,8,0.01,0.01,-
9,arrive,8,0.0,0.0,-
10,sized,8,0.02,0.01,-
11,declining,8,0.0,0.0,-
12,robin,8,0.02,0.02,-
13,dove,8,0.01,0.01,-
14,reference,8,0.0,0.0,-
15,perhaps,8,0.0,0.0,-
16,population,8,0.01,0.0,-
17,length,8,0.01,0.0,-
18,lays,8,0.01,0.01,-
19,longest,8,0.0,0.0,-
20,black,9,0.05,0.04,-
