,context,n_concepts,mean_tfidf,mean_diff,evidence
0,eating,10,0.01,0.01,-
1,lightly,10,0.03,0.03,-
2,cook,10,0.01,0.01,-
3,egg,10,0.02,0.02,-
4,rice,9,0.01,0.01,-
5,cheese,9,0.04,0.04,-
6,pan,9,0.02,0.02,-
7,warm,9,0.01,0.01,-
8,frozen,9,0.01,0.01,-
9,half,9,0.01,0.01,-
10,hot,9,0.01,0.01,-
11,fat,9,0.01,0.01,-
12,recipe,9,0.02,0.02,-
13,example,9,0.0,0.0,-
14,filling,9,0.02,0.02,-
15,whole,9,0.01,0.01,-
16,fish,9,0.01,0.01,-
17,roll,9,0.03,0.03,-
18,or,9,0.01,0.01,-
19,chicken,9,0.03,0.03,-
20,cook,10,0.01,0.01,-
21,cooking,8,0.01,0.01,-
22,cooked,6,0.02,0.02,-
23,cooks,1,0.01,0.01,-
