context,evidence_type,categories
mines,NA,relation
department,NA,relation
cancelled,NA,relation
assembled,NA,relation
immediate,NA,relation
ordered,u,relation
returning,NA,relation
coming,NA,relation
armed,n,relation
destroy,r,relation communication
nearby,NA,relation
tons,NA,relation
smaller,NA,relation
fusion,NA,relation
close,u,relation
month,NA,relation
electrical,NA,relation
site,u,relation dangerous
serious,r,relation
arsenal,i,relation
class,NA,relation
united,u,relation
18,NA,relation
failed,u,relation
hull,NA,relation
flight,NA,relation
guided,u,relation
training,u,relation
whilst,NA,relation
active,NA,relation
hit,r,relation
operated,u,relation
officers,NA,relation
aviation,NA,relation
triple,NA,relation
mark,u,relation
proved,u,relation
rounds,NA,relation
motor,NA,relation
400,u,relation
52,NA,relation
ahead,u,relation
successfully,u,relation
parachute,NA,relation
entering,NA,relation
600,u,relation
designed,u,relation
mk,NA,relation
fifteen,NA,relation
traveled,NA,relation
launched,u,relation
fired,r,relation
above,u,relation
korea,u,relation
improved,NA,relation
developed,NA,relation
attacking,NA,relation
improvement,NA,relation
impact,NA,relation communication
heavily,NA,relation
poorly,NA,relation
advanced,u,relation
aimed,u,relation
distance,u,relation
launch,u,relation communication
iv,NA,relation
survived,r,relation
defense,u,relation
mounting,NA,relation
planning,u,relation
sets,NA,relation
destroyed,l,relation communication animal
rockets,NA,relation
disabled,NA,relation
engaged,u,relation
fighters,NA,relation
killing,l,all object
kills,l,all communication object weapon
exposed,r,communication dangerous
turning,u,communication animal
powerful,NA,communication
bomb,i,communication
throughout,NA,communication
concept,NA,communication
moments,NA,communication
due,NA,communication dangerous
developing,NA,communication
kind,u,communication
unusual,NA,communication
acquired,NA,communication
spanish,NA,communication
mission,NA,communication
quickly,u,communication
blood,NA,communication
suggests,NA,communication
seriously,NA,communication
dragon,NA,communication
seem,NA,communication
french,u,communication
deep,NA,communication
escaped,NA,communication
japanese,NA,communication
alive,u,communication
stopped,u,communication
rise,NA,communication
breaking,NA,communication
dozens,u,communication
perhaps,NA,communication
grown,u,communication
caused,NA,communication medication
probably,u,communication
moment,u,communication
hoping,NA,communication
cold,NA,communication
wider,u,communication
carrying,u,communication weapon
constant,u,communication
destroying,r,communication
range,u,communication weapon
characterized,NA,communication
japan,u,communication
closest,NA,communication
heading,u,communication
explosion,NA,communication
sea,NA,communication
valley,NA,communication
contact,NA,communication
causing,u,communication
novel,u,communication
involves,u,communication
buried,NA,communication
element,NA,communication
discovered,u,communication dangerous
grave,u,communication
three,NA,communication
far,u,communication
driven,NA,communication
focus,NA,communication
four,u,communication
secondary,NA,communication
between,u,communication
though,NA,communication
supposed,NA,communication
appears,NA,communication
essentially,u,communication
german,u,communication
killed,r,communication
vs,NA,communication
tower,NA,communication
planet,NA,communication
primarily,NA,communication
monster,NA,communication
slow,NA,communication
group,u,communication
moon,NA,communication
strange,NA,communication
carry,u,communication
reaction,NA,communication
away,NA,communication
apparently,u,communication
innocent,NA,communication
underground,NA,communication
advances,NA,communication
resulted,NA,communication
surface,u,communication
modern,NA,communication
discovering,NA,communication
apparent,u,communication
spain,NA,communication
angle,NA,communication
seems,NA,communication
presumably,NA,communication
highly,u,communication
mad,NA,communication
nuclear,r,communication
observed,NA,communication
warning,r,communication
stronger,NA,communication
towards,NA,communication
aircraft,u,communication
turned,NA,communication
ring,NA,communication
evolved,NA,communication animal
wake,NA,communication
battle,i,communication
occurred,u,communication
massive,u,communication
guardian,NA,communication
greater,NA,communication
blast,i,communication
dawn,NA,communication
china,NA,communication
toward,u,communication
captured,r,communication
ones,NA,communication
theory,u,communication
concentrated,NA,communication
engine,NA,communication
lone,NA,communication
designs,NA,communication
outer,NA,communication
mine,NA,communication
arriving,NA,communication
recovered,u,communication
mechanical,NA,communication
demonstrated,u,communication
roots,NA,communication
miss,NA,communication
earliest,NA,communication
extensively,NA,communication
shoot,r,communication
animal,NA,communication
greatest,NA,communication
intense,NA,communication
punch,NA,communication
spread,u,communication
producing,u,communication
reach,u,communication
banner,NA,communication
cable,NA,communication
outbreak,NA,communication
attacked,r,communication
broke,r,communication
formation,NA,communication
severely,NA,communication
loss,u,communication
wire,NA,communication
noise,NA,communication
prescribed,NA,medication
rats,NA,medication
metabolized,NA,medication
mice,NA,medication
concentrations,NA,medication
benzodiazepines,NA,medication
benzodiazepine,NA,medication
hypnotic,NA,medication
seizures,NA,medication
occur,NA,medication
doses,NA,medication
use,NA,medication
sedative,NA,medication
showed,NA,medication
large,u,dangerous weapon
single,NA,animal weapon
weapons,i,weapon
design,u,weapon
carries,u,weapon
who,NA,criminal
one,u,criminal
american,NA,criminal
time,NA,criminal
him,u,criminal
off,u,criminal
life,NA,criminal
second,u,criminal
revealed,u,criminal
former,u,criminal
of,u,dangerous
and,NA,dangerous
