,context,n_concepts,mean_tfidf,mean_diff,evidence
0,crops,25,0.04,0.04,-
1,dish,24,0.04,0.03,-
2,sweet,24,0.04,0.04,-
3,potato,24,0.08,0.08,-
4,wild,23,0.03,0.03,-
5,seeds,23,0.03,0.03,-
6,eaten,23,0.03,0.02,-
7,green,23,0.01,0.01,-
8,bean,23,0.06,0.06,-
9,food,23,0.01,0.01,-
10,rice,22,0.03,0.03,-
11,commonly,22,0.01,0.01,-
12,fruit,22,0.03,0.03,-
13,crop,22,0.02,0.02,-
14,grown,22,0.02,0.02,-
15,meat,22,0.02,0.02,-
16,egg,21,0.01,0.01,-
17,mixture,21,0.01,0.01,-
18,fruits,21,0.02,0.02,-
19,variety,21,0.01,0.01,-
20,cooking,19,0.01,0.01,-
21,cook,12,0.01,0.0,-
22,cooked,11,0.05,0.05,-
