,animal,criminal,mammal,no-cat,measure,relation,fish,object,bird,communication,food,all,female,mean
sow,0.0027727139290028876,0.0,0.0027181267127344613,0.0,0.0,0.0,0.0,0.004246016724446995,0.0,0.0,0.0,0.004246883145053128,0.0,0.0010756723470182672
vixen,0.005023658537334591,0.0,0.005313676380068494,0.0,0.0,0.0,0.0,0.005168661014281681,0.0,0.0,0.0,0.0051584746727338475,0.0,0.001589574661878355
siren,0.018235279800646157,0.0,0.0,0.0,0.0,0.0,0.0,0.022753805288913267,0.0,0.018016982266224797,0.0,0.022711245953275148,0.01774341377163614,0.0076508251600535
amazon,0.0005367066361260252,0.0,0.0,0.0,0.0,0.0,0.0,0.000536772000605357,0.0006589099055414824,0.0,0.0,0.0005396048256012419,0.0006505941912532965,0.00022481442762518485
mademoiselle,0.01971281906965825,0.0,0.0,0.0,0.0,0.0,0.02623276783420635,0.028548144412839805,0.0,0.0,0.0,0.028440200778513683,0.0,0.007917994776555238
nymph,0.052722232065845684,0.0,0.0,0.0,0.0,0.0,0.0,0.06489844700528027,0.0,0.0,0.0,0.06474373660518501,0.04706451653164419,0.01764837940061193
cow,0.002018361327221268,0.0,0.0019873524034274156,0.0,0.0,0.0,0.0,0.0018638319875778227,0.0,0.0,0.0,0.0018867764071204838,0.0,0.00059664016348823
hen,0.0028494231778421197,0.0,0.0,0.0,0.0,0.0,0.0,0.005646140869216627,0.0038884931572013394,0.0,0.003678939219791365,0.005661497068747298,0.0,0.0016711148840614421
bitch,0.017910007834150542,0.0,0.017976583552609924,0.0,0.0,0.0,0.0,0.021213557807639786,0.0,0.0,0.0,0.021289031331126584,0.0,0.006029936963502064
tigress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ewe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
doe,0.011710189520582578,0.0,0.011837069502600796,0.0,0.0,0.0,0.0,0.013068827416626289,0.0,0.0,0.0,0.013029313427494606,0.0,0.0038188769128695587
queen,0.00522479509531957,0.0,0.005160641081955317,0.0,0.0,0.006043022722101901,0.0,0.0060393957988901315,0.0,0.0,0.0,0.00600799430685453,0.0,0.0021904499234708806
molly,0.0006860800325027425,0.0,0.0,0.0,0.0,0.0,0.0012030162660553968,0.000838546568682769,0.0,0.0,0.0,0.0008396950112989907,0.0,0.0002744106060415307
mare,0.003042679733644195,0.0,0.0031231136106068995,0.0,0.0,0.0,0.0,0.002952762684390683,0.0,0.0,0.0,0.0029471151433749063,0.0,0.0009281285516935909
lioness,0.007875287475709624,0.0,0.00803026210769953,0.0,0.0,0.0,0.0,0.011253102989937935,0.0,0.0,0.0,0.011228447422074992,0.0,0.0029528538458016983
angler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fox,0.001064047133236256,0.0,0.0011376146484801128,0.0,0.0,0.001300362117877345,0.0,0.0010231756494624297,0.0,0.0,0.0,0.0010431687729469557,0.0,0.0004283360247694691
hound,0.000723510596751215,0.0,0.0008497206422380233,0.0,0.0,0.0,0.0,0.0006111009045026802,0.0,0.0,0.0,0.0006118026382160392,0.0,0.00021508729090061212
baby,0.017058582677056126,0.0,0.0,0.0,0.0,0.0,0.0,0.01715654126735773,0.0,0.0,0.0,0.01738755031677552,0.018664199286143615,0.005405144119025615
emperor,0.0006199171936738517,0.0,0.0,0.0013983067381646537,0.0,0.0,0.0,0.0006892601547735184,0.0,0.0,0.0010131418562317237,0.000691151057532791,0.0,0.000339367461567426
bull,0.0002430724559149247,0.0,0.000286552352143597,0.0,0.0,0.0,0.0,0.00025374902080041423,0.0,0.00030390933869294293,0.0,0.00025593602444252684,0.0,0.00010332455323033889
man,0.006154670147255027,0.0,0.0068367068564157306,0.009615256552309359,0.0,0.0,0.0,0.006180228779920932,0.0,0.0,0.0,0.006301777644630175,0.0,0.0026991261523485557
human,0.001346136894101133,0.0,0.0014030780865479286,0.0,0.0,0.0,0.0,0.0014292152376807871,0.0,0.0,0.0,0.001451196747256418,0.0,0.0004330482281220206
rooster,0.002438190787220163,0.0,0.0,0.0,0.0,0.0,0.0,0.0020198206506693668,0.0033393539478321875,0.0,0.0,0.002037028186746026,0.0,0.0007564918132667495
stallion,0.002903309941774162,0.0,0.00347722237357705,0.0,0.0,0.0,0.0,0.0023642391067029826,0.0,0.0,0.0,0.002420166367923069,0.0,0.0008588413684597894
ram,0.0004706418526354555,0.0,0.0005503620151771411,0.0010510713313077286,0.0,0.0,0.0,0.00046049648020999565,0.0,0.0,0.0,0.0004783382587568109,0.0,0.00023160845677593325
buck,0.0025489387357533005,0.0,0.0028284650374903824,0.0,0.004615376211500163,0.0,0.0,0.002536184721482882,0.0,0.0,0.0,0.002580876553359825,0.0,0.001162295481506658
tiger,0.0020380176913619486,0.0,0.0022714405304261943,0.0,0.0,0.0,0.0,0.0018875761885194667,0.0,0.0,0.0,0.0019146094523904797,0.0,0.00062397260482293
peacock,0.0006149551334897828,0.0,0.0,0.0,0.0,0.0,0.0,0.0005914496506316639,0.0009432250987941939,0.0,0.0,0.0006071289426672785,0.0,0.0002120583711986861
boxer,0.000684895311087492,0.0,0.0008111370710607251,0.0,0.0,0.0,0.0,0.0006228003790557891,0.0,0.0,0.0,0.0006383020047749001,0.0,0.00021208728969068509
