,context,n_concepts,mean_tfidf,mean_diff,evidence
0,plenty,40,0.0,0.0,-
1,wish,38,0.0,0.0,-
2,burst,37,0.01,0.01,-
3,29,37,0.0,0.0,-
4,steel,36,0.01,0.01,-
5,features,36,0.0,0.0,-
6,while,36,0.01,0.0,-
7,carries,36,0.0,0.0,-
8,forth,35,0.0,0.0,-
9,mentioned,35,0.0,0.0,-
10,frank,35,0.0,0.0,-
11,complex,35,0.0,0.0,-
12,handed,35,0.0,0.0,-
13,around,35,0.01,0.0,-
14,16,34,0.01,0.0,-
15,already,34,0.0,0.0,-
16,1991,34,0.0,0.0,-
17,fact,34,0.0,0.0,-
18,apart,34,0.0,0.0,-
19,hit,34,0.01,0.01,-
20,red,33,0.06,0.04,-
