,animal,relation,bird,fish,object,food,all,mammal,measure,communication,no-cat,mean,median
stork,0.0051295980937507155,0.0,0.00509162554504158,0.0,0.0051295980937507155,0.0,0.0051295980937507155,0.0,0.0,0.0,0.0,0.001861856347844884,0.0
creeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crane,0.007861894677123253,0.0,0.007992374203876364,0.0,0.007861894677123253,0.0,0.007860778520264632,0.0,0.0,0.0,0.0,0.0028706310980352273,0.0
char,0.003255764008714725,0.004580840309225227,0.0,0.0025587019162467617,0.003255764008714725,0.0,0.003255764008714725,0.0,0.0,0.0,0.0,0.001536984931965106,0.000768492465982553
crocodile,0.014772054751773582,0.0,0.0,0.0,0.014772054751773582,0.0,0.014772013176145602,0.0,0.0,0.0,0.01796897445485756,0.0056622815576863935,0.0
linnet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sardine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rattlesnake,0.01861118626469743,0.0,0.0,0.0,0.01861118626469743,0.0,0.01861118626469743,0.0,0.0,0.0,0.014327851529316853,0.006378310029400831,0.0
pintail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smallmouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trout,0.02078838936987052,0.0,0.0,0.017269902919616727,0.02078838936987052,0.01561540317326349,0.020788281320869458,0.0,0.0,0.0,0.0,0.008659124195771884,0.004329562097885942
halibut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bass,0.0025012626289931564,0.0,0.0,0.0022780683914165748,0.0025012626289931564,0.001961140499827983,0.0025012544595095485,0.0,0.0,0.002905178498350769,0.0,0.001331651555190108,0.0016463960275090454
tortoise,0.019282027369281696,0.0,0.0,0.0,0.019282027369281696,0.0,0.01928183215836383,0.0,0.0,0.0,0.017043245692694765,0.006808102962692908,0.0
flounder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chicken,0.06405821402087428,0.0,0.07974383719186877,0.0,0.06405821402087428,0.0638061777573189,0.06405884751790676,0.0,0.0,0.0,0.0,0.03052048095534936,0.01526024047767468
leatherback,0.038214345420401974,0.0,0.0,0.0,0.038214345420401974,0.0,0.038214345420401974,0.0,0.0,0.0,0.03295138296656198,0.013417674475251627,0.0
lark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
albatross,0.021878293953062546,0.0,0.019199912123822684,0.0,0.021878293953062546,0.0,0.021878293953062546,0.0,0.0,0.0,0.0,0.007712253998455482,0.0
curlew,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
turkey,0.0031906513489900925,0.0,0.003285108716492955,0.0,0.0031906513489900925,0.0029548099751166936,0.003190715806494799,0.0,0.0,0.0,0.0,0.0014374488360076939,0.0007187244180038469
hen,0.2252209391157749,0.0,0.22921901634704336,0.0,0.2252209391157749,0.1936157738449778,0.22522443413750518,0.0,0.0,0.0,0.0,0.09986373659646146,0.04993186829823073
crow,0.00026326829847140036,0.0,0.00033052925955999647,0.0,0.00026326829847140036,0.0,0.0002632690202267919,0.0,0.0,0.0,0.0,0.00010184862515723536,0.0
egret,0.034081572784112855,0.0,0.028081584817560054,0.0,0.034081572784112855,0.0,0.034081572784112855,0.0,0.0,0.0,0.0,0.011847845742718056,0.0
turtle,0.27813533981184274,0.0,0.0,0.0,0.27813533981184274,0.0,0.27814891386727336,0.0,0.0,0.0,0.2844582825673817,0.10171617055075823,0.0
duck,0.019984224655781126,0.0,0.020058314889277822,0.0,0.019984224655781126,0.01696802213249807,0.0199842417001342,0.0,0.018684497321133198,0.0,0.0,0.010514865941327776,0.013741444036912923
robin,0.0004235984855398169,0.0,0.0005054199222436361,0.0,0.0004235984855398169,0.0,0.00042359923884356323,0.0,0.0,0.0,0.0,0.00016147419383334848,0.0
pickerel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quail,0.21614105522067392,0.0,0.20952642715865696,0.0,0.21614105522067392,0.1775675116716852,0.21613741920815088,0.0,0.0,0.0,0.0,0.09413758804362189,0.047068794021810946
platypus,0.07569959180579085,0.0,0.0,0.0,0.07569959180579085,0.0,0.07569959180579085,0.07909012911769288,0.0,0.0,0.0,0.02783535495773322,0.0
roach,0.000746861503918928,0.0,0.0,0.0007067156620690301,0.000746861503918928,0.0,0.0007468646786979135,0.0,0.0,0.0,0.0,0.0002679366680549818,0.0
salmon,0.029538107114672526,0.0,0.0,0.02450453300315164,0.029538107114672526,0.027454458672749295,0.029539543903186544,0.0,0.0,0.0,0.0,0.012779522709857504,0.006389761354928752
plaice,0.02241659396806639,0.0,0.0,0.016238193242143917,0.02241659396806639,0.014099109473834553,0.02241659396806639,0.0,0.0,0.0,0.0,0.008871553147288876,0.004435776573644438
moose,0.0021167621922073224,0.0,0.0,0.0,0.0021167621922073224,0.0,0.0021165293790283667,0.002372912283909733,0.0,0.0,0.0,0.0007929969133957041,0.0
addax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hare,0.0008156761366341555,0.0,0.0,0.0,0.0008156761366341555,0.0008735925855534979,0.0008156585158062502,0.0012514634604814457,0.0,0.0,0.0,0.0004156424395554095,0.00020782121977770476
giraffe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hobby,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bulldog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roebuck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pig,0.004817854976179729,0.0,0.0,0.0,0.004817854976179729,0.0,0.004818051701139401,0.005908731912519092,0.0,0.0,0.0,0.0018511357787289046,0.0
tabby,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lemming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pachyderm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
whiff,0.00265377608697958,0.0,0.0,0.003027359901296687,0.00265377608697958,0.0,0.00265167097290412,0.0,0.0,0.0,0.0,0.0009987802771054515,0.0
