,animal,relation,bird,fish,object,food,all,mammal,measure,communication,no-cat,mean,median
drill,0.00027359407181906664,0.0,0.0,0.0,0.00027359407181906664,0.0,0.0002735854637527229,0.00032750939956402984,0.0,0.0,0.0002567683941719782,0.00012773194555698765,6.386597277849382e-05
cock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bull,0.0005487177015808635,0.0,0.0,0.0,0.0005487177015808635,0.0,0.0005486901180137762,0.0006311193083678342,0.0,0.0007787689614141217,0.0005905810875703223,0.0003315086253207074,0.0004400993716672418
hackney,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
merino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layer,0.0018285004295881663,0.0,0.0021430483156170852,0.0,0.0018285004295881663,0.0,0.001828443798594586,0.0,0.0,0.0,0.0,0.0006934993612170913,0.0
lynx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hind,0.0013840120735017373,0.0,0.0,0.0014996958632626089,0.0013840120735017373,0.0,0.0013840120735017373,0.001235825171087289,0.0,0.0,0.0,0.0006261415686231917,0.00031307078431159585
human,0.004247770301412743,0.0,0.0,0.0,0.004247770301412743,0.0,0.004247786022935029,0.004432345723075525,0.0,0.0,0.0,0.0015614247589850944,0.0
chamois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
malinois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mole,0.0016857699019725894,0.0,0.0,0.0,0.0016857699019725894,0.001972589833493433,0.0016856146011560724,0.002090913394661776,0.0027035774041792057,0.0,0.0,0.001074930457948697,0.0013802725295523847
muskrat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drum,0.0008516257439957914,0.0,0.0,0.0010474986750915523,0.0008516257439957914,0.0,0.0008516099656079353,0.0,0.0,0.0,0.0,0.00032748728442646096,0.0
painter,0.0004824150313697564,0.0,0.0,0.0,0.0004824150313697564,0.0,0.00048246615759976996,0.0006408942125796547,0.0,0.0,0.0,0.0001898354939017216,0.0
permit,0.0016628696021678804,0.0,0.0,0.0020018971047921766,0.0016628696021678804,0.0,0.0016624709285755807,0.0,0.0,0.002291881963133469,0.0,0.0008438172000760899,0.00042190860003804494
cow,0.0035212278970278353,0.0,0.0,0.0,0.0035212278970278353,0.0,0.003521223300233721,0.0034496201721230394,0.0,0.0,0.0,0.0012739362969465845,0.0
bonobo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
armadillo,0.05230947868143292,0.0,0.0,0.0,0.05230947868143292,0.0,0.05014404919707416,0.052666320431333055,0.0,0.0,0.0,0.018857211544661186,0.0
sheep,0.00309917491773392,0.0,0.0,0.0,0.00309917491773392,0.0,0.0030992138839635547,0.003931208275733508,0.0,0.0,0.0,0.001202615635924082,0.0
skate,0.0009430486362963501,0.0,0.0,0.001147938691535424,0.0009430486362963501,0.0,0.0009434169362090191,0.0,0.0,0.0,0.0,0.0003615866273033767,0.0
cob,0.002916128336006048,0.0,0.002874348339088885,0.0,0.002916128336006048,0.0,0.002916137143310182,0.0029309537489074335,0.0,0.0,0.0029222825472201394,0.0015887253136853395,0.0022315368263871125
grade,0.003013551881874886,0.004266391772082912,0.0,0.0,0.003013551881874886,0.0,0.003013547908761241,0.0038355817778823807,0.004784723483057233,0.0,0.0,0.0019933953368666854,0.002503471622813963
gnu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
puss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pointer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mankind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leopard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beaver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
whale,0.0005918887664984355,0.0,0.0,0.0,0.0005918887664984355,0.0,0.0005918885296927643,0.0006867905595743184,0.0,0.0,0.0,0.00022385969293308672,0.0
ibex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
equine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
world,0.00027984785165325416,0.0,0.0,0.0,0.00027984785165325416,0.0,0.0002798563892914056,0.0,0.0,0.0,0.0,7.632291750890126e-05,0.0
jade,0.0007861803249871335,0.0,0.0,0.0,0.0007861803249871335,0.0,0.0007861798091716594,0.0011101723652718722,0.0,0.0,0.0,0.00031533752949252714,0.0
bronc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deer,0.001436434200837896,0.0,0.0,0.0,0.001436434200837896,0.0,0.0014366850246587443,0.0015497322182430311,0.0,0.0,0.0,0.0005326623313252334,0.0
humankind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chow,0.0010441579674597518,0.0,0.0,0.0,0.0010441579674597518,0.0012521684231434954,0.0010441907527551416,0.001499143467350368,0.0,0.0,0.0,0.0005348925980153189,0.00026744629900765947
whippet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
howler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
torpedo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
