,food,communication,cutlery,no-cat,vehicle,all,relation,tool,object,measure,animal,weapon,mean
table,0.0036156721409996823,0.0,0.0,0.0,0.0,0.0031381307175039207,0.0,0.0,0.0031381307175039207,0.0,0.0,0.0,0.000824327798000627
board,0.0023408107725170174,0.0,0.0,0.0,0.0,0.001885619778600555,0.0,0.0,0.001885619778600555,0.0,0.0,0.0,0.0005093375274765106
bass,0.0016162370236143197,0.0014444356031722684,0.0,0.001203346223272699,0.0,0.0012763239081222987,0.0,0.0,0.0012763239081222987,0.0,0.0012875186389080015,0.0,0.0006753487754343239
stick,0.0022048337308664336,0.0,0.0,0.0,0.0,0.0019259963069234417,0.001938335031033421,0.0,0.0019259963069234417,0.0,0.0,0.0,0.0006662634479788948
blade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
date,0.00045459434060289106,0.0,0.0,0.0003632304109928354,0.0,0.0003941635330058825,0.0,0.0,0.0003941635330058825,0.00045012502521560863,0.0,0.0,0.00017135640356859166
rock,0.0020878702085979743,0.00186650640177947,0.0,0.0,0.0,0.0017560591257334277,0.001768301009357192,0.0,0.0017560591257334277,0.0,0.0,0.0,0.0007695663226001243
peg,0.0,0.0032756838096592877,0.0,0.0,0.0,0.0027436374768265988,0.0,0.0,0.0027436374768265988,0.0,0.0,0.0,0.0007302465636093738
shaft,0.0,0.003350560811758276,0.0,0.0,0.0,0.0030443307520081615,0.0,0.0,0.0030443307520081615,0.0,0.0,0.0029157720871409655,0.0010295828669096305
arrow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bow,0.0,0.019679261399633656,0.0,0.0,0.0,0.017296887988573657,0.0,0.0,0.017296887988573657,0.0,0.0,0.018835860604310823,0.006092408165090983
beam,0.0,0.007980630409617958,0.0,0.0,0.0,0.006648149424741306,0.0,0.0,0.006648149424741306,0.0,0.0,0.0,0.0017730774382583808
pin,0.0,0.00033903467235025885,0.0,0.0,0.0,0.00028414465713485864,0.0,0.0,0.00028414465713485864,0.0,0.0,0.0,7.561033221833135e-05
wire,0.0,0.0007026026613144736,0.0,0.0,0.0,0.0006431227012986124,0.0,0.0,0.0006431227012986124,0.0,0.0,0.0,0.0001657373386593082
pedal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
