,food,plant,all,relation,bird,object,fruit,measure,animal,round,mean
pen,0.0,0.0,0.0021307487834739554,0.0,0.002034953631777134,0.0021995914405529703,0.0,0.0,0.002034953631777134,0.0,0.0008400247487581194
bedroom,0.0,0.0,0.002372134316403536,0.0,0.0,0.0025055633402849197,0.0,0.0,0.0,0.0,0.0004877697656688456
ball,0.0,0.0,0.007415089581145498,0.0,0.0,0.007597249746138578,0.0,0.0,0.0,0.0,0.0015012339327284076
ashtray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
planet,0.0,0.0,0.015813939426715936,0.0,0.0,0.016078751796718655,0.0,0.0,0.0,0.0,0.003189269122343459
dresser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
room,0.0,0.0,0.0019704963656205143,0.0020854993249130598,0.0,0.002006363197848113,0.0,0.0,0.0,0.0,0.0006062358888381688
enchiladas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shoe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bottle,0.0,0.0,0.000938378262650049,0.0,0.0,0.000928466721985941,0.0,0.0009285469753731357,0.0,0.0,0.00027953919600091253
drumstick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
