,context,n_concepts,mean_tfidf,mean_diff,evidence
0,flew,27,0.02,0.01,p
1,flies,25,0.02,0.02,p
2,flying,24,0.03,0.03,p
3,fly,24,0.02,0.02,p
4,wings,23,0.01,0.01,r
5,bird,22,0.04,0.03,i
6,birds,22,0.03,0.03,i
7,came,21,0.01,0,u
8,for,20,0.01,0.01,u
9,flight,20,0.02,0.02,p
10,who,19,0.01,0,u
11,wing,19,0.02,0.02,r
12,dove,19,0.01,0.01,i
13,northern,19,0.01,0.01,u
14,program,18,0.01,0,u
15,16,18,0.01,0.01,u
16,overhead,18,0.01,0.01,r
17,air,18,0.03,0.02,r
18,hawk,18,0.02,0.02,i
19,release,18,0.01,0,u
20,flew,27,0.02,0.01,p
21,flies,25,0.02,0.02,p
22,flying,24,0.03,0.03,p
23,fly,24,0.02,0.02,p
24,flown,16,0.02,0.02,p
