relation,non-specific,n_pairs
pos,12.0,1766
neg,4.0,1186
all,11.5,1021
some,13.0,745
few,4.0,1186
evidence,11.0,1054
no_evidence_pos,15.5,342
no_evidence_neg,4.0,1082
implied_category,9.45,106
typical_of_concept,12.25,94
typical_of_property,12.25,218
affording_activity,10.0,131
afforded_usual,5.2,54
afforded_unusual,29.5,42
variability_limited,10.666666666666666,474
variability_open,20.0,159
variability_limited_scalar,5.0,1
variability_open_scalar,10.291666666666668,164
rare,4.733333333333333,110
unusual,6.0,301
impossible,3.0,464
creative,4.4,69
