relation,prop-specific,n_pairs
pos,0.005224394598467988,1766
neg,0.0013311431332611544,1186
all,0.005587411847009834,1021
some,0.004976567107421167,745
few,0.0013311431332611544,1186
evidence,0.005334213065001878,1054
no_evidence_pos,0.005223850483986757,342
no_evidence_neg,0.0011800792439259076,1082
implied_category,0.0035422998334327886,106
typical_of_concept,0.009562895462338421,94
typical_of_property,0.005051212644393303,218
affording_activity,0.00814597909864494,131
afforded_usual,0.0012082476514062301,54
afforded_unusual,0.001572464485176732,42
variability_limited,0.006620991363555017,474
variability_open,0.006349955620287801,159
variability_limited_scalar,0.020235369850896603,1
variability_open_scalar,0.0030428715158041806,164
rare,0.0026807349399183807,110
unusual,0.0015055438000313019,301
impossible,0.000809362942465307,464
creative,0.002358931946205055,69
