,food,communication,plant,no-cat,all,mammal,relation,vegetable,bird,object,fruit,measure,animal,weapon,green,mean
lettuce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
herb,0.0006596553577470857,0.0,0.0005670765442764719,0.0,0.0006933367511557497,0.0,0.0,0.0,0.0,0.0006876235878375184,0.0,0.0,0.0,0.0,0.0,0.00017384614940112173
guava,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spinach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cabbage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strawberry,0.0002641396878679379,0.0,0.00020056727246044046,0.0,0.0003004733039111915,0.0,0.0,0.0,0.0,0.0002713073946630606,0.0002487676355796621,0.0,0.0,0.0,0.0,8.568368629881949e-05
cucumber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
banana,0.0014266807585742393,0.0,0.0012732526490561863,0.0,0.0014600089262552995,0.0,0.0,0.0,0.0,0.001455041625421287,0.0013325921092565026,0.0,0.0,0.0,0.0,0.00046317173790423437
oregano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berry,0.0027692661555760926,0.0,0.0,0.0,0.003309867878814725,0.0,0.0,0.0,0.0,0.003448085111149476,0.0030376741212341293,0.0,0.0,0.0,0.0,0.0008376595511182949
broccoli,0.001219803014120244,0.0,0.0011927093192387486,0.0,0.0010111794705939118,0.0,0.0,0.00133697095063158,0.0,0.0010662305058923196,0.0,0.0,0.0,0.0,0.0,0.00038845955069845365
radish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rhubarb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cilantro,0.0008717474406397463,0.0,0.0007634437269217229,0.0,0.000694467674548364,0.0,0.0,0.0,0.0,0.0007014786258617495,0.0,0.0,0.0,0.0,0.0,0.00020207583119810554
blackberry,0.002630018489415062,0.0,0.002222188007251622,0.0,0.0029540542432956907,0.0,0.0,0.0,0.0,0.002731472501701747,0.0024819741281807608,0.0,0.0,0.0,0.0,0.0008679804913229921
olive,0.0841948887987785,0.0,0.07338955601154479,0.0,0.07731064025099776,0.0,0.08150108242443514,0.0,0.0,0.07660841772148998,0.0755304120076482,0.0,0.0,0.0,0.0,0.03123566648099296
chutney,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apple,0.0011218044517000674,0.0,0.0009374846781119187,0.0,0.001166004598549014,0.0,0.0,0.0,0.0,0.0011345626132737091,0.0010535309146481322,0.0,0.0,0.0,0.0,0.0003608924837521894
grass,0.0037988355878778306,0.0,0.0037752065206237183,0.0,0.003903409453681905,0.0,0.0,0.0,0.0,0.003990439073728325,0.0,0.0,0.0,0.0,0.0,0.0010311927090607853
pepper,0.0005240277063132662,0.0,0.00044157592819419,0.0,0.0004659826415034725,0.0,0.0,0.0004974689802396253,0.0,0.0004640535939092826,0.0,0.0,0.0,0.0,0.0,0.0001595405900106558
watermelon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
salad,0.0011561627475351617,0.0,0.0,0.0,0.0010036728648503493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014398904082570072
crab,0.002475884213722896,0.0,0.0,0.0,0.002230159563998308,0.0,0.0,0.0,0.0,0.002214656687257555,0.0,0.0,0.0,0.0,0.0,0.0004613800309985839
water,0.0015149036158420032,0.0,0.0,0.0,0.0015843592217492052,0.0,0.0015985402562911318,0.0,0.0,0.0015462205643990725,0.0,0.0,0.0,0.0,0.0,0.0004162682438854275
melon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plantain,0.015612048350407831,0.0,0.014740519878158569,0.0,0.014296826617194168,0.0,0.0,0.014786476870796882,0.0,0.01425494171846739,0.0,0.0,0.0,0.0,0.0,0.004912720895668323
pear,0.004912722551401968,0.0,0.0045460026493008955,0.0,0.005327398469504122,0.0,0.0,0.0,0.0,0.005241532325959971,0.005337613470271947,0.0,0.0,0.0,0.0,0.0016910179644292604
avocado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nectarine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mango,0.012770302328114122,0.0,0.011721193766197364,0.0,0.011059206660309325,0.0,0.0,0.0,0.0,0.011105483321516672,0.011802331388398465,0.0,0.0,0.0,0.0,0.00389723449763573
celery,0.0008528795320002764,0.0,0.0007486340722848584,0.0,0.0006853863359441504,0.0,0.0,0.0009017248387443097,0.0,0.0006846258225068003,0.0,0.0,0.0,0.0,0.0,0.0002582167067653597
pineapple,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coconut,0.007865409322727219,0.0,0.007190560710848542,0.0,0.007387288120235114,0.0,0.0,0.0,0.0,0.007355555125225807,0.007628233871883544,0.0,0.0,0.0,0.0,0.002495136476728015
asparagus,0.006153870146494008,0.0,0.005316711216725449,0.0,0.005557646152347092,0.0,0.0,0.005942910335107693,0.0,0.005513946732944597,0.0,0.0,0.0,0.0,0.0,0.0018990056389079227
grape,0.002686858529376939,0.0,0.002358515078187864,0.0,0.0024801816326471436,0.0,0.0,0.0,0.0,0.0024607548349188948,0.0024226260292431676,0.0,0.0,0.002261390681996618,0.0,0.0009780217857580417
vegetable,0.0008800851278240475,0.0,0.000786222971632561,0.0,0.0007835432515768086,0.0,0.0,0.0008557985395800461,0.0,0.0007902758823869628,0.0,0.0,0.0,0.0,0.0,0.00027306171820002843
sauce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grapefruit,0.001931499963616262,0.0,0.0017125596300397164,0.0,0.0017003152470755282,0.0,0.0,0.0,0.0,0.0017027593744627317,0.0017119295844769706,0.0,0.0,0.0,0.0,0.0005839375866447473
lime,0.0012607891714475482,0.0,0.0011280211591072101,0.0,0.0010534459482269471,0.0,0.0009852755718380577,0.0,0.0,0.001061323800433273,0.001134794797171471,0.0,0.0,0.0,0.0,0.0004415766965483005
fenugreek,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mussel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ketchup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
