,food,communication,plant,no-cat,all,mammal,relation,vegetable,bird,object,fruit,measure,animal,weapon,green,mean
flame,0.0,0.0,0.0,0.0,0.0030673405359673053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00417881579344945,0.0004830770886277837
human,0.0,0.0,0.0,0.0,0.0003803802566760263,0.0004865638785216418,0.0,0.0,0.0,0.0003709503877330237,0.0,0.0,0.0004895380268774482,0.0,0.0,0.00011516216998720933
diamond,0.0,0.0,0.0,0.0,0.002209059566758282,0.0,0.002422406261751576,0.0,0.0,0.002198215528989799,0.0,0.0,0.0,0.0,0.0,0.00045531209049997707
lark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crow,0.0,0.0,0.0,0.0,0.000419622239553382,0.0,0.0,0.0,0.0007498260086805815,0.00042488703422034735,0.0,0.0,0.0005977801237127186,0.0,0.0,0.00014614102707780196
nightmare,0.0,0.0,0.0,0.0,0.0014941429673739387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001905283714123378,0.00022662844543315443
buzzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
calf,0.0,0.0,0.0,0.0,0.00029599853354165314,0.0,0.0002696896681267909,0.0,0.0,0.00029178634286632755,0.0,0.0,0.0003822984667835994,0.0,0.0,8.26515340878914e-05
raccoon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
newspaper,0.0,0.0,0.0,0.0,0.00043888163626389445,0.0,0.00046944237065419016,0.0,0.0,0.0004305104515059173,0.0,0.0,0.0,0.0,0.0,8.925563056160014e-05
piano,0.0,0.0,0.0,0.0,0.000723156045351309,0.0,0.0,0.0,0.0,0.0007247530025437021,0.0,0.0,0.0,0.0,0.0,9.652726985966741e-05
leopard,0.0,0.0,0.0,0.0,0.001937005357810571,0.002423727520192595,0.0019684202832863395,0.0,0.0,0.0019209196648355324,0.0,0.0,0.0027929280294298397,0.0,0.0,0.0007362000570369919
whale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robin,0.0,0.0,0.0,0.0,0.0003009707884711362,0.0,0.0,0.0,0.0005222254861872668,0.0003011421617989043,0.0,0.0,0.00047978595860038054,0.0,0.0,0.00010694162633717918
lion,0.0,0.0,0.0,0.0,0.0007593615397754826,0.0009596082726587418,0.0,0.0,0.0,0.0007464018502892148,0.0,0.0,0.0010495569213401896,0.0,0.0,0.00023432857227090857
wasp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
