,animal,mammal,no-cat,measure,relation,fish,object,bird,communication,vehicle,food,all,mean
wren,0.037200274895188484,0.0,0.0,0.0,0.0,0.0,0.039895694805509835,0.03237888042123693,0.0,0.0,0.0,0.040013273434371305,0.012457343629692212
flycatcher,0.12151545409886398,0.0,0.0,0.0,0.0,0.0,0.11607388459574482,0.1328800797725385,0.0,0.0,0.0,0.1165202016500548,0.04058246834310018
stork,0.03576194421395308,0.0,0.0,0.0,0.0,0.0,0.03562366975464138,0.03384714416442944,0.0,0.0,0.0,0.035745858162307666,0.011748218024610964
budgie,0.010032851390417204,0.0,0.0,0.0,0.0,0.0,0.025149042948242026,0.010025433222063585,0.0,0.0,0.0,0.025385284111602725,0.005882717639360462
caracara,0.05925345724317514,0.0,0.0,0.0,0.0,0.0,0.11171271005403956,0.05911024490691904,0.0,0.0,0.0,0.11198820680601222,0.02850538491751216
pelican,0.05850868321394037,0.0,0.0,0.0,0.0,0.0,0.060357913645133286,0.055130625894859536,0.0,0.0,0.0,0.06054131212850962,0.019544877906870234
vulture,0.029181539907958236,0.0,0.0,0.0,0.0,0.0,0.029437899435912258,0.025820494731224927,0.0,0.0,0.0,0.030292631573095953,0.00956104713734928
avocet,0.03602979030524019,0.0,0.0,0.0,0.0,0.0,0.034145813307140116,0.029760149979129173,0.0,0.0,0.0,0.034251134908962554,0.01118224070837267
babbler,0.1350763588150109,0.0,0.0,0.0,0.0,0.0,0.14554739479802317,0.14040404163683926,0.0,0.0,0.0,0.1460959675905085,0.04726031357003182
kite,0.030075165896365254,0.0,0.0,0.0,0.0,0.0,0.03128284697479471,0.02788272640798757,0.036483337893090745,0.0,0.0,0.0313763633601144,0.013091703377696056
nightingale,0.01975555222309863,0.0,0.0,0.0,0.0,0.0,0.021636335656695524,0.0204961408474729,0.0,0.0,0.0,0.02198606558286971,0.006989507859178064
tit,0.0669953895550916,0.0,0.0,0.0,0.0,0.0,0.06701694652289018,0.05890121911879097,0.0,0.0,0.0,0.06725783309699877,0.021680949024480964
gallinule,0.09967305227132711,0.0,0.0,0.0,0.0,0.0,0.1031110109632459,0.0769584441261511,0.0,0.0,0.0,0.10335550609801941,0.031924834454895294
towhee,0.07595285294649991,0.0,0.0,0.0,0.0,0.0,0.08590955024601861,0.05226108410322298,0.0,0.0,0.0,0.08609723968051763,0.02501839391468826
yellowhammer,0.25825971482204213,0.0,0.0,0.0,0.0,0.0,0.2794124619910195,0.10486563075231627,0.0,0.0,0.0,0.2801804185689668,0.0768931855111954
titmouse,0.028450789635245638,0.0,0.0,0.0,0.0,0.0,0.0371149804333387,0.0222368554775877,0.0,0.0,0.0,0.03724460879847674,0.010420602862054063
merganser,0.005644070668421779,0.0,0.0,0.0,0.0,0.0,0.006002872462503626,0.005084134158867927,0.0,0.0,0.0,0.006018974925731901,0.0018958376846271027
hawk,0.025821790400176375,0.0,0.0,0.0,0.0,0.0,0.0272501729501414,0.020731547933196978,0.0,0.0,0.0,0.02732799471451514,0.008427625499835825
chinook,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flicker,0.008543519357620646,0.0,0.0,0.0,0.0,0.0,0.010212626410439058,0.006705910289660218,0.0,0.0,0.0,0.010240574171302837,0.0029752191857518964
marabou,0.032469392722413296,0.0,0.0,0.0,0.036182969482587785,0.0,0.03184003872461628,0.026247476219942768,0.0,0.0,0.0,0.031921729418277575,0.013221800547319812
pigeon,0.05802255294297229,0.0,0.0,0.0,0.0,0.0,0.06274472515688434,0.05550468352314853,0.0,0.0,0.0,0.06292763780916868,0.019933299952681154
