,animal,mammal,no-cat,measure,relation,fish,object,bird,communication,vehicle,food,all,mean
wren,0.0038309563892319053,0.0,0.0,0.0,0.0,0.0,0.004526599677273374,0.0037169344429092382,0.0,0.0,0.0,0.004531692814457099,0.0013838486103226347
flycatcher,0.0024115322181108723,0.0,0.0,0.0,0.0,0.0,0.0025379383575457534,0.002939567580029685,0.0,0.0,0.0,0.002543068767105542,0.0008693422435659877
stork,0.04064039965236129,0.0,0.0,0.0,0.0,0.0,0.04460263342078034,0.042876654769408905,0.0,0.0,0.0,0.04467431465219927,0.014399500207895816
budgie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caracara,0.009407305250910155,0.0,0.0,0.0,0.0,0.0,0.019540655358194343,0.010461074970661096,0.0,0.0,0.0,0.019553259055822586,0.004913524552965682
pelican,0.019816665771957773,0.0,0.0,0.0,0.0,0.0,0.02252316799611995,0.020814462389004938,0.0,0.0,0.0,0.02255056419986509,0.007142071696412312
vulture,0.03369434737765208,0.0,0.0,0.0,0.0,0.0,0.03744903720644157,0.033233449136301024,0.0,0.0,0.0,0.03846636677360868,0.011903600041166945
avocet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
babbler,0.003501263475481173,0.0,0.0,0.0,0.0,0.0,0.004156567913381807,0.004056832457715916,0.0,0.0,0.0,0.0041646547057083046,0.0013232765460239335
kite,0.018520623478156008,0.0,0.0,0.0,0.0,0.0,0.021224566928682215,0.019140127344720686,0.023258766067644567,0.0,0.0,0.02124934262194818,0.008616118870095972
nightingale,0.03554662540397905,0.0,0.0,0.0,0.0,0.0,0.04289215928555828,0.0411096060475779,0.0,0.0,0.0,0.04350628945529471,0.01358789001603416
tit,0.011603393457766583,0.0,0.0,0.0,0.0,0.0,0.012788209273872968,0.011371726355517421,0.0,0.0,0.0,0.012810860308048004,0.004047849116267081
gallinule,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
towhee,0.048234260452541845,0.0,0.0,0.0,0.0,0.0,0.06010878842784735,0.03699576069852125,0.0,0.0,0.0,0.06013067552302408,0.017122457091827876
yellowhammer,0.054669732015201894,0.0,0.0,0.0,0.0,0.0,0.06516599731471835,0.02474488648283339,0.0,0.0,0.0,0.06522639556309301,0.01748391761465389
titmouse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
merganser,0.007168593780801578,0.0,0.0,0.0,0.0,0.0,0.008400122914732721,0.007198144237848128,0.0,0.0,0.0,0.008407354976382604,0.0025978513258137527
hawk,0.06904532373193259,0.0,0.0,0.0,0.0,0.0,0.08027904137692138,0.061793339056655676,0.0,0.0,0.0,0.08036204982185811,0.024289979498947314
chinook,0.000822774562398916,0.0,0.0,0.0,0.0,0.00152783315229591,0.0009471332908343617,0.0,0.0,0.0,0.0013445365624313802,0.0009479948063911676,0.000465856031195978
flicker,0.010851214191179301,0.0,0.0,0.0,0.0,0.0,0.014291044440106973,0.009494263527025489,0.0,0.0,0.0,0.01430412043287402,0.004078386882598815
marabou,0.0137465729028148,0.0,0.0,0.0,0.0195401166589764,0.0,0.014851791958338358,0.012387105572413803,0.0,0.0,0.0,0.014862847023565811,0.0062823695096757655
pigeon,0.015055979479467298,0.0,0.0,0.0,0.0,0.0,0.01793801563444663,0.016054760302216413,0.0,0.0,0.0,0.01795762641306999,0.0055838651524333606
ouzel,0.09800715726435584,0.0,0.0,0.0,0.0,0.0,0.08877075331557457,0.059777317938076724,0.0,0.0,0.0,0.08957528611587177,0.028010876219489913
toy,0.003470253508898835,0.003314407724974422,0.0,0.0,0.0,0.0,0.004156822536400086,0.0,0.0,0.0,0.0,0.004162617272185267,0.0012586750868715509
seagull,0.004706252850733205,0.0,0.0,0.0,0.0,0.0,0.005345598365872065,0.005448692803334782,0.0,0.0,0.0,0.005365989979955206,0.001738877833324605
albatross,0.002315262252387183,0.0,0.0,0.0,0.0,0.0,0.003093802839180377,0.0025247213264888635,0.0,0.0,0.0,0.0030971165849607656,0.0009192419169180992
grosbeak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fowl,0.005169406825730236,0.0,0.0,0.0,0.0,0.0,0.005757824052909101,0.004531377296890616,0.0,0.0,0.00662626555635961,0.005766333569146097,0.0023209339417529715
goldcrest,0.05637185858835318,0.0,0.0,0.0,0.0,0.0,0.06732453595187876,0.031222431631220255,0.0,0.0,0.0,0.06630329566990885,0.01843517682011342
crow,0.01231672931163241,0.0,0.0,0.0,0.0,0.0,0.013552067218874458,0.012348905508398735,0.0,0.0,0.0,0.013573388072284073,0.004315924175932473
skylark,0.016784251747233116,0.0,0.0,0.0,0.0,0.0,0.020866645568452004,0.01611169652093563,0.0,0.0,0.0,0.02089935360175133,0.006221828953197673
owl,0.5091137134570816,0.0,0.0,0.0,0.0,0.0,0.5294286865484108,0.5219639525070232,0.0,0.0,0.0,0.530111432435662,0.17421814874568145
moorcock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gull,0.005313454177415761,0.0,0.0,0.0,0.0,0.0,0.00616531949088654,0.006339866747314211,0.0,0.0,0.0,0.006174880608644858,0.001999460085355114
nuthatch,0.01641929930059815,0.0,0.0,0.0,0.0,0.0,0.017414711859091676,0.01858128015874905,0.0,0.0,0.0,0.01744712376474803,0.00582186792359891
butterfly,0.0031613681572161788,0.0,0.0,0.0,0.0,0.0,0.0033021531981168237,0.0,0.0,0.0,0.0,0.0033098577242556626,0.0008144482566323887
loon,0.0035704582612990955,0.0,0.0,0.0,0.0,0.0,0.004073345617907718,0.0033030454824201946,0.0,0.0,0.0,0.004084930408809185,0.0012526483142030161
snowbird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
duck,0.006453533512331101,0.0,0.0,0.008241650167962862,0.0,0.0,0.007423928344097264,0.006827486118991231,0.0,0.0,0.00892342493121998,0.007449683326928937,0.0037766422001276148
robin,0.0014330348777186323,0.0,0.0,0.0,0.0,0.0,0.0017755253070039845,0.0011011647308926534,0.0,0.0,0.0,0.0017764546682496494,0.0005071816319887433
pheasant,0.01875390580620911,0.0,0.0,0.0,0.0,0.0,0.020623883126365105,0.017626387792331104,0.0,0.0,0.024363164425505866,0.020644325895785277,0.008500972253849706
woodpecker,0.033889582472803645,0.0,0.0,0.0,0.0,0.0,0.03837439510016359,0.037540561895488184,0.0,0.0,0.0,0.03861900359086052,0.012368628588276328
quail,0.02703381747479719,0.0,0.0,0.0,0.0,0.0,0.029021377395728142,0.025867045755798936,0.0,0.0,0.03594396911696201,0.029067998764108233,0.01224451737561621
puffin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
whitethroat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
