,context,n_concepts,mean_tfidf,mean_diff,evidence
0,killed,35,0.02,0.02,r
1,shoot,34,0.01,0.01,r
2,shooting,34,0.02,0.02,i
3,man,34,0.02,0.01,b
4,killing,33,0.01,0.01,i
5,dead,32,0.01,0.01,r
6,attack,32,0.02,0.02,i
7,apparently,32,0.01,0.01,u
8,armed,31,0.02,0.02,r
9,soldier,31,0.01,0.01,b
10,footage,30,0,0,u
11,authorities,30,0.01,0.01,r
12,threatened,30,0.01,0.01,r
13,captured,30,0.01,0.01,r
14,firing,29,0.02,0.02,i
15,attempted,29,0.01,0.01,u
16,hiding,29,0,0,r
17,allegedly,29,0.01,0.01,u
18,attacked,29,0.01,0.01,r
19,riding,29,0.01,0.01,u
20,dangerous,23,0.01,0.01,p
