,animal,fruit,vegetable,plant,reptile,mammal,measure,relation,fish,object,bird,communication,black,food,all,mean
mussel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cockroach,0.028067685306725553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028637592876286276,0.0,0.0,0.0,0.0,0.0260736041889435,0.005518592158130355
beetle,4.9797262454261325e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.019211147032589e-05,0.0,0.0,0.0,0.0,4.566606483401061e-05,9.710362583906521e-06
civet,0.022543803569868757,0.0,0.0,0.0,0.0,0.018646980633238764,0.0,0.0,0.0,0.024265452761241837,0.0,0.0,0.0,0.0,0.022277520366723286,0.005848917155404843
monkey,0.02409755494372197,0.0,0.0,0.0,0.0,0.02202554443982576,0.0,0.0,0.0,0.02621113244646441,0.0,0.0,0.0,0.0,0.024752154813823257,0.006472425776255693
bat,0.008669557213889139,0.0,0.0,0.0,0.0,0.007717103302373224,0.0,0.0,0.0,0.009203805472466922,0.0,0.0,0.0,0.0,0.008783382207202688,0.0022915898797287986
skunk,0.0040063990758413895,0.0,0.0,0.0,0.0,0.003745553210092546,0.0,0.0,0.0,0.004089730085829815,0.0,0.0,0.0,0.0,0.0037399795136573394,0.0010387774590280728
millipede,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pelican,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crocodile,0.003645399508301652,0.0,0.0,0.0,0.0053117103136279585,0.0,0.0,0.0,0.0,0.003730170492725754,0.0,0.0,0.0,0.0,0.0035828738935808693,0.0010846769472157491
snake,0.10284944453340787,0.0,0.0,0.0,0.1322742395558025,0.0,0.0,0.0,0.0,0.10608111843366914,0.0,0.0,0.0,0.0,0.10112929475026801,0.029488939818209832
bear,0.001024187965145999,0.0,0.0,0.0,0.0,0.0009890532955197841,0.0,0.0,0.0,0.001107332681033711,0.0,0.0,0.0,0.0,0.0010663495654846963,0.0002791282338122794
hornet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pig,0.03528541078286443,0.0,0.0,0.0,0.0,0.030701177310302353,0.0,0.0,0.0,0.04035486066556603,0.0,0.0,0.0,0.0,0.038081920959136734,0.00962822464785797
housefly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cat,0.03600030117317304,0.0,0.0,0.0,0.0,0.03185302063792001,0.0,0.0,0.0,0.04019380735365025,0.0,0.0,0.0,0.0,0.0383907998166965,0.009762528598762652
pipefish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weasel,0.016153557092207813,0.0,0.0,0.0,0.0,0.013961549207464941,0.0,0.0,0.0,0.014859528078648682,0.0,0.0,0.0,0.0,0.013606169268562684,0.0039053869097922743
