,animal,fruit,vegetable,plant,reptile,mammal,measure,relation,fish,object,bird,communication,black,food,all,mean
mussel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cockroach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beetle,9.290577243651569e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.568509508372905e-05,0.0,0.0,0.0,0.0,7.125099555268362e-05,1.5989457538195223e-05
civet,0.004205953060651645,0.0,0.0,0.0,0.0,0.003729396126647753,0.0,0.0,0.0,0.0036590074529343156,0.0,0.0,0.0,0.0,0.003475875379986877,0.0010046821346813726
monkey,0.009917279550732752,0.0,0.0,0.0,0.0,0.00971715195874666,0.0,0.0,0.0,0.008718525182615745,0.0,0.0,0.0,0.0,0.00851908020454418,0.002458135793109289
bat,0.003676050512993667,0.0,0.0,0.0,0.0,0.0035077742283514653,0.0,0.0,0.0,0.0031542030660247035,0.0,0.0,0.0,0.0,0.0031146299319243826,0.0008968438492862812
skunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
millipede,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pelican,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crocodile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snake,0.0059171334381949115,0.0,0.0,0.0,0.005804400670435239,0.0,0.0,0.0,0.0,0.0049327052778716405,0.0,0.0,0.0,0.0,0.00486571323011896,0.0014346635077747167
bear,0.0050954862085424895,0.0,0.0,0.0,0.0,0.0052749509094388485,0.0,0.0,0.0,0.004452682665238104,0.0,0.0,0.0,0.0,0.004436757341167988,0.0012839918082924952
hornet,0.0012192532221314315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010391203895990095,0.0,0.0,0.0,0.0,0.0009993145692071635,0.00021717921206250695
pig,0.008914654720797196,0.0,0.0,0.0,0.0,0.008314902188206887,0.0,0.0,0.0,0.008240297027055048,0.0,0.0,0.0,0.0,0.008046153518637056,0.0022344004969797457
housefly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cat,0.01178334268951728,0.0,0.0,0.0,0.0,0.011176498469445618,0.0,0.0,0.0,0.010633082560445054,0.0,0.0,0.0,0.0,0.010508715930032282,0.0029401093099626825
pipefish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weasel,0.003348597058651047,0.0,0.0,0.0,0.0,0.003102566490547765,0.0,0.0,0.0,0.0024896448700061583,0.0,0.0,0.0,0.0,0.0023587977675356454,0.0007533070791160411
insect,0.0007900278123025447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007417451581262102,0.0,0.0,0.0,0.0,0.0007156463825738195,0.00014982795686683831
penguin,0.02127028341849836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017580297620888016,0.023272781646613432,0.0,0.0,0.0,0.017356472254643023,0.005298655662709523
human,0.014357870617531056,0.0,0.0,0.0,0.0,0.014116490372725096,0.0,0.0,0.0,0.013181953760417251,0.0,0.0,0.0,0.0,0.013100301191649679,0.0036504410628215387
lizard,0.003022320936790029,0.0,0.0,0.0,0.002866139245320249,0.0,0.0,0.0,0.0,0.00228602474823308,0.0,0.0,0.0,0.0,0.002304176811086537,0.0006985774494286596
bird,0.002561887864092581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021405334141678537,0.00319658434052435,0.0028235159578750297,0.0,0.001920623406537153,0.002066341123070073,0.0009806324070844694
cow,0.003640739850342927,0.0,0.0,0.0,0.0,0.003358795098548952,0.0,0.0,0.0,0.0035719323813333615,0.0,0.0,0.0,0.0,0.003565588413010154,0.0009424703828823597
sheep,0.002003215010034854,0.0,0.0,0.0,0.0,0.0019883176633272177,0.0,0.0,0.0,0.0018656524117571269,0.0,0.0,0.0,0.0,0.0018664243131545075,0.0005149072932182471
rat,0.0021925708022016003,0.0,0.0,0.0,0.0,0.0021957940092612307,0.0,0.0,0.0,0.0018356054504583925,0.0,0.0,0.0,0.0,0.001809668733527125,0.0005355759330298899
zebra,0.004790326589466279,0.0,0.0,0.0,0.0,0.004719635437345221,0.0,0.0,0.0,0.003991439996438019,0.0,0.0,0.0,0.0,0.0038718079506035083,0.0011582139982568684
crow,0.0037881369667718376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033852596344757786,0.004707135174709203,0.0,0.0,0.0,0.0032736526923732726,0.0010102789645553393
owl,0.004846850433998493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003713669171912175,0.006381506979129128,0.0,0.0,0.0,0.00358519056036862,0.0012351478096938942
magpie,0.004647702550697295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004028400270565376,0.006270550906943266,0.0,0.0,0.0,0.003837273237603715,0.0012522617977206436
calf,0.006035401163905456,0.0,0.0,0.0,0.0,0.0,0.0,0.005323304909065951,0.0,0.005612965553053609,0.0,0.0,0.0,0.0,0.005504611688238557,0.0014984188876175715
opossum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gorilla,0.004156367602005825,0.0,0.0,0.0,0.0,0.003947053866560905,0.0,0.0,0.0,0.00332873189711578,0.0,0.0,0.0,0.0,0.0032384698917723234,0.0009780415504969887
raccoon,0.008055540668069383,0.0,0.0,0.0,0.0,0.007757436689008504,0.0,0.006328439698251511,0.0,0.00658277443133815,0.0,0.0,0.0,0.0,0.006441016629450043,0.002344347207741173
potoroo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leopard,0.003654672833059889,0.0,0.0,0.0,0.0,0.0033876753594592845,0.0,0.0029191858012636196,0.0,0.003018510022466902,0.0,0.0,0.0,0.0,0.00295368840623045,0.0010622488281653432
rabbit,0.004347638460141079,0.0,0.0,0.0,0.0,0.004163398722074717,0.0,0.0034798220792225344,0.0,0.0037644115764006144,0.0,0.0,0.0,0.0033711462195182285,0.0036779815662003348,0.0015202932415705006
dog,0.00985360515358016,0.0,0.0,0.0,0.0,0.009042331317771072,0.0,0.0,0.0,0.008710557150355153,0.0,0.0,0.0,0.008170395164932117,0.008610860608315857,0.0029591832929969568
woodpecker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
currawong,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rhino,0.011802583672728415,0.0,0.0,0.0,0.0,0.011227339527004465,0.0,0.0,0.0,0.009947905648670445,0.0,0.0,0.0,0.0,0.009913450672576101,0.002859418634731962
starling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fox,0.0009973021472987316,0.0,0.0,0.0,0.0,0.0009742230761687895,0.0,0.0009224099311291096,0.0,0.0010083132027413487,0.0,0.0,0.0,0.0,0.001019792858899712,0.00032813608108251275
giraffe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
toucanet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alligator,0.0020409514566442676,0.0,0.0,0.0,0.0026958944787932085,0.0,0.0,0.0016749030715196692,0.0,0.001793248710340479,0.0,0.0,0.0,0.0,0.001796905213974377,0.0006667935287514667
ladybird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frog,0.0008084537979191119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006766876572373387,0.0,0.0,0.0,0.0,0.0006852647010902173,0.00014469374374977785
lobster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
viscacha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
peacock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frogmouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parrot,0.003615896762278393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032686395585287014,0.00477551371591856,0.0,0.0,0.0,0.0032877988106063158,0.0009965232564887981
jade,0.0062984809729462405,0.0,0.0,0.0,0.0,0.006062937231527909,0.0,0.0,0.0,0.006066761857005597,0.0,0.0,0.0,0.0,0.006327934501877068,0.001650407637557121
lion,0.012299200553476811,0.0,0.0,0.0,0.0,0.012160303029727707,0.0,0.0,0.0,0.011660913268499634,0.0,0.0,0.0,0.0,0.01190054798643516,0.003201397655875954
