,animal,fruit,vegetable,plant,reptile,mammal,measure,relation,fish,object,bird,communication,black,food,all,mean
mussel,0.009111392997236454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010087929518132208,0.0,0.0,0.0,0.011419243471924216,0.010437723545493162,0.0027370859688524026
cockroach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beetle,3.601156918828655e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6894359585208346e-05,0.0,0.0,0.0,0.0,3.715341947342183e-05,7.3372898831277816e-06
civet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
monkey,0.0010250867858466106,0.0,0.0,0.0,0.0,0.0011405192868422802,0.0,0.0,0.0,0.0011333430192008718,0.0,0.0,0.0,0.0,0.0011845933582148916,0.000298902830006977
bat,0.00028497765836620265,0.0,0.0,0.0,0.0,0.0003087852421914137,0.0,0.0,0.0,0.00030751709301267703,0.0,0.0,0.0,0.0,0.0003248211522313344,8.174007638677519e-05
skunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
millipede,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pelican,0.03222628482581497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03353532119356946,0.03907783938457578,0.0,0.0,0.0,0.03604497629747881,0.009392294780095935
crocodile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snake,0.0016382594245574781,0.0,0.0,0.0,0.0020730002394411568,0.0,0.0,0.0,0.0,0.00171753955412527,0.0,0.0,0.0,0.0,0.001812284298362833,0.00048273890109911587
bear,0.0014813109777888753,0.0,0.0,0.0,0.0,0.0017413039809054207,0.0,0.0,0.0,0.00162791836875259,0.0,0.0,0.0,0.0,0.001735141088060096,0.00043904496103379885
hornet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
housefly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pipefish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weasel,0.0012979627799091307,0.0,0.0,0.0,0.0,0.0013655764066220933,0.0,0.0,0.0,0.001213631996786953,0.0,0.0,0.0,0.0,0.0012299814512124665,0.0003404768423020429
insect,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
penguin,0.0007169267479918725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007452088400513774,0.0007320545982468997,0.0,0.0,0.0,0.0007869940919281615,0.0001987456185478874
human,0.0005920542859393072,0.0,0.0,0.0,0.0,0.000660988326923299,0.0,0.0,0.0,0.0006835991997631688,0.0,0.0,0.0,0.0,0.0007267102421876959,0.0001775568036542314
lizard,0.0005857468092135643,0.0,0.0,0.0,0.0007165348113300623,0.0,0.0,0.0,0.0,0.0005571864512338344,0.0,0.0,0.0,0.0,0.0006007498347158547,0.00016401452709955438
bird,0.009599225788580029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010086682952893024,0.011177789563830842,0.013646993796395978,0.0,0.011300025527436431,0.010415655715066759,0.004415091556280204
cow,0.0005644805552066874,0.0,0.0,0.0,0.0,0.0005913415690177956,0.0,0.0,0.0,0.0006964867127149521,0.0,0.0,0.0,0.0,0.0007437021810042579,0.0001730674011962462
sheep,0.00019411849780964413,0.0,0.0,0.0,0.0,0.00021878658347707517,0.0,0.0,0.0,0.0002273632967767001,0.0,0.0,0.0,0.0,0.00024330904040052693,5.890516123092976e-05
rat,0.0016997418582931074,0.0,0.0,0.0,0.0,0.001932931656410609,0.0,0.0,0.0,0.0017896122736150099,0.0,0.0,0.0,0.0,0.0018872825858259027,0.0004873045582763086
zebra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
