,context,n_concepts,mean_tfidf,mean_diff,evidence
0,dish,68,0.06,0.06,-
1,meat,68,0.04,0.04,-
2,eaten,66,0.03,0.03,-
3,sweet,65,0.03,0.03,-
4,potato,64,0.05,0.05,-
5,chicken,63,0.05,0.05,-
6,commonly,63,0.01,0.01,-
7,food,62,0.01,0.01,-
8,fresh,60,0.02,0.01,-
9,mixture,60,0.01,0.01,-
10,consumed,58,0.01,0.01,-
11,fruit,58,0.03,0.03,-
12,egg,58,0.02,0.01,-
13,corn,58,0.03,0.03,-
14,eggs,58,0.02,0.02,-
15,bean,58,0.03,0.03,-
16,varieties,58,0.02,0.01,-
17,bacon,57,0.03,0.03,-
18,served,57,0.01,0.01,-
19,popular,57,0.01,0.01,-
20,cooking,57,0.02,0.02,-
21,cook,46,0.01,0.01,-
22,cooked,42,0.06,0.06,-
23,cooks,2,0.02,0.02,-
