,context,n_concepts,mean_tfidf,mean_diff,evidence
0,follow,6,0.01,0.0,-
1,dates,6,0.01,0.0,-
2,latter,6,0.01,0.0,-
3,highway,5,0.01,0.01,-
4,unnamed,5,0.0,0.0,-
5,aurora,5,0.0,0.0,-
6,44,5,0.01,0.01,-
7,39,5,0.01,0.0,-
8,350,5,0.0,0.0,-
9,54,5,0.01,0.01,-
10,21st,5,0.0,0.0,-
11,36,5,0.0,0.0,-
12,thousands,5,0.01,0.01,-
13,95,5,0.0,0.0,-
14,96,5,0.0,0.0,-
15,finland,5,0.0,0.0,-
16,california,5,0.0,0.0,-
17,paintings,5,0.0,0.0,-
18,shortened,5,0.01,0.0,-
19,bennett,5,0.0,0.0,-
20,cold,1,0.06,0.05,-
