,context,n_concepts,mean_tfidf,mean_diff,evidence
0,name,24,0.01,0.01,-
1,known,24,0.01,0.01,-
2,far,23,0.0,0.0,-
3,teeth,22,0.02,0.02,-
4,becoming,21,0.0,0.0,-
5,skull,21,0.01,0.01,-
6,creatures,21,0.01,0.01,-
7,sight,21,0.01,0.0,-
8,since,21,0.01,0.0,-
9,is,21,0.02,0.01,-
10,presumably,20,0.0,0.0,-
11,generally,20,0.0,0.0,-
12,exhibit,20,0.01,0.01,-
13,led,20,0.01,0.01,-
14,serves,20,0.0,0.0,-
15,saving,20,0.0,0.0,-
16,companion,20,0.01,0.01,-
17,eventually,20,0.0,0.0,-
18,between,20,0.01,0.0,-
19,weighs,20,0.01,0.01,-
20,swimming,18,0.0,0.0,-
21,swim,13,0.01,0.01,-
22,swam,1,0.04,0.04,-
