,food,communication,cutlery,no-cat,vehicle,all,mammal,relation,bird,tool,object,measure,animal,weapon,mean
lettuce,0.019079656025168867,0.0,0.0,0.01836814857719794,0.0,0.014383813255192293,0.0,0.0,0.0,0.0,0.014384114403370006,0.014488835855557172,0.0,0.0,0.005764612008320449
cream,0.00787261245475553,0.0,0.0,0.0,0.0,0.0067765566014874505,0.0,0.0,0.0,0.0,0.0067765566014874505,0.0,0.0,0.0,0.0015304089755521736
mussel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spinach,0.009493253438731924,0.0,0.0,0.009354171938893072,0.0,0.007409671684208944,0.0,0.0,0.0,0.0,0.007409671684208944,0.0,0.0,0.0,0.0024047691961459204
scallop,0.008707449168291357,0.0,0.0,0.0,0.0,0.009025202045079039,0.0,0.0,0.0,0.0,0.009020170241259168,0.006878509841496948,0.008974329118217075,0.0,0.003043261458167399
pea,0.001740256831397353,0.0,0.0,0.001682565102386024,0.0,0.001470153011469763,0.0,0.0,0.0,0.0,0.001470151686086915,0.0,0.0,0.0,0.0004545090450957182
cabbage,0.007858112496587164,0.0,0.0,0.0076564767455134086,0.0,0.006736849271093212,0.0,0.0,0.0,0.0,0.006734996266286493,0.006291777159479287,0.0,0.0,0.002519872281354255
mustard,0.0023711418889749347,0.0,0.0,0.002249645112768835,0.0,0.0018170623580747865,0.0,0.0,0.0,0.0,0.0018170623580747865,0.0,0.0,0.0,0.0005896365512780959
cucumber,0.008083370119937556,0.0,0.0,0.00800016962265543,0.0,0.006561696494069858,0.0,0.0,0.0,0.0,0.006561696494069858,0.0,0.0,0.0,0.0020862094807666217
bacon,0.005035290582000949,0.0,0.0,0.0,0.0,0.0045523773284285255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006848334221735339
pastry,0.0029768329457865996,0.0,0.0,0.0,0.0,0.002394055694775884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00038363490289732027
oregano,0.0021243073358334164,0.0,0.0,0.0021178033451404524,0.0,0.0016691876231087538,0.0,0.0,0.0,0.0,0.0016691876231087538,0.0,0.0,0.0,0.0005414632805136697
turnip,0.004771632392089015,0.0,0.0,0.004735265188968028,0.0,0.004674746907315037,0.0,0.0,0.0,0.0,0.004674746907315037,0.0,0.0,0.0,0.0013468850996919367
casserole,0.015680593462533258,0.0,0.0,0.0,0.0,0.01386018043874203,0.0,0.0,0.0,0.0,0.013860166841080108,0.0,0.0,0.0,0.0031000671958825283
soup,0.025132905302682675,0.0,0.0,0.0,0.0,0.02172135577311571,0.0,0.022461744040524003,0.0,0.0,0.0,0.0,0.0,0.0,0.004951143222594457
broccoli,0.010370060411906105,0.0,0.0,0.010267910193368457,0.0,0.006880328218076731,0.0,0.0,0.0,0.0,0.006880328218076731,0.0,0.0,0.0,0.00245704478867343
gravy,0.018713891561269427,0.0,0.0,0.0,0.0,0.015832931709229576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002467630233607072
vinaigrette,0.02231599431482383,0.0,0.0,0.0,0.0,0.016667787170183728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027845558203576826
ham,0.001726958477238042,0.0,0.0,0.0,0.0,0.0017136849416706623,0.0,0.0,0.0,0.0,0.0017136849416706623,0.0,0.0,0.0,0.00036816631146995477
pasta,0.028405879772485296,0.0,0.0,0.0,0.0,0.02297603582360077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036701368282918622
blade,0.0,0.0,0.0,0.0,0.0,0.0007107842468742644,0.0,0.0,0.0,0.0006884740203946303,0.0007107655036232218,0.0,0.0,0.0005139297390469774,0.00018742525070993528
taco,0.0026254887702242377,0.0,0.0,0.0,0.0,0.002915112310614799,0.0,0.0,0.0,0.0,0.002915112310614799,0.0,0.0,0.0,0.0006039795279609883
radish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rhubarb,0.00492772057606346,0.0,0.0,0.004705295989009672,0.0,0.0038564772834404856,0.0,0.0,0.0,0.0,0.0038564896238959968,0.0,0.0,0.0,0.0012389988194578296
cheese,0.014504204749497356,0.0,0.0,0.01407656842507576,0.0,0.010855238295411246,0.0,0.0,0.0,0.0,0.010855337103714639,0.0,0.0,0.0,0.003592239183835643
chutney,0.009270330572217857,0.0,0.0,0.0,0.0,0.007629169565483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012071071526929182
chickpea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
