,mammal,animal,no-cat,bird,criminal,all,communication,relation,fish,object,food,female,measure,mean
sow,0.04083133704996552,0.04206531906157607,0.0,0.0,0.0,0.06290171508870523,0.0,0.0,0.0,0.06254492457190479,0.0,0.0,0.0,0.016026407367088585
vixen,0.006140102928312741,0.005862675859781591,0.0,0.0,0.0,0.005877195346727218,0.0,0.0,0.0,0.0058565933538948164,0.0,0.0,0.0,0.0018258898068243359
cow,0.017606053455183956,0.018058483158835306,0.0,0.0,0.0,0.01648070713058456,0.0,0.0,0.0,0.016191249405113926,0.0,0.0,0.0,0.005256653319209058
bitch,0.005934985520246534,0.005971775907790547,0.0,0.0,0.0,0.00693005498239198,0.0,0.0,0.0,0.006867718534861085,0.0,0.0,0.0,0.0019772719188684727
tigress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ewe,0.0032435715800139668,0.003154336737413518,0.0,0.0,0.0,0.0031007751125428566,0.0,0.0,0.0,0.0030802470950898092,0.0,0.0,0.0,0.0009676100403892423
doe,0.004559355890784334,0.0045553152750845045,0.0,0.0,0.0,0.004948221138048076,0.0,0.0,0.0,0.00493608225805002,0.0,0.0,0.0,0.001461459581689764
queen,0.005386176035496538,0.005507333439395476,0.0,0.0,0.0,0.006182650166582989,0.0,0.00545821407157591,0.0,0.0061809730554627206,0.0,0.0,0.0,0.0022088728283472026
mare,0.004264999657253514,0.004196456057633365,0.0,0.0,0.0,0.003968227794158566,0.0,0.0,0.0,0.00395408709683616,0.0,0.0,0.0,0.0012602900466062773
lioness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fox,0.0011376146484801128,0.0013378992804877398,0.0,0.0,0.0,0.001284982005628184,0.0,0.0016744529868860866,0.0,0.0012756472181370694,0.0,0.0,0.0,0.0005161997030476303
hound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bull,0.000286552352143597,0.00030563163389751673,0.00032239545356670574,0.0,0.0,0.00031526364144470517,0.0004539470572247669,0.0,0.0,0.00031636233002527067,0.0,0.0,0.0,0.00015385788217712015
