,mammal,animal,no-cat,bird,criminal,all,communication,relation,fish,object,food,female,measure,mean
sow,0.023365455799150416,0.024569915742924282,0.0,0.0,0.0,0.03445742124143186,0.0,0.0,0.0,0.03421176032307394,0.0,0.0,0.0,0.0089695810081985
vixen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cow,0.008541800962050105,0.008942676564985031,0.0,0.0,0.0,0.007654254570704997,0.0,0.0,0.0,0.007508799114515478,0.0,0.0,0.0,0.002511348554788893
bitch,0.005518914742305928,0.005668084909739895,0.0,0.0,0.0,0.006168936936837886,0.0,0.0,0.0,0.006104487388783771,0.0,0.0,0.0,0.0018046479982821138
tigress,0.018613527838985854,0.018855903699257437,0.0,0.0,0.0,0.018002219552566076,0.0,0.0,0.0,0.017991919323707806,0.0,0.0,0.0,0.005651043878039783
ewe,0.004524272624489914,0.0044908873183555215,0.0,0.0,0.0,0.004140332112774425,0.0,0.0,0.0,0.004106894331254199,0.0,0.0,0.0,0.0013278758759133892
doe,0.004239723307702999,0.004323657513023966,0.0,0.0,0.0,0.004404765074405031,0.0,0.0,0.0,0.00438751992256409,0.0,0.0,0.0,0.001335051216745853
queen,0.007691746964423718,0.008027579973326024,0.0,0.0,0.0,0.008451985591924322,0.0,0.008382257324205862,0.0,0.008437309642756734,0.0,0.0,0.0,0.0031531445766643583
mare,0.00366092570712301,0.003676659563808603,0.0,0.0,0.0,0.0032606796927346117,0.0,0.0,0.0,0.0032442987415708907,0.0,0.0,0.0,0.0010648125927105474
lioness,0.025886035792683053,0.02616955192873201,0.0,0.0,0.0,0.03416358504828258,0.0,0.0,0.0,0.03400143776218563,0.0,0.0,0.0,0.00924773927168333
fox,0.0008367267320279067,0.0008050695662686932,0.0,0.0,0.0,0.0009240689939612436,0.0,0.0013395623895088693,0.0,0.0009033342803429676,0.0,0.0,0.0,0.00036990476631612926
hound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bull,0.00237107323793607,0.00206900154476827,0.004078040049006397,0.0,0.0,0.0025505495333371718,0.0027351840482364867,0.0,0.0,0.0025203171407032514,0.0,0.0,0.0,0.0012557050426144345
man,0.0044897008476748575,0.004157758912718494,0.006868040394506685,0.0,0.0,0.004984193250599052,0.0,0.0,0.0,0.004871748106877862,0.0,0.0,0.0,0.0019516493471059193
human,0.003040648564072226,0.0030009425958527594,0.0,0.0,0.0,0.0037876691236685173,0.0,0.0,0.0,0.0037178498874792104,0.0,0.0,0.0,0.001042085397774824
stallion,0.002557531161421492,0.002196675694674074,0.0,0.0,0.0,0.0021438531892664565,0.0,0.0,0.0,0.002087323162092767,0.0,0.0,0.0,0.0006911833236503684
ram,0.0022769812140804716,0.0020030215197977294,0.004729820990884778,0.0,0.0,0.002383457790490664,0.0,0.0,0.0,0.002286899804865913,0.0,0.0,0.0,0.0010523216400091966
buck,0.004680818499420679,0.004339247869070837,0.0,0.0,0.0,0.00514398354284897,0.0,0.0,0.0,0.005038040978743808,0.0,0.0,0.008307677180700293,0.002116136005444968
tiger,0.002436389067450126,0.0022487299068418183,0.0,0.0,0.0,0.0024733570872931695,0.0,0.0,0.0,0.0024302983296848623,0.0,0.0,0.0,0.0007375980300976905
boxer,0.001242915149259337,0.00107958166242059,0.0,0.0,0.0,0.001177971521907357,0.0,0.0,0.0,0.0011455285734404325,0.0,0.0,0.0,0.0003573843774636705
lion,0.001795102865986137,0.0016166420009314604,0.0,0.0,0.0,0.0016689524200624777,0.0,0.0,0.0,0.0016488260781340244,0.0,0.0,0.0,0.0005176556434703153
boar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
siren,0.0,0.005771025631035378,0.0,0.0,0.0,0.006581053025081667,0.005147709218921371,0.0,0.0,0.006547714376463026,0.0,0.005870384740955363,0.0,0.002301375922496677
amazon,0.0,0.0008917371097827444,0.0,0.0012208272299384052,0.0,0.0008208986807761621,0.0,0.0,0.0,0.0008109327617185335,0.0,0.001130053149620638,0.0,0.0003749576101412679
mademoiselle,0.0,0.03056929250539688,0.0,0.0,0.0,0.040381566990508724,0.0,0.0,0.03672587496788889,0.040254056707315924,0.0,0.0,0.0,0.011379291628546954
nymph,0.0,0.008342656540060585,0.0,0.0,0.0,0.009380418065068749,0.0,0.0,0.0,0.009337701739797491,0.0,0.007785616207898667,0.0,0.00268049173483273
hen,0.0,0.0015781038268860735,0.0,0.002401531322070197,0.0,0.0028709376778795993,0.0,0.0,0.0,0.002843318083507866,0.0018394696098956824,0.0,0.0,0.0008871815784799553
molly,0.0,0.008359418752457127,0.0,0.0,0.0,0.009367781059503899,0.0,0.0,0.013233178926609364,0.009290168791778623,0.0,0.0,0.0,0.003096195963873001
angler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
