,context,n_concepts,mean_tfidf,mean_diff,evidence
0,fishing,26,0.03,0.03,-
1,herring,25,0.07,0.07,-
2,atlantic,25,0.03,0.03,-
3,fish,25,0.06,0.06,-
4,trout,24,0.05,0.05,-
5,salmon,24,0.09,0.08,-
6,catch,23,0.02,0.01,-
7,fisheries,22,0.03,0.03,-
8,waters,22,0.01,0.01,-
9,abundant,22,0.01,0.01,-
10,caught,22,0.02,0.01,-
11,fishery,22,0.05,0.05,-
12,cod,22,0.12,0.12,-
13,eel,21,0.02,0.02,-
14,juvenile,21,0.01,0.01,-
15,crab,20,0.05,0.05,-
16,fry,20,0.01,0.01,-
17,catching,19,0.01,0.01,-
18,tuna,19,0.12,0.12,-
19,stocks,19,0.02,0.02,-
20,swim,17,0.01,0.01,-
21,swimming,4,0.02,0.02,-
22,swims,1,0.01,0.01,-
