,property,all-div,all-sim,prop_specific-div,prop_specific-sim,non-specific-div,non-specific-sim
9,roll,130,0.15177884203846664,10,0.2563387408024735,120,0.14928612534513733
11,made_of_wood,43,0.16771732617875074,9,0.38467800410257447,34,0.14634260473152003
3,used_in_cooking,268,0.1900792787429873,9,0.4120999156600899,259,0.19030363498242955
0,hot,25,0.2067393150056402,8,0.23220320737787656,17,0.2073271958540906
16,warm,87,0.13624890955325353,7,0.33815787200416836,80,0.1307286229369207
8,wings,57,0.19871907391384674,6,0.538476820786794,51,0.18503672437632784
15,dangerous,75,0.17291424566695282,6,0.2758610298236211,69,0.16561533552368202
5,fly,23,0.20381014875095824,5,0.3845968909561634,18,0.20401369466208943
14,wheels,32,0.25803411386967184,5,0.32529289424419405,27,0.2630997059436945
4,round,47,0.16908333299442035,4,0.1739690974354744,43,0.1786930085699242
6,black,64,0.12272476590430689,4,0.2736304352680842,59,0.12112061810325385
13,female,22,0.2730370778832343,3,0.34005724390347797,19,0.2861118388977664
12,cold,29,0.14681059702671148,2,0.31495392322540283,27,0.1448677500465784
7,swim,77,0.14888184919354322,2,0.6651540398597717,75,0.1475436928161831
10,sweet,11,0.3212144580754367,1,,10,0.3232817365063561
17,juicy,24,0.29305509288889775,1,,23,0.28852790706006903
18,blue,146,0.12546611699340782,1,,144,0.12528190405754153
19,green,77,0.153567060544929,1,,76,0.15375000805773756
20,red,94,0.12953893392006102,1,,93,0.12953084582419802
1,yellow,8,0.15919717514355267,0,0.0,8,0.15919717514355267
2,lay_eggs,13,0.26645390421916276,0,0.0,13,0.26645390421916276
21,square,29,0.1785677351250217,0,0.0,28,0.18733354022223797
