,property,all-div,all-sim,prop_specific-div,prop_specific-sim,non-specific-div,non-specific-sim
8,dangerous,133,0.14133294059979432,23,0.2388825069122723,110,0.13340339594543155
13,roll,149,0.14771136959880232,10,0.2075560700562265,139,0.1487449611472196
20,fly,51,0.1471140377690979,9,0.3465759300937255,42,0.13312625005823947
4,warm,121,0.13921996315443483,9,0.2714140750467777,112,0.1385350831212869
0,used_in_cooking,369,0.23792421268381386,8,0.3849549261587007,361,0.2382179974522926
15,wings,87,0.15774337181336512,7,0.3916362357281503,80,0.1597197060053284
16,cold,74,0.1432869871374894,6,0.3367664208014806,67,0.14358993163791475
21,wheels,40,0.21902289947685905,4,0.38560957709948224,36,0.21634343767775194
5,made_of_wood,50,0.14563470691480504,4,0.44136589765548706,46,0.1369937821633322
14,hot,25,0.21657980633278687,3,0.279372771581014,22,0.21545277847162572
3,female,17,0.2696211064124809,3,0.5798403819402059,14,0.2733032248996116
7,juicy,102,0.299197391860174,2,0.6377921104431152,100,0.2978346970293558
1,sweet,21,0.30926442362722895,2,0.46825292706489563,19,0.32113239866251136
6,blue,169,0.1292795119347892,2,0.2929336726665497,167,0.1297217769816789
18,lay_eggs,22,0.27850235374523447,2,0.8302192687988281,20,0.2851543500039138
19,black,57,0.13201383236045236,2,0.15264564752578735,55,0.13123006323377542
2,round,42,0.20933477594609115,2,0.12444224953651428,40,0.2175034318334208
10,swim,54,0.13205557375375745,1,,53,0.13020223510250212
12,yellow,4,0.22626995046933493,1,,3,0.2779804815848668
17,green,96,0.2062119977933706,1,,95,0.20687553688627225
11,red,96,0.13914812133859908,1,,95,0.13939083004422478
9,square,64,0.17386209053571322,0,0.0,64,0.17386209053571322
