context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
vitamin,6,0.01,0.01,0.0,0.02
rice,6,0.03,0.01,0.02,0.05
leek,6,0.02,0.02,0.0,0.09
raw,6,0.02,0.01,0.01,0.03
taro,6,0.02,0.02,0.0,0.04
vine,6,0.09,0.08,0.01,0.46
planted,6,0.01,0.01,0.0,0.02
flea,6,0.0,0.0,0.0,0.01
harvested,6,0.01,0.01,0.0,0.02
dried,6,0.02,0.0,0.01,0.03
okra,6,0.02,0.01,0.01,0.02
bred,6,0.01,0.01,0.0,0.02
melon,6,0.01,0.01,0.0,0.03
juice,6,0.05,0.04,0.01,0.17
yellow,6,0.01,0.0,0.01,0.01
literally,6,0.01,0.0,0.0,0.01
soybean,6,0.02,0.01,0.01,0.02
cantaloupe,6,0.0,0.0,0.0,0.01
many,6,0.01,0.0,0.0,0.01
pronounced,6,0.0,0.0,0.0,0.01
ornamental,6,0.01,0.01,0.0,0.03
giant,6,0.01,0.01,0.0,0.05
amount,6,0.0,0.0,0.0,0.01
parody,6,0.01,0.01,0.0,0.02
plantations,6,0.01,0.01,0.0,0.02
various,6,0.01,0.0,0.0,0.01
meaning,6,0.0,0.0,0.0,0.01
stem,6,0.0,0.0,0.0,0.01
diseases,6,0.01,0.01,0.0,0.02
nearby,6,0.0,0.0,0.0,0.01
isolated,6,0.0,0.0,0.0,0.01
gardens,6,0.04,0.04,0.0,0.21
market,6,0.02,0.01,0.0,0.08
popularly,6,0.0,0.0,0.0,0.0
nickname,6,0.01,0.0,0.0,0.01
area,6,0.01,0.0,0.0,0.01
though,6,0.0,0.0,0.0,0.0
mainly,6,0.01,0.0,0.0,0.01
annual,6,0.01,0.01,0.0,0.03
mostly,6,0.0,0.0,0.0,0.01
lightly,6,0.0,0.0,0.0,0.0
syrup,6,0.01,0.0,0.0,0.01
abundance,6,0.0,0.0,0.0,0.0
pond,6,0.0,0.0,0.0,0.0
ontario,6,0.0,0.0,0.0,0.0
southeast,6,0.0,0.0,0.0,0.0
shipping,6,0.0,0.0,0.0,0.01
historically,6,0.0,0.0,0.0,0.0
hay,6,0.0,0.0,0.0,0.01
australian,6,0.0,0.0,0.0,0.01
probably,6,0.0,0.0,0.0,0.0
resemblance,6,0.0,0.0,0.0,0.0
compounds,6,0.0,0.0,0.0,0.01
fair,6,0.0,0.0,0.0,0.0
daily,6,0.0,0.0,0.0,0.01
unrelated,6,0.0,0.0,0.0,0.0
primary,6,0.0,0.0,0.0,0.0
itself,6,0.0,0.0,0.0,0.0
particular,6,0.0,0.0,0.0,0.0
major,6,0.0,0.0,0.0,0.01
