,vegetable,mammal,animal,no-cat,fruit,juicy,all,communication,relation,fish,object,food,plant,measure,mean
veg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cucumber,0.0528416109314672,0.0,0.0,0.0,0.0,0.0,0.054895903796699945,0.0,0.0,0.0,0.05363282331590593,0.05416142099469565,0.04776044079266568,0.0,0.018806585702245315
shallot,0.04560563022758889,0.0,0.0,0.0,0.0,0.0,0.043712132033454164,0.0,0.0,0.0,0.04323224723028804,0.044539261249582685,0.04399371961893312,0.0,0.015791642168560494
okra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pumpkin,0.010412338778166658,0.0,0.0,0.0,0.0,0.0,0.01155827519759011,0.0,0.0,0.0,0.011632680600435168,0.011481097681463976,0.010212800044553905,0.0,0.003949799450157844
cayenne,0.009098971026616526,0.0,0.0,0.0,0.0,0.0,0.008376580366422803,0.0,0.0,0.0,0.008406561699674214,0.008218537145469282,0.007701538875871343,0.0,0.002985870651003869
mangold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beet,0.037081645927666745,0.0,0.0,0.0,0.0,0.0,0.04086051568249187,0.0,0.0,0.0,0.041032935187618226,0.03854725843805567,0.038705054193038504,0.0,0.014016243530633644
asparagus,0.02708233694571711,0.0,0.0,0.0,0.0,0.0,0.024942005715372632,0.0,0.0,0.0,0.0255534990515626,0.025580546567852903,0.024818455913897662,0.0,0.009141203156743063
tomato,0.17511618063338694,0.0,0.0,0.0,0.0,0.0,0.16385788237476315,0.0,0.0,0.0,0.16275725140067793,0.1648256201948665,0.16418851281479865,0.0,0.05933896052989236
vegetable,0.04535721908062224,0.0,0.0,0.0,0.0,0.0,0.049749022457908264,0.0,0.0,0.0,0.049657859492938425,0.04714636387039997,0.04492062490606472,0.0,0.0169165064148524
aubergine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onion,0.024172266036377486,0.0,0.0,0.0,0.0,0.0,0.022977296472793726,0.0,0.0,0.0,0.02266699917414941,0.02333891636599156,0.02239264031849092,0.0,0.00825343702627165
bean,0.002050216714538147,0.0,0.0,0.0,0.002097175968231807,0.0,0.0020617300081204604,0.0,0.0,0.0,0.0020693894323939475,0.002051898835655637,0.0018898430386504218,0.0,0.0008728752855421729
squash,0.003874447113970031,0.0,0.0,0.0,0.0,0.0,0.003710645196542389,0.0,0.0,0.0,0.0037042617634153686,0.003655611609859859,0.00334443035485133,0.0,0.0013063854313313556
cabbage,0.010180549351800688,0.0,0.0,0.0,0.0,0.0,0.008037872960400871,0.0,0.0,0.0,0.008185854999655665,0.008012387861421758,0.007619882133937601,0.010787405173949686,0.0037731394629404477
mustard,0.008874025631960016,0.0,0.0,0.0,0.0,0.0,0.007883304679572888,0.0,0.0,0.0,0.007992036226163055,0.007860425294492773,0.0072475741920371315,0.0,0.002846954716016133
