,animal,fruit,plant,vegetable,mammal,no-cat,measure,relation,red,object,weapon,bird,vehicle,food,all,mean
fox,0.002434490221648085,0.0,0.0,0.0,0.0023118465944467932,0.0,0.0,0.0015596785179672354,0.0,0.001571847449592569,0.0,0.0,0.0,0.0,0.00161694267130399,0.0006329870303305781
squirrel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chameleon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ladybird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rooster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lobster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021864708177475554,0.0,0.0,0.0,0.0,0.00022477858078189685,2.956171083711016e-05
cockroach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
herring,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cat,0.003292557914407652,0.0,0.0,0.0,0.002724767183433291,0.002502097600433143,0.0,0.0,0.0,0.002253841383217046,0.0,0.0,0.0,0.0,0.002269325519593365,0.000869505973405633
slug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tiger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chicken,0.0005386764203444375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003890917914025675,0.0,0.0,0.0,0.0003542297588453716,0.0004029133684735009,0.00011232742260439181
lark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crow,0.0006799367575116825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004023324488185323,0.0,0.0,0.0,0.0,0.00041207334524097583,9.962283677141271e-05
magpie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gorilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cheetah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dog,0.0,0.0,0.0,0.0,0.0004909963888811455,0.0004429179493275273,0.0,0.0,0.0,0.0003966100733147522,0.0,0.0,0.0,0.00027696879342097166,0.00039455077144824103,0.00013346959842617587
jade,0.002407690397925241,0.0,0.0,0.0,0.0022492314077581566,0.0,0.0,0.0,0.0,0.0016219772574199455,0.0,0.0,0.0,0.0,0.0016427676821227264,0.0005281111163484047
strawberry,0.0,0.042310558121209346,0.04369446240846171,0.0,0.0,0.0,0.0,0.0,0.0,0.05070431671561183,0.0,0.0,0.0,0.05036805235246071,0.05362079167911671,0.016046545418457354
fruit,0.0,0.012989086942621738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0163503820959301,0.0,0.0,0.0,0.0,0.016920139322453474,0.0030839738907336876
berry,0.0,0.012427248054056502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01778262586728583,0.0,0.0,0.0,0.016272153139091607,0.01896035801137061,0.004362825671453637
