,animal,fruit,plant,vegetable,mammal,no-cat,measure,relation,red,object,weapon,bird,vehicle,food,all,mean
fox,0.00037608790031939157,0.0,0.0,0.0,0.0003375188281513868,0.0,0.0,0.0003268484233140371,0.0,0.000329488031799559,0.0,0.0,0.0,0.0,0.00032826001300890226,0.00011321354643955179
squirrel,0.0013231686873625872,0.0,0.0,0.0,0.0011684134393732063,0.0,0.0,0.0011032664077907164,0.0,0.0010950662855318115,0.0,0.0,0.0,0.0,0.0010847002012243712,0.00038497433475217954
chameleon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ladybird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crab,0.0017349468395415045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016663290412590125,0.0,0.0,0.0,0.0016311738878002251,0.0016440269404747075,0.0004450984472716967
rooster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lobster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robin,0.0017056681384671783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00137497306086583,0.0,0.001856609121571824,0.0,0.0,0.0013689876795461742,0.00042041586669673374
cockroach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
herring,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cat,0.0006572246911598363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005384428209366458,0.0,0.0,0.0,0.0,0.0005398339544869454,0.0001157000977722285
slug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frog,0.00030500813761387175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019239787140710313,0.0,0.0,0.0,0.0,0.00019045140404296113,4.5857160870929064e-05
tiger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chicken,0.001290296917591445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011154485847644907,0.0,0.0011187563006212367,0.0,0.0012267238922049127,0.0011501548727536287,0.00039342537119571423
lark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
magpie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gorilla,0.0036082164698888444,0.0,0.0,0.0,0.003208347557451957,0.0,0.0,0.0,0.0,0.0025189725941622814,0.0,0.0,0.0,0.0,0.0024920559459546457,0.0007885061711638486
cheetah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dog,0.004370776067578708,0.0,0.0,0.0,0.0034317224681993733,0.004721555448490605,0.0,0.0,0.0,0.0034110059997993734,0.0,0.0,0.0,0.0028774903389722265,0.00337884911128043,0.001479426628954714
jade,0.0009611940742245687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007749808983751153,0.0,0.0,0.0,0.0,0.0007815729973393787,0.0001678498646626042
strawberry,0.0,0.006743168103833734,0.005373707083237847,0.0,0.0,0.0,0.0,0.0,0.0,0.005001672476759025,0.0,0.0,0.0,0.005302076186178286,0.005122684953963407,0.0018362205869314864
fruit,0.0,0.006019667973388021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004690043843203814,0.0,0.0,0.0,0.0,0.004700532306057089,0.001027349608176595
berry,0.0,0.0015151360608197898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013419231386309894,0.0,0.0,0.0,0.0013103800245334038,0.0013857101380599928,0.00037020995746961177
currant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomegranate,0.0,0.02788880175013759,0.023536295838581536,0.0,0.0,0.0,0.0,0.0,0.0,0.024162888372462398,0.0,0.0,0.0,0.02255216740917507,0.023664591787504144,0.008120316343857382
blackberry,0.0,0.0025995318087809645,0.0022096657758209843,0.0,0.0,0.0,0.0,0.0,0.0,0.002172473244151131,0.0,0.0,0.0,0.0021380689737614555,0.0021601548240501173,0.0007519929751043102
apple,0.0,0.0022371626432907605,0.0017949833835927567,0.0,0.0,0.0,0.0,0.0,0.0,0.0018199049735861212,0.0,0.0,0.0,0.0017088438073149545,0.0018102443948496327,0.0006247426135089484
